Date,Japan,South Korea,Vietnam,Brazil,India,USA,Global
01/07/2020,"5,181017093","2,185368878",0,"4,185116442","2,949518805","4,763380676","5,074545721"
02/07/2020,"5,127263186","2,174751292",0,"4,134259896","2,911545791","4,691115571","5,026490168"
03/07/2020,"5,092520198","2,171910975",0,"4,10465726","2,87745926","4,629055974","4,982942517"
04/07/2020,"5,020297004","2,161790543",0,"4,07513234","2,862299733","4,565842374","4,939816026"
05/07/2020,"4,967459833","2,161832991",0,"4,046461288","2,823721382","4,49715023","4,893941643"
06/07/2020,"4,927448609","2,162203171",0,"4,034229377","2,801168323","4,444065208","4,861368257"
07/07/2020,"4,891548242","2,15191785",0,"3,999846577","2,780378143","4,392943019","4,828147013"
08/07/2020,"4,846749914","2,159031069",0,"3,967171776","2,753696096","4,333544717","4,789066097"
09/07/2020,"4,763059611","2,159244265",0,"3,940359237","2,721585484","4,27949918","4,747754475"
10/07/2020,"4,666413229","2,153593061",0,"3,909203938","2,69491641","4,213838566","4,704475056"
11/07/2020,"4,582361176","2,153983752",0,"3,884501454","2,668912636","4,158503561","4,665421651"
12/07/2020,"4,500709674","2,14407597",0,"3,86661311","2,638644401","4,099387173","4,629865509"
13/07/2020,"4,447457627","2,13883955",0,"3,863887272","2,616702252","4,041001655","4,595175984"
14/07/2020,"4,38561305","2,132683935",0,"3,84741938","2,596613262","3,988012869","4,563730539"
15/07/2020,"4,246504402","2,137819571",0,"3,832011015","2,571483717","3,938348937","4,528984506"
16/07/2020,"4,189706508","2,143066121",0,"3,811244782","2,550426765","3,881601536","4,491369798"
17/07/2020,"4,086458679","2,14426373",0,"3,804424315","2,528477005","3,830188483","4,463938393"
18/07/2020,"3,952537481","2,146234995",0,"3,796497113","2,488075036","3,78885911","4,436172813"
19/07/2020,"3,874872279","2,149444485",0,"3,788048832","2,459028122","3,741060977","4,40318872"
20/07/2020,"3,843460671","2,142443544",0,"3,781660551","2,43063069","3,695211406","4,368596286"
21/07/2020,"3,733514719","2,139923626",0,"3,773150699","2,408224777","3,661990735","4,343134854"
22/07/2020,"3,648290094","2,13086526",0,"3,715846455","2,410481773","3,627734022","4,311617507"
23/07/2020,"3,528491143","2,131769082",0,"3,675756019","2,375654836","3,592785787","4,275711103"
24/07/2020,"3,441470761","2,114674993",0,"3,637417288","2,345358049","3,555661688","4,240519944"
25/07/2020,"3,355342946","2,106007067",0,"3,610295705","2,313740632","3,522717978","4,211704743"
26/07/2020,"3,266989656","2,109347443",0,"3,59655755","2,282713483","3,489669323","4,183129635"
27/07/2020,"3,204675358","2,112229811",0,"3,587409796","2,257185963","3,469763925","4,157408995"
28/07/2020,"3,116826504","2,10511543",0,"3,565533219","2,232401387","3,447459555","4,134804847"
29/07/2020,"2,998622012","2,102459878",0,"3,531529837","2,209596558","3,423385446","4,105151091"
30/07/2020,"2,865353972","2,104159385",0,"3,496530021","2,184926588","3,39949835","4,077099359"
31/07/2020,"2,781917536","2,099609375","0,5376344086","3,473259004","2,152786458","3,37543985","4,047149384"
01/08/2020,"2,6769654","2,095224836","0,5084745763","3,455216023","2,134203983","3,357920611","4,024910764"
02/08/2020,"2,589733102","2,091875738","0,9661835749","3,44239645","2,114270983","3,334509115","3,997847622"
03/08/2020,"2,538716676","2,086944464","1,073619632","3,44196562","2,098240868","3,314693894","3,980421011"
04/08/2020,"2,474181924","2,089097952","1,19047619","3,419760943","2,085414206","3,300738157","3,962769475"
05/08/2020,"2,408283746","2,082902269","1,255230126","3,401662007","2,071685121","3,293306882","3,944323988"
06/08/2020,"2,341114407","2,086920587","1,333333333","3,382068338","2,051479127","3,278666051","3,921519686"
07/08/2020,"2,276898872","2,087625326","1,267427123","3,361145973","2,035706984","3,264447322","3,898968295"
08/08/2020,"2,20100545","2,089327305","1,231527094","3,335433533","2,014807177","3,250625905","3,878582058"
09/08/2020,"2,146283465","2,085327499","1,545778835","3,328993465","2,003815674","3,231508231","3,858889281"
10/08/2020,"2,120241046","2,080491132","1,770956316","3,327980324","1,994864844","3,213754641","3,843997515"
11/08/2020,"2,103296092","2,072855784","1,847575058","3,313127285","1,97846189","3,203686871","3,827852322"
12/08/2020,"2,078458899","2,064996615","2,038505096","3,292514341","1,962458228","3,198101335","3,810202143"
13/08/2020,"2,044939109","2,050695892","2,305159166","3,270296284","1,951901316","3,187107176","3,790184254"
14/08/2020,"2,006763536","2,028060376","2,365591398","3,252094324","1,941310935","3,173083617","3,767345393"
15/08/2020,"1,985431691","1,991121556","2,523659306","3,232707163","1,929765494","3,163948695","3,751848863"
16/08/2020,"1,96704355","1,96583951","2,489626556","3,228911349","1,923243253","3,152383275","3,736085146"
17/08/2020,"1,960611457","1,941501174","2,543234995","3,230651542","1,91650439","3,140201319","3,721307484"
18/08/2020,"1,969255327","1,905592228","2,628918099","3,225024462","1,91120942","3,136770024","3,710500767"
19/08/2020,"1,954774554","1,878135324","2,515090543","3,214092712","1,898746001","3,134106016","3,696007821"
20/08/2020,"1,931552588","1,853629274","2,482621648","3,20687612","1,887553449","3,129149258","3,679883776"
21/08/2020,"1,92784131","1,817433243","2,477700694","3,209156562","1,874986768","3,121317502","3,663024952"
22/08/2020,"1,904192777","1,775964136","2,564102564","3,189236599","1,862302705","3,113672456","3,646367689"
23/08/2020,"1,896006895","1,749221625","2,657480315","3,182221448","1,852400311","3,104526461","3,632471067"
24/08/2020,"1,901580164","1,727500697","2,641878669","3,182816012","1,843512645","3,093063491","3,618276359"
25/08/2020,"1,908026546","1,708185053","2,623906706","3,176571085","1,840785698","3,092748885","3,609127888"
26/08/2020,"1,898763488","1,673259917","2,901353965","3,165457678","1,826819494","3,08871164","3,593902311"
27/08/2020,"1,890241116","1,656444934","2,895752896","3,154391554","1,816354244","3,083819364","3,577616671"
28/08/2020,"1,881231297","1,654639175","2,89017341","3,140872208","1,805730531","3,075936701","3,560325637"
29/08/2020,"1,887072588","1,639677141","3,076923077","3,126812688","1,792345062","3,069220672","3,545262038"
30/08/2020,"1,890873775","1,624304407","3,076923077","3,128386088","1,780299317","3,058957364","3,531348684"
31/08/2020,"1,8977718","1,605390942","3,256704981","3,105745967","1,768763583","3,049985847","3,512129378"
01/09/2020,"1,902264463","1,594209986","3,256704981","3,102964846","1,75971867","3,045910949","3,501914154"
02/09/2020,"1,906088855","1,593683395","3,250478011","3,096152571","1,748479138","3,043024251","3,488205244"
03/09/2020,"1,898175816","1,588139334","3,346080306","3,083254859","1,73930405","3,037896439","3,474006146"
04/09/2020,"1,907826038","1,584959543","3,336510963","3,067157958","1,729005843","3,028652209","3,455173185"
05/09/2020,"1,904375446","1,577182793","3,336510963","3,060950764","1,716802255","3,019927169","3,439669479"
06/09/2020,"1,899385411","1,577761082","3,336510963","3,061011654","1,703890465","3,012429567","3,425480125"
07/09/2020,"1,906858876","1,591078761","3,336510963","3,060904182","1,700182832","3,005823784","3,433192227"
08/09/2020,"1,922336505","1,593477858","3,320683112","3,062512359","1,690797157","3,000083101","3,421602181"
09/09/2020,"1,927276698","1,591316746","3,305004721","3,061991396","1,680794955","3,002275246","3,409177791"
10/09/2020,"1,915688078","1,596788175","3,305004721","3,055884161","1,671724662","2,999720458","3,39426293"
11/09/2020,"1,915287427","1,609612333","3,301886792","3,045095891","1,662494979","2,995549305","3,377176999"
12/09/2020,"1,916070526","1,614357864","3,301886792","3,040303896","1,652926285","2,987532197","3,361133361"
13/09/2020,"1,914179203","1,628898362","3,292568203","3,039518942","1,644964424","2,978274584","3,346599908"
14/09/2020,"1,916642517","1,639051405","3,292568203","3,037686309","1,638379988","2,969228179","3,33196271"
15/09/2020,"1,913769197","1,630821187","3,292568203","3,037677109","1,634663975","2,969613092","3,322154703"
16/09/2020,"1,923451563","1,641876683","3,292568203","3,034701996","1,625515581","2,966643811","3,30823113"
17/09/2020,"1,922878381","1,654742571","3,283302064","3,028581586","1,617971736","2,959446676","3,292287009"
