CASE_LBL,Brazil,India,Japan,Korea__South,US,United_Kingdom,Vietnam
1/22/2020,0,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0
1/24/2020,0,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0
1/30/2020,0,0,0,0,0,0,0
1/31/2020,0,0,0,0,0,0,0
2/1/2020,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0
2/4/2020,0,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0,0
2/6/2020,0,0,0,0,0,0,0
2/7/2020,0,0,0,0,0,0,0
2/8/2020,0,0,0,0,0,0,0
2/9/2020,0,0,0,0,0,0,0
2/10/2020,0,0,0,0,0,0,0
2/11/2020,0,0,0,0,0,0,0
2/12/2020,0,0,0,0,0,0,0
2/13/2020,0,0,1,0,0,0,0
2/14/2020,0,0,1,0,0,0,0
2/15/2020,0,0,1,0,0,0,0
2/16/2020,0,0,1,0,0,0,0
2/17/2020,0,0,1,0,0,0,0
2/18/2020,0,0,2,0,0,0,0
2/19/2020,0,0,2,0,0,0,0
2/20/2020,0,0,2,1,0,0,0
2/21/2020,0,0,2,2,0,0,0
2/22/2020,0,0,2,2,0,0,0
2/23/2020,0,0,2,6,0,0,0
2/24/2020,0,0,2,8,0,0,0
2/25/2020,0,0,3,10,0,0,0
2/26/2020,0,0,3,12,0,0,0
2/27/2020,0,0,4,13,0,0,0
2/28/2020,0,0,5,13,0,0,0
2/29/2020,0,0,6,16,1,0,0
3/1/2020,0,0,6,17,1,0,0
3/2/2020,0,0,6,28,6,0,0
3/3/2020,0,0,6,28,7,0,0
3/4/2020,0,0,7,35,11,0,0
3/5/2020,0,0,7,35,12,0,0
3/6/2020,0,0,7,42,14,1,0
3/7/2020,0,0,7,44,17,2,0
3/8/2020,0,0,8,50,21,2,0
3/9/2020,0,0,10,53,22,3,0
3/10/2020,0,0,13,54,28,7,0
3/11/2020,0,1,15,60,33,7,0
3/12/2020,0,1,19,66,43,9,0
3/13/2020,0,2,21,66,51,10,0
3/14/2020,0,2,22,72,58,29,0
3/15/2020,0,2,24,75,70,43,0
3/16/2020,0,2,30,75,97,65,0
3/17/2020,1,3,30,81,134,82,0
3/18/2020,3,3,32,84,194,116,0
3/19/2020,6,4,33,91,266,162,0
3/20/2020,11,5,34,94,372,194,0
3/21/2020,15,4,36,102,475,252,0
3/22/2020,25,7,40,111,599,288,0
3/23/2020,34,10,41,111,790,364,0
3/24/2020,46,10,42,120,1033,512,0
3/25/2020,59,12,45,126,1367,703,0
3/26/2020,77,20,47,131,1785,884,0
3/27/2020,92,20,53,139,2307,1172,0
