CASE_LBL,Brazil,India,Japan,Korea__South,US,United_Kingdom,Vietnam
1/22/2020,0,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0
1/24/2020,0,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0,0
1/26/2020,0,0,1,0,0,0,0
1/27/2020,0,0,1,0,0,0,0
1/28/2020,0,0,1,0,0,0,0
1/29/2020,0,0,1,0,0,0,0
1/30/2020,0,0,1,0,0,0,0
1/31/2020,0,0,1,0,0,0,0
2/1/2020,0,0,1,0,0,0,1
2/2/2020,0,0,1,0,0,0,1
2/3/2020,0,0,1,0,0,0,1
2/4/2020,0,0,1,0,0,0,1
2/5/2020,0,0,1,0,0,0,1
2/6/2020,0,0,1,0,0,0,1
2/7/2020,0,0,1,1,0,0,1
2/8/2020,0,0,1,1,0,0,1
2/9/2020,0,0,1,3,3,0,1
2/10/2020,0,0,4,3,3,0,1
2/11/2020,0,0,9,3,3,0,6
2/12/2020,0,0,9,7,3,1,6
2/13/2020,0,0,9,7,3,1,7
2/14/2020,0,0,9,7,3,1,7
2/15/2020,0,0,12,9,3,1,7
2/16/2020,0,3,12,9,3,8,7
2/17/2020,0,3,12,10,3,8,7
2/18/2020,0,3,13,12,3,8,7
2/19/2020,0,3,18,12,3,8,7
2/20/2020,0,3,18,16,3,8,7
2/21/2020,0,3,22,16,5,8,14
2/22/2020,0,3,22,16,5,8,14
2/23/2020,0,3,22,18,5,8,14
2/24/2020,0,3,22,18,5,8,14
2/25/2020,0,3,22,22,6,8,16
2/26/2020,0,3,22,22,6,8,16
2/27/2020,0,3,22,22,6,8,16
2/28/2020,0,3,22,22,7,8,16
2/29/2020,0,3,32,27,7,8,16
3/1/2020,0,3,32,30,7,8,16
3/2/2020,0,3,32,30,7,8,16
3/3/2020,0,3,43,30,7,8,16
3/4/2020,0,3,43,41,7,8,16
3/5/2020,0,3,43,41,7,8,16
3/6/2020,0,3,46,135,7,8,16
3/7/2020,0,3,76,135,7,18,16
3/8/2020,0,3,76,118,7,18,16
3/9/2020,0,3,76,118,7,18,16
3/10/2020,0,4,101,247,8,18,16
3/11/2020,0,4,118,288,8,18,16
3/12/2020,0,4,118,333,12,18,16
3/13/2020,0,4,118,510,12,18,16
3/14/2020,0,4,118,510,12,18,16
3/15/2020,0,13,118,510,12,18,16
3/16/2020,1,13,144,1137,17,20,16
3/17/2020,2,14,144,1407,17,52,16
3/18/2020,2,14,144,1540,105,65,16
3/19/2020,2,15,150,1540,121,65,16
3/20/2020,2,20,191,1540,147,65,16
3/21/2020,2,23,232,1540,176,65,17
3/22/2020,2,27,235,2909,178,65,17
3/23/2020,2,27,235,2909,178,65,17
3/24/2020,2,40,285,3507,348,135,17
3/25/2020,2,43,310,3730,361,135,17
3/26/2020,6,45,359,4144,681,135,20
3/27/2020,6,73,372,4528,869,135,20
