Date,Confirmed
0-07-01,10675596
0-07-02,10885548
0-07-03,11086923
0-07-04,11280744
0-07-05,11464726
0-07-06,11628722
0-07-07,11840091
0-07-08,12054250
0-07-09,12281090
0-07-10,12513766
0-07-11,12730232
0-07-12,12922492
0-07-13,13113970
0-07-14,13336173
0-07-15,13567611
0-07-16,13818969
0-07-17,14061686
0-07-18,14297865
0-07-19,14511279
0-07-20,14718412
0-07-21,14952034
0-07-22,15231917
0-07-23,15514776
0-07-24,15795846
0-07-25,16049938
0-07-26,16263015
0-07-27,16489477
0-07-28,16742217
0-07-29,17033965
0-07-30,17314074
0-07-31,17604811
0-08-01,17853166
0-08-02,18084181
0-08-03,18290628
0-08-04,18548543
0-08-05,18825127
0-08-06,19110321
0-08-07,19392566
0-08-08,19651099
0-08-09,19875797
0-08-10,20101808
0-08-11,20359380
0-08-12,20636018
0-08-13,20925236
0-08-14,21228980
0-08-15,21476718
0-08-16,21691208
0-08-17,21898916
0-08-18,22157171
0-08-19,22436722
0-08-20,22709277
0-08-21,22970496
0-08-22,23234766
0-08-23,23440930
0-08-24,23666158
0-08-25,23910153
0-08-26,24193952
0-08-27,24477860
0-08-28,24761471
0-08-29,25025287
0-08-30,25246275
0-08-31,25509140
0-09-01,25774047
0-09-02,26057555
0-09-03,26339015
0-09-04,26653020
0-09-05,26923081
0-09-06,27153595
0-09-07,27371523
0-09-08,27613555
0-09-09,27898369
0-09-10,28198228
0-09-11,28519589
0-09-12,28806206
0-09-13,29048946
0-09-14,29312693
0-09-15,29598140
0-09-16,29902687
0-09-17,30217566
0-09-18,30543485
0-09-19,30835647
0-09-20,31087793
0-09-21,31363785
0-09-22,31648303
0-09-23,31924402
0-09-24,32277431
0-09-25,32608314
0-09-26,32896777
0-09-27,33148188
0-09-28,33403027
0-09-29,33685585
0-09-30,34011804
0-10-01,34330104
0-10-02,34627958
0-10-03,34960044
0-10-04,35221464
0-10-05,35522414
0-10-06,35848966
0-10-07,36199957
0-10-08,36561290
0-10-09,36922190
0-10-10,37279326
0-10-11,37566278
0-10-12,37857976
0-10-13,38177218
0-10-14,38559565
0-10-15,38966541
0-10-16,39378313
0-10-17,39750993
0-10-18,40067583
0-10-19,40454758
0-10-20,40843745
0-10-21,41288653
0-10-22,41761382
0-10-23,42258164
0-10-24,42714986
0-10-25,43075703
0-10-26,43562021
0-10-27,44032249
0-10-28,44544143
0-10-29,45094525
0-10-30,45665604
0-10-31,46142428
0-11-01,46604864
0-11-02,47167894
0-11-03,47721721
0-11-04,48233206
0-11-05,48829777
0-11-06,49474659
0-11-07,50071611
0-11-08,50555683
0-11-09,51057076
0-11-10,51616461
0-11-11,52265191
0-11-12,52914645
0-11-13,53566727
0-11-14,54161862
0-11-15,54635935
0-11-16,55170071
0-11-17,55781327
0-11-18,56408504
0-11-19,57062051
0-11-20,57730831
0-11-21,58318557
0-11-22,58806701
0-11-23,59331660
0-11-24,59921951
0-11-25,60558291
0-11-26,61140970
0-11-27,61827863
0-11-28,62414022
0-11-29,62902699
0-11-30,63411091
0-12-01,64023308
0-12-02,64675043
0-12-03,65369179
0-12-04,66052314
0-12-05,66694746
0-12-06,67233741
0-12-07,67753311
0-12-08,68396799
0-12-09,69066819
0-12-10,70564945
0-12-11,71269554
0-12-12,71904616
0-12-13,72435722
0-12-14,72960602
0-12-15,73596794
0-12-16,74330464
0-12-17,75070221
0-12-18,75790546
0-12-19,76401995
0-12-20,76935664
0-12-21,77484615
0-12-22,78134972
0-12-23,78830100
0-12-24,79496691
0-12-25,79962475
0-12-26,80475205
0-12-27,80913868
0-12-28,81409709
0-12-29,82074293
0-12-30,82835540
0-12-31,83560482
1-01-01,84093788
1-01-02,84720299
1-01-03,85253202
1-01-04,85807043
1-01-05,86547096
1-01-06,87330661
1-01-07,88211545
1-01-08,89014809
1-01-09,89776075
1-01-10,90365376
1-01-11,90984976
1-01-12,91690531
1-01-13,92438858
1-01-14,93194145
1-01-15,93961381
1-01-16,94600703
1-01-17,95130064
1-01-18,95645312
1-01-19,96253248
1-01-20,96946210
1-01-21,97602571
1-01-22,98261639
1-01-23,98829909
1-01-24,99275699
1-01-25,99772747
1-01-26,100329071
1-01-27,100927448
1-01-28,101541893
1-01-29,102132381
1-01-30,102647858
1-01-31,103029652
1-02-01,103476199
1-02-02,103934126
1-02-03,104456157
1-02-04,104923095
1-02-05,105458548
1-02-06,105830862
1-02-07,106229038
1-02-08,106545054
1-02-09,106972720
1-02-10,107408534
1-02-11,107850003
1-02-12,108278724
1-02-13,108652122
1-02-14,108946086
1-02-15,109229345
1-02-16,109580144
1-02-17,109975720
1-02-18,110379223
1-02-19,110791727
1-02-20,111162265
1-02-21,111476792
1-02-22,111765161
1-02-23,112154029
1-02-24,112598969
1-02-25,113046460
1-02-26,113489486
1-02-27,113878785
1-02-28,114182356
1-03-01,114488090
1-03-02,114798408
1-03-03,115239558
1-03-04,115692613
1-03-05,116139645
1-03-06,116550222
1-03-07,116918602
1-03-08,117217208
1-03-09,117631885
1-03-10,118098952
1-03-11,118575835
1-03-12,119065151
1-03-13,119519364
1-03-14,119879810
1-03-15,120228591
1-03-16,120701640
1-03-17,121241068
1-03-18,121794627
1-03-19,122356343
1-03-20,122855285
1-03-21,123278672
1-03-22,123695333
1-03-23,124209643
1-03-24,124843218
1-03-25,125494652
1-03-26,126136052
1-03-27,126720792
1-03-28,127190873
1-03-29,127649131
1-03-30,128217581
1-03-31,128900516
1-04-01,129612373
1-04-02,130246167
1-04-03,130775801
1-04-04,131328758
1-04-05,131818062
1-04-06,132422295
1-04-07,133106608
1-04-08,133946462
1-04-09,134694522
1-04-10,135359190
1-04-11,136050057
1-04-12,136666545
1-04-13,137446191
1-04-14,138263254
1-04-15,139080030
1-04-16,139934945
1-04-17,140723160
1-04-18,141408751
1-04-19,142102363
1-04-20,142956456
1-04-21,143846433
1-04-22,144746200
1-04-23,145649953
1-04-24,146471022
1-04-25,147193478
1-04-26,147876137
1-04-27,148720592
1-04-28,149626600
1-04-29,150524258
1-04-30,151403270
1-05-01,152200029
1-05-02,152874414
1-05-03,153555936
1-05-04,154363355
1-05-05,155204557
1-05-06,156074567
1-05-07,156906973
1-05-08,157692702
1-05-09,158334279
1-05-10,158956114
1-05-11,159694580
1-05-12,160454640
1-05-13,161179904
1-05-14,161897925
1-05-15,162525945
1-05-16,163074549
1-05-17,163614578
1-05-18,164237099
1-05-19,164908717
1-05-20,165188667
1-05-21,165814688
1-05-22,166392888
1-05-23,166869423
1-05-24,167323966
1-05-25,167856147
1-05-26,168424728
1-05-27,168979457
1-05-28,169479742
1-05-29,169961056
1-05-30,170352481
1-05-31,170731387
