Date,Confirmed
0-07-01,18838
0-07-02,19055
0-07-03,19185
0-07-04,19461
0-07-05,19668
0-07-06,19848
0-07-07,20055
0-07-08,20261
0-07-09,20617
0-07-10,21044
0-07-11,21430
0-07-12,21841
0-07-13,22125
0-07-14,22437
0-07-15,23172
0-07-16,23510
0-07-17,24104
0-07-18,24946
0-07-19,25446
0-07-20,25706
0-07-21,26463
0-07-22,27136
0-07-23,28114
0-07-24,28883
0-07-25,29684
0-07-26,30548
0-07-27,31142
0-07-28,32116
0-07-29,33382
0-07-30,35144
0-07-31,36234
0-08-01,37804
0-08-02,39116
0-08-03,40099
0-08-04,41347
0-08-05,42686
0-08-06,44167
0-08-07,45764
0-08-08,47342
0-08-09,48782
0-08-10,49617
0-08-11,50302
0-08-12,51288
0-08-13,52471
0-08-14,53818
0-08-15,55051
0-08-16,56074
0-08-17,56717
0-08-18,57636
0-08-19,58728
0-08-20,59900
0-08-21,60949
0-08-22,61916
0-08-23,62658
0-08-24,63158
0-08-25,63888
0-08-26,64779
0-08-27,65653
0-08-28,66499
0-08-29,67353
0-08-30,67958
0-08-31,68396
0-09-01,69023
0-09-02,69619
0-09-03,70278
0-09-04,70866
0-09-05,71467
0-09-06,71918
0-09-07,72213
0-09-08,72724
0-09-09,73264
0-09-10,73916
0-09-11,74558
0-09-12,75206
0-09-13,75646
0-09-14,75914
0-09-15,76446
0-09-16,76997
0-09-17,77488
0-09-18,78061
0-09-19,78662
0-09-20,79142
0-09-21,79462
0-09-22,79773
0-09-23,80009
0-09-24,80490
0-09-25,81054
0-09-26,81703
0-09-27,82186
0-09-28,82484
0-09-29,83022
0-09-30,83591
0-10-01,84244
0-10-02,84768
0-10-03,85345
0-10-04,85746
0-10-05,86027
0-10-06,86540
0-10-07,87039
0-10-08,87679
0-10-09,88267
0-10-10,88962
0-10-11,89400
0-10-12,89652
0-10-13,90153
0-10-14,90694
0-10-15,91402
0-10-16,92044
0-10-17,92670
0-10-18,93098
0-10-19,93408
0-10-20,93895
0-10-21,94515
0-10-22,95134
0-10-23,95868
0-10-24,96599
0-10-25,97095
0-10-26,97503
0-10-27,98146
0-10-28,98877
0-10-29,99674
0-10-30,100450
0-10-31,101327
0-11-01,101943
0-11-02,102431
0-11-03,103309
0-11-04,103928
0-11-05,104964
0-11-06,106136
0-11-07,107439
0-11-08,108394
0-11-09,109191
0-11-10,110487
0-11-11,112011
0-11-12,113655
0-11-13,115360
0-11-14,117113
0-11-15,118611
0-11-16,119557
0-11-17,121247
0-11-18,123477
0-11-19,125859
0-11-20,128285
0-11-21,130871
0-11-22,133034
0-11-23,134554
0-11-24,135786
0-11-25,137735
0-11-26,140225
0-11-27,142778
0-11-28,145457
0-11-29,147515
0-11-30,148962
0-12-01,150976
0-12-02,153432
0-12-03,155938
0-12-04,158387
0-12-05,160870
0-12-06,162917
0-12-07,164434
0-12-08,166592
0-12-09,169429
0-12-10,172406
0-12-11,175310
0-12-12,178272
0-12-13,180639
0-12-14,182311
0-12-15,184752
0-12-16,187751
0-12-17,190950
0-12-18,193753
0-12-19,196815
0-12-20,199270
0-12-21,201074
0-12-22,203732
0-12-23,207007
0-12-24,210769
0-12-25,214575
0-12-26,218467
0-12-27,221412
0-12-28,223786
0-12-29,227415
0-12-30,231271
0-12-31,235811
1-01-01,239068
1-01-02,242097
1-01-03,245293
1-01-04,248625
1-01-05,253571
1-01-06,259521
1-01-07,267084
1-01-08,274947
1-01-09,282737
1-01-10,288818
1-01-11,293746
1-01-12,298321
1-01-13,304140
1-01-14,310734
1-01-15,317871
1-01-16,324942
1-01-17,330715
1-01-18,335605
1-01-19,340989
1-01-20,346508
1-01-21,352129
1-01-22,357174
1-01-23,361928
1-01-24,365899
1-01-25,368684
1-01-26,372545
1-01-27,376482
1-01-28,380644
1-01-29,384180
1-01-30,387499
1-01-31,390166
1-02-01,391956
1-02-02,394269
1-02-03,396900
1-02-04,399492
1-02-05,401858
1-02-06,404128
1-02-07,405765
1-02-08,406992
1-02-09,408550
1-02-10,410434
1-02-11,412125
1-02-12,413441
1-02-13,414803
1-02-14,416154
1-02-15,417127
1-02-16,418435
1-02-17,419896
1-02-18,421421
1-02-19,422718
1-02-20,423952
1-02-21,424988
1-02-22,425725
1-02-23,426828
1-02-24,427732
1-02-25,428816
1-02-26,429873
1-02-27,431093
1-02-28,432090
1-03-01,432778
1-03-02,433700
1-03-03,434944
1-03-04,436093
1-03-05,437222
1-03-06,437634
1-03-07,439356
1-03-08,439977
1-03-09,441152
1-03-10,442411
1-03-11,443714
1-03-12,444977
1-03-13,446312
1-03-14,447287
1-03-15,448000
1-03-16,449142
1-03-17,450687
1-03-18,452147
1-03-19,453616
1-03-20,455212
1-03-21,456318
1-03-22,457104
1-03-23,458621
1-03-24,460595
1-03-25,462506
1-03-26,464483
1-03-27,466563
1-03-28,468346
1-03-29,469636
1-03-30,471777
1-03-31,474641
1-04-01,477239
1-04-02,479953
1-04-03,482704
1-04-04,485226
1-04-05,486792
1-04-06,489407
1-04-07,492860
1-04-08,496351
1-04-09,499831
1-04-10,503537
1-04-11,506237
1-04-12,508350
1-04-13,511799
1-04-14,517281
1-04-15,521796
1-04-16,526307
1-04-17,531109
1-04-18,535220
1-04-19,537494
1-04-20,542467
1-04-21,547836
1-04-22,553362
1-04-23,558376
1-04-24,563998
1-04-25,568621
1-04-26,571904
1-04-27,576870
1-04-28,580666
1-04-29,588580
1-04-30,593264
1-05-01,599253
1-05-02,605150
1-05-03,609625
1-05-04,613822
1-05-05,617890
1-05-06,622273
1-05-07,628319
1-05-08,635568
1-05-09,642146
1-05-10,647003
1-05-11,653363
1-05-12,660884
1-05-13,667251
1-05-14,673539
1-05-15,679870
1-05-16,685135
1-05-17,688873
1-05-18,694077
1-05-19,699931
1-05-20,705641
1-05-21,710895
1-05-22,715880
1-05-23,719925
1-05-24,722668
1-05-25,726586
1-05-26,731071
1-05-27,735234
1-05-28,738935
1-05-29,742539
1-05-30,745392
1-05-31,747188
