Date,new_cases,new_cases_smoothed
0-07-01,223,125
0-07-02,217,142.857
0-07-03,130,146.143
0-07-04,276,172.429
0-07-05,207,186
0-07-06,180,196
0-07-07,207,205.714
0-07-08,206,203.286
0-07-09,356,223.143
0-07-10,427,265.571
0-07-11,386,281.286
0-07-12,411,310.429
0-07-13,284,325.286
0-07-14,312,340.286
0-07-15,735,415.857
0-07-16,338,413.286
0-07-17,594,437.143
0-07-18,842,502.286
0-07-19,500,515
0-07-20,260,511.571
0-07-21,757,575.143
0-07-22,673,566.286
0-07-23,978,657.714
0-07-24,769,682.714
0-07-25,801,676.857
0-07-26,864,728.857
0-07-27,594,776.571
0-07-28,974,807.571
0-07-29,1266,892.286
0-07-30,1762,1004.286
0-07-31,1090,1050.143
0-08-01,1570,1160
0-08-02,1312,1224
0-08-03,983,1279.571
0-08-04,1248,1318.714
0-08-05,1339,1329.143
0-08-06,1481,1289
0-08-07,1597,1361.429
0-08-08,1578,1362.571
0-08-09,1440,1380.857
0-08-10,835,1359.714
0-08-11,685,1279.286
0-08-12,986,1228.857
0-08-13,1183,1186.286
0-08-14,1347,1150.571
0-08-15,1233,1101.286
0-08-16,1023,1041.714
0-08-17,643,1014.286
0-08-18,919,1047.714
0-08-19,1092,1062.857
0-08-20,1172,1061.286
0-08-21,1049,1018.714
0-08-22,967,980.714
0-08-23,742,940.571
0-08-24,500,920.143
0-08-25,730,893.143
0-08-26,891,864.429
0-08-27,874,821.857
0-08-28,846,792.857
0-08-29,854,776.714
0-08-30,605,757.143
0-08-31,438,748.286
0-09-01,627,733.571
0-09-02,596,691.429
0-09-03,659,660.714
0-09-04,588,623.857
0-09-05,601,587.714
0-09-06,451,565.714
0-09-07,295,545.286
0-09-08,511,528.714
0-09-09,540,520.714
0-09-10,652,519.714
0-09-11,642,527.429
0-09-12,648,534.143
0-09-13,440,532.571
0-09-14,268,528.714
0-09-15,532,531.714
0-09-16,551,533.286
0-09-17,491,510.286
0-09-18,573,500.429
0-09-19,601,493.714
0-09-20,480,499.429
0-09-21,320,506.857
0-09-22,311,475.286
0-09-23,236,430.286
0-09-24,481,428.857
0-09-25,564,427.571
0-09-26,649,434.429
0-09-27,483,434.857
0-09-28,298,431.714
0-09-29,538,464.143
0-09-30,569,511.714
0-10-01,653,536.286
0-10-02,524,530.571
0-10-03,577,520.286
0-10-04,401,508.571
0-10-05,281,506.143
0-10-06,513,502.571
0-10-07,499,492.571
0-10-08,640,490.714
0-10-09,588,499.857
0-10-10,695,516.714
0-10-11,438,522
0-10-12,252,517.857
0-10-13,501,516.143
0-10-14,541,522.143
0-10-15,708,531.857
0-10-16,642,539.571
0-10-17,626,529.714
0-10-18,428,528.286
0-10-19,310,536.571
0-10-20,487,534.571
0-10-21,620,545.857
0-10-22,619,533.143
0-10-23,734,546.286
0-10-24,731,561.286
0-10-25,496,571
0-10-26,408,585
0-10-27,643,607.286
0-10-28,731,623.143
0-10-29,797,648.571
0-10-30,776,654.571
0-10-31,877,675.429
0-11-01,616,692.571
0-11-02,488,704
0-11-03,878,737.571
0-11-04,619,721.571
0-11-05,1036,755.714
0-11-06,1172,812.286
0-11-07,1303,873.143
0-11-08,955,921.571
0-11-09,797,965.714
0-11-10,1296,1025.429
0-11-11,1524,1154.714
0-11-12,1644,1241.571
0-11-13,1705,1317.714
0-11-14,1753,1382
