Date,Confirmed
0-07-01,12904
0-07-02,12967
0-07-03,13030
0-07-04,13091
0-07-05,13137
0-07-06,13181
0-07-07,13244
0-07-08,13293
0-07-09,13338
0-07-10,13373
0-07-11,13417
0-07-12,13479
0-07-13,13512
0-07-14,13551
0-07-15,13612
0-07-16,13672
0-07-17,13711
0-07-18,13745
0-07-19,13771
0-07-20,13816
0-07-21,13879
0-07-22,13938
0-07-23,13979
0-07-24,14092
0-07-25,14150
0-07-26,14175
0-07-27,14203
0-07-28,14251
0-07-29,14269
0-07-30,14305
0-07-31,14336
0-08-01,14366
0-08-02,14389
0-08-03,14423
0-08-04,14456
0-08-05,14499
0-08-06,14519
0-08-07,14562
0-08-08,14598
0-08-09,14626
0-08-10,14660
0-08-11,14714
0-08-12,14770
0-08-13,14873
0-08-14,15039
0-08-15,15318
0-08-16,15515
0-08-17,15761
0-08-18,16058
0-08-19,16346
0-08-20,16670
0-08-21,17002
0-08-22,17399
0-08-23,17665
0-08-24,17945
0-08-25,18265
0-08-26,18706
0-08-27,19077
0-08-28,19400
0-08-29,19699
0-08-30,19947
0-08-31,20182
0-09-01,20449
0-09-02,20644
0-09-03,20842
0-09-04,21010
0-09-05,21177
0-09-06,21296
0-09-07,21432
0-09-08,21588
0-09-09,21743
0-09-10,21919
0-09-11,22055
0-09-12,22176
0-09-13,22285
0-09-14,22391
0-09-15,22504
0-09-16,22657
0-09-17,22783
0-09-18,22893
0-09-19,22975
0-09-20,23045
0-09-21,23106
0-09-22,23216
0-09-23,23341
0-09-24,23455
0-09-25,23516
0-09-26,23611
0-09-27,23661
0-09-28,23699
0-09-29,23812
0-09-30,23889
0-10-01,23952
0-10-02,24027
0-10-03,24091
0-10-04,24164
0-10-05,24239
0-10-06,24353
0-10-07,24422
0-10-08,24476
0-10-09,24548
0-10-10,24606
0-10-11,24703
0-10-12,24805
0-10-13,24889
0-10-14,24988
0-10-15,25035
0-10-16,25108
0-10-17,25199
0-10-18,25275
0-10-19,25333
0-10-20,25424
0-10-21,25543
0-10-22,25698
0-10-23,25775
0-10-24,25836
0-10-25,25955
0-10-26,26043
0-10-27,26146
0-10-28,26271
0-10-29,26385
0-10-30,26511
0-10-31,26635
0-11-01,26732
0-11-02,26807
0-11-03,26925
0-11-04,27050
0-11-05,27195
0-11-06,27284
0-11-07,27427
0-11-08,27553
0-11-09,27653
0-11-10,27799
0-11-11,27942
0-11-12,28133
0-11-13,28338
0-11-14,28546
0-11-15,28769
0-11-16,28998
0-11-17,29311
0-11-18,29654
0-11-19,30017
0-11-20,30403
0-11-21,30733
0-11-22,31004
0-11-23,31353
0-11-24,31735
0-11-25,32318
0-11-26,32887
0-11-27,33375
0-11-28,33824
0-11-29,34201
0-11-30,34652
0-12-01,35163
0-12-02,35703
0-12-03,36332
0-12-04,36915
0-12-05,37546
0-12-06,38161
0-12-07,38755
0-12-08,39432
0-12-09,40098
0-12-10,40786
0-12-11,41736
0-12-12,42766
0-12-13,43484
0-12-14,44364
