Date,new_cases,new_cases_smoothed
0-07-01,54,48.714
0-07-02,63,52.143
0-07-03,63,53.857
0-07-04,61,53.714
0-07-05,46,54.286
0-07-06,44,54.429
0-07-07,63,56.286
0-07-08,49,55.571
0-07-09,45,53
0-07-10,35,49
0-07-11,44,46.571
0-07-12,62,48.857
0-07-13,33,47.286
0-07-14,39,43.857
0-07-15,61,45.571
0-07-16,60,47.714
0-07-17,39,48.286
0-07-18,34,46.857
0-07-19,26,41.714
0-07-20,45,43.429
0-07-21,63,46.857
0-07-22,59,46.571
0-07-23,41,43.857
0-07-24,113,54.429
0-07-25,58,57.857
0-07-26,25,57.714
0-07-27,28,55.286
0-07-28,48,53.143
0-07-29,18,47.286
0-07-30,36,46.571
0-07-31,31,34.857
0-08-01,30,30.857
0-08-02,23,30.571
0-08-03,34,31.429
0-08-04,33,29.286
0-08-05,43,32.857
0-08-06,20,30.571
0-08-07,43,32.286
0-08-08,36,33.143
0-08-09,28,33.857
0-08-10,34,33.857
0-08-11,54,36.857
0-08-12,56,38.714
0-08-13,103,50.571
0-08-14,166,68.143
0-08-15,279,102.857
0-08-16,197,127
0-08-17,246,157.286
0-08-18,297,192
0-08-19,288,225.143
0-08-20,324,256.714
0-08-21,332,280.429
0-08-22,397,297.286
0-08-23,266,307.143
0-08-24,280,312
0-08-25,320,315.286
0-08-26,441,337.143
0-08-27,371,343.857
0-08-28,323,342.571
0-08-29,299,328.571
0-08-30,248,326
0-08-31,235,319.571
0-09-01,267,312
0-09-02,195,276.857
0-09-03,198,252.143
0-09-04,168,230
0-09-05,167,211.143
0-09-06,119,192.714
0-09-07,136,178.571
0-09-08,156,162.714
0-09-09,155,157
0-09-10,176,153.857
0-09-11,136,149.286
0-09-12,121,142.714
0-09-13,109,141.286
0-09-14,106,137
0-09-15,113,130.857
0-09-16,153,130.571
0-09-17,126,123.429
0-09-18,110,119.714
0-09-19,82,114.143
0-09-20,70,108.571
0-09-21,61,102.143
0-09-22,110,101.714
0-09-23,125,97.714
0-09-24,114,96
0-09-25,61,89
0-09-26,95,90.857
0-09-27,50,88
0-09-28,38,84.714
0-09-29,113,85.143
0-09-30,77,78.286
0-10-01,63,71
0-10-02,75,73
0-10-03,64,68.571
0-10-04,73,71.857
0-10-05,75,77.143
0-10-06,114,77.286
0-10-07,69,76.143
0-10-08,54,74.857
0-10-09,72,74.429
0-10-10,58,73.571
0-10-11,97,77
0-10-12,102,80.857
0-10-13,84,76.571
0-10-14,99,80.857
0-10-15,47,79.857
0-10-16,73,80
0-10-17,91,84.714
0-10-18,76,81.714
0-10-19,58,75.429
0-10-20,91,76.429
0-10-21,119,79.286
0-10-22,155,94.714
0-10-23,77,95.286
0-10-24,61,91
0-10-25,119,97.143
0-10-26,88,101.429
0-10-27,103,103.143
0-10-28,125,104
0-10-29,114,98.143
