Date,new_cases,new_cases_smoothed
0-07-01,0,.429
0-07-02,0,.429
0-07-03,0,.286
0-07-04,0,0
0-07-05,0,0
0-07-06,14,2
0-07-07,0,2
0-07-08,0,2
0-07-09,0,2
0-07-10,1,2.143
0-07-11,0,2.143
0-07-12,2,2.429
0-07-13,1,.571
0-07-14,0,.571
0-07-15,8,1.714
0-07-16,0,1.714
0-07-17,1,1.714
0-07-18,0,1.714
0-07-19,1,1.571
0-07-20,1,1.571
0-07-21,17,4
0-07-22,7,3.857
0-07-23,4,4.429
0-07-24,3,4.714
0-07-25,2,5
0-07-26,3,5.286
0-07-27,11,6.714
0-07-28,15,6.429
0-07-29,13,7.286
0-07-30,50,13.857
0-07-31,49,20.429
0-08-01,32,24.714
0-08-02,31,28.714
0-08-03,31,31.571
0-08-04,20,32.286
0-08-05,45,36.857
0-08-06,33,34.429
0-08-07,39,33
0-08-08,23,31.714
0-08-09,29,31.429
0-08-10,6,27.857
0-08-11,19,27.714
0-08-12,17,23.714
0-08-13,28,23
0-08-14,19,20.143
0-08-15,21,19.857
0-08-16,13,17.571
0-08-17,19,19.429
0-08-18,6,17.571
0-08-19,5,15.857
0-08-20,13,13.714
0-08-21,2,11.286
0-08-22,5,9
0-08-23,2,7.429
0-08-24,6,5.571
0-08-25,7,5.714
0-08-26,5,5.714
0-08-27,2,4.143
0-08-28,2,4.143
0-08-29,2,3.714
0-08-30,0,3.429
0-08-31,4,3.143
0-09-01,0,2.143
0-09-02,2,1.714
0-09-03,0,1.429
0-09-04,3,1.571
0-09-05,0,1.286
0-09-06,0,1.286
0-09-07,0,.714
0-09-08,5,1.429
0-09-09,5,1.857
0-09-10,0,1.857
0-09-11,1,1.571
0-09-12,0,1.571
0-09-13,3,2
0-09-14,0,2
0-09-15,0,1.286
0-09-16,0,.571
0-09-17,3,1
0-09-18,2,1.143
0-09-19,0,1.143
0-09-20,0,.714
0-09-21,0,.714
0-09-22,0,.714
0-09-23,1,.857
0-09-24,0,.429
0-09-25,0,.143
0-09-26,0,.143
0-09-27,5,.857
0-09-28,3,1.286
0-09-29,17,3.714
0-09-30,0,3.571
0-10-01,1,3.714
0-10-02,1,3.857
0-10-03,0,3.857
0-10-04,0,3.143
0-10-05,1,2.857
0-10-06,1,.571
0-10-07,1,.714
0-10-08,1,.714
0-10-09,5,1.286
0-10-10,2,1.571
0-10-11,2,1.857
0-10-12,1,1.857
0-10-13,3,2.143
0-10-14,9,3.286
0-10-15,2,3.429
0-10-16,0,2.714
0-10-17,2,2.714
0-10-18,8,3.571
0-10-19,6,4.286
0-10-20,1,4
0-10-21,3,3.143
0-10-22,4,3.429
0-10-23,0,3.429
0-10-24,12,4.857
0-10-25,8,4.857
0-10-26,1,4.143
0-10-27,3,4.429
0-10-28,1,4.143
0-10-29,4,4.143
0-10-30,0,4.143
0-10-31,3,2.857
0-11-01,0,1.714
0-11-02,12,3.286
0-11-03,10,4.286
0-11-04,1,4.286
0-11-05,4,4.286
0-11-06,5,5
0-11-07,1,4.714
0-11-08,0,4.714
0-11-09,2,3.286
0-11-10,11,3.429
0-11-11,26,7
0-11-12,1,6.571
0-11-13,3,6.286
0-11-14,9,7.429
0-11-15,16,9.714
0-11-16,2,9.714
0-11-17,5,8.857
0-11-18,12,6.857
0-11-19,4,7.286
0-11-20,1,7
0-11-21,1,5.857
0-11-22,1,3.714
0-11-23,5,4.143
0-11-24,4,4
0-11-25,5,3
0-11-26,10,3.857
0-11-27,8,4.857
0-11-28,2,5
0-11-29,2,5.143
0-11-30,4,5
0-12-01,4,5
0-12-02,7,5.286
0-12-03,3,4.286
0-12-04,0,3.143
0-12-05,4,3.429
0-12-06,1,3.286
0-12-07,1,2.857
0-12-08,10,3.714
0-12-09,4,3.286
0-12-10,4,3.429
0-12-11,6,4.286
0-12-12,4,4.286
0-12-13,2,4.429
0-12-14,5,5
0-12-15,3,4
0-12-16,0,3.429
0-12-17,2,3.143
0-12-18,3,2.714
0-12-19,1,2.286
0-12-20,2,2.286
0-12-21,1,1.714
0-12-22,6,2.143
0-12-23,1,2.286
0-12-24,11,3.571
