Date,Confirmed
0-07-01,1448753
0-07-02,1496858
0-07-03,1539081
0-07-04,1577004
0-07-05,1603055
0-07-06,1623284
0-07-07,1668589
0-07-08,1713160
0-07-09,1755779
0-07-10,1800827
0-07-11,1839850
0-07-12,1864681
0-07-13,1884967
0-07-14,1926824
0-07-15,1966748
0-07-16,2012151
0-07-17,2046328
0-07-18,2074860
0-07-19,2098389
0-07-20,2118646
0-07-21,2159654
0-07-22,2227514
0-07-23,2287475
0-07-24,2343366
0-07-25,2394513
0-07-26,2419091
0-07-27,2442375
0-07-28,2483191
0-07-29,2552265
0-07-30,2610102
0-07-31,2662485
0-08-01,2707877
0-08-02,2733677
0-08-03,2750318
0-08-04,2801921
0-08-05,2859073
0-08-06,2912212
0-08-07,2962442
0-08-08,3012412
0-08-09,3035422
0-08-10,3057470
0-08-11,3109630
0-08-12,3164785
0-08-13,3224876
0-08-14,3275520
0-08-15,3317096
0-08-16,3340197
0-08-17,3359570
0-08-18,3407354
0-08-19,3456652
0-08-20,3501975
0-08-21,3532330
0-08-22,3582362
0-08-23,3605783
0-08-24,3622861
0-08-25,3669995
0-08-26,3717156
0-08-27,3761391
0-08-28,3804803
0-08-29,3846153
0-08-30,3862311
0-08-31,3908272
0-09-01,3950931
0-09-02,3997865
0-09-03,4041638
0-09-04,4091801
0-09-05,4123000
0-09-06,4137521
0-09-07,4147794
0-09-08,4162073
0-09-09,4197889
0-09-10,4238446
0-09-11,4282164
0-09-12,4315687
0-09-13,4330455
0-09-14,4345610
0-09-15,4382263
0-09-16,4419083
0-09-17,4455386
0-09-18,4495183
0-09-19,4528240
0-09-20,4544629
0-09-21,4558040
0-09-22,4591364
0-09-23,4591364
0-09-24,4657702
0-09-25,4689613
0-09-26,4717991
0-09-27,4732309
0-09-28,4745464
0-09-29,4777522
0-09-30,4810935
0-10-01,4847092
0-10-02,4847092
0-10-03,4906833
0-10-04,4915289
0-10-05,4927235
0-10-06,4969141
0-10-07,5000694
0-10-08,5028444
0-10-09,5055888
0-10-10,5082637
0-10-11,5094979
0-10-12,5103408
0-10-13,5113628
0-10-14,5140863
0-10-15,5169386
0-10-16,5200300
0-10-17,5224362
0-10-18,5224362
0-10-19,5250727
0-10-20,5273954
0-10-21,5298772
0-10-22,5323630
0-10-23,5353656
0-10-24,5380635
0-10-25,5394128
0-10-26,5409854
0-10-27,5439641
0-10-28,5468270
0-10-29,5494376
0-10-30,5516658
0-10-31,5535605
0-11-01,5545705
0-11-02,5554206
0-11-03,5566049
0-11-04,5590025
0-11-05,5590025
0-11-06,5631181
0-11-07,5653561
0-11-08,5664115
0-11-09,5675032
0-11-10,5699005
0-11-11,5747660
0-11-12,5781582
