Date,Confirmed
0-07-01,2694053
0-07-02,2750689
0-07-03,2802040
0-07-04,2847733
0-07-05,2898480
0-07-06,2941586
0-07-07,3002247
0-07-08,3062366
0-07-09,3124875
0-07-10,3192932
0-07-11,3252949
0-07-12,3311373
0-07-13,3370303
0-07-14,3438354
0-07-15,3506444
0-07-16,3582310
0-07-17,3654546
0-07-18,3717082
0-07-19,3777538
0-07-20,3839645
0-07-21,3904106
0-07-22,3974685
0-07-23,4043130
0-07-24,4116449
0-07-25,4181402
0-07-26,4236218
0-07-27,4293001
0-07-28,4359413
0-07-29,4431286
0-07-30,4498752
0-07-31,4567464
0-08-01,4623665
0-08-02,4669233
0-08-03,4714734
0-08-04,4773508
0-08-05,4827974
0-08-06,4887323
0-08-07,4946626
0-08-08,5000760
0-08-09,5046529
0-08-10,5094135
0-08-11,5142138
0-08-12,5198178
0-08-13,5249494
0-08-14,5314830
0-08-15,5361781
0-08-16,5400993
0-08-17,5437645
0-08-18,5482678
0-08-19,5529998
0-08-20,5574039
0-08-21,5622882
0-08-22,5665946
0-08-23,5700193
0-08-24,5736675
0-08-25,5777029
0-08-26,5822201
0-08-27,5867594
0-08-28,5914426
0-08-29,5957180
0-08-30,5991584
0-08-31,6026946
0-09-01,6068792
0-09-02,6109810
0-09-03,6154061
0-09-04,6204443
0-09-05,6247601
0-09-06,6278819
0-09-07,6302432
0-09-08,6329658
0-09-09,6363707
0-09-10,6399763
0-09-11,6447532
0-09-12,6488633
0-09-13,6523005
0-09-14,6557428
0-09-15,6596920
0-09-16,6635950
0-09-17,6681080
0-09-18,6730362
0-09-19,6772564
0-09-20,6811011
0-09-21,6862889
0-09-22,6902755
0-09-23,6941824
0-09-24,6988927
0-09-25,7037222
0-09-26,7081895
0-09-27,7119423
0-09-28,7152717
0-09-29,7196055
0-09-30,7235498
0-10-01,7281148
0-10-02,7336098
0-10-03,7384675
0-10-04,7420413
0-10-05,7459789
0-10-06,7505078
0-10-07,7556134
0-10-08,7614733
0-10-09,7671117
0-10-10,7726070
0-10-11,7772051
0-10-12,7813825
0-10-13,7866056
0-10-14,7925834
0-10-15,7990714
0-10-16,8059861
0-10-17,8116620
0-10-18,8165987
0-10-19,8233704
0-10-20,8295660
0-10-21,8358961
0-10-22,8435271
0-10-23,8517204
0-10-24,8599971
0-10-25,8662175
0-10-26,8729485
0-10-27,8806323
0-10-28,8885749
0-10-29,8976768
0-10-30,9076032
0-10-31,9165786
0-11-01,9270686
0-11-02,9355897
0-11-03,9483095
0-11-04,9587636
0-11-05,9717003
0-11-06,9845036
0-11-07,9972546
0-11-08,10087716
0-11-09,10208150
0-11-10,10348654
0-11-11,10495404
0-11-12,10660154
0-11-13,10840552
0-11-14,11008478
0-11-15,11144834
0-11-16,11307458
0-11-17,11471416
0-11-18,11644667
0-11-19,11836177
0-11-20,12034510
0-11-21,12213946
0-11-22,12360893
0-11-23,12534982
0-11-24,12710526
0-11-25,12893929
0-11-26,13006455
0-11-27,13214388
0-11-28,13370049
0-11-29,13510377
0-11-30,13670698
0-12-01,13859037
0-12-02,14061931
0-12-03,14285352
0-12-04,14517996
0-12-05,14733807
0-12-06,14915060
0-12-07,15109469
0-12-08,15333921
0-12-09,15556569
0-12-10,15787997
0-12-11,16028086
0-12-12,16245883
0-12-13,16433854
0-12-14,16628168
0-12-15,16837160
0-12-16,17083804
0-12-17,17323704
0-12-18,17575536
0-12-19,17767638
0-12-20,17955653
0-12-21,18154356
0-12-22,18352463
0-12-23,18582087
0-12-24,18776242
0-12-25,18874122
0-12-26,19100538
0-12-27,19256383
0-12-28,19430535
0-12-29,19630943
0-12-30,19864644
0-12-31,20100244
1-01-01,20254160
1-01-02,20554622
1-01-03,20763475
1-01-04,20947480
1-01-05,21182522
1-01-06,21438159
1-01-07,21716496
1-01-08,22011753
1-01-09,22272720
1-01-10,22486135
1-01-11,22700799
1-01-12,22927766
1-01-13,23158067
1-01-14,23393833
1-01-15,23636613
1-01-16,23838471
1-01-17,24016402
1-01-18,24160000
1-01-19,24336216
1-01-20,24519477
1-01-21,24713333
1-01-22,24904093
1-01-23,25074852
1-01-24,25206050
1-01-25,25357727
1-01-26,25505353
1-01-27,25659314
1-01-28,25828118
1-01-29,25994731
1-01-30,26137190
1-01-31,26249342
1-02-01,26384317
1-02-02,26499620
1-02-03,26621311
1-02-04,26745317
1-02-05,26879739
1-02-06,26983915
1-02-07,27073661
1-02-08,27164099
1-02-09,27259364
1-02-10,27354614
1-02-11,27460378
1-02-12,27560048
1-02-13,27647267
1-02-14,27712402
1-02-15,27766681
1-02-16,27829179
1-02-17,27899318
1-02-18,27969229
1-02-19,28048511
1-02-20,28120119
1-02-21,28177280
1-02-22,28233431
1-02-23,28305709
1-02-24,28380445
1-02-25,28457959
