Date,Confirmed
0-07-01,355
0-07-02,355
0-07-03,355
0-07-04,355
0-07-05,355
0-07-06,369
0-07-07,369
0-07-08,369
0-07-09,369
0-07-10,370
0-07-11,370
0-07-12,372
0-07-13,373
0-07-14,373
0-07-15,381
0-07-16,381
0-07-17,382
0-07-18,382
0-07-19,383
0-07-20,384
0-07-21,401
0-07-22,408
0-07-23,412
0-07-24,415
0-07-25,417
0-07-26,420
0-07-27,431
0-07-28,446
0-07-29,459
0-07-30,509
0-07-31,558
0-08-01,590
0-08-02,621
0-08-03,652
0-08-04,672
0-08-05,717
0-08-06,750
0-08-07,789
0-08-08,812
0-08-09,841
0-08-10,847
0-08-11,866
0-08-12,883
0-08-13,911
0-08-14,930
0-08-15,951
0-08-16,964
0-08-17,983
0-08-18,989
0-08-19,994
0-08-20,1007
0-08-21,1009
0-08-22,1014
0-08-23,1016
0-08-24,1022
0-08-25,1029
0-08-26,1034
0-08-27,1036
0-08-28,1038
0-08-29,1040
0-08-30,1040
0-08-31,1044
0-09-01,1044
0-09-02,1046
0-09-03,1046
0-09-04,1049
0-09-05,1049
0-09-06,1049
0-09-07,1049
0-09-08,1054
0-09-09,1059
0-09-10,1059
0-09-11,1060
0-09-12,1060
0-09-13,1063
0-09-14,1063
0-09-15,1063
0-09-16,1063
0-09-17,1066
0-09-18,1068
0-09-19,1068
0-09-20,1068
0-09-21,1068
0-09-22,1068
0-09-23,1069
0-09-24,1069
0-09-25,1069
0-09-26,1069
0-09-27,1074
0-09-28,1077
0-09-29,1094
0-09-30,1094
0-10-01,1095
0-10-02,1096
0-10-03,1096
0-10-04,1096
0-10-05,1097
0-10-06,1098
0-10-07,1099
0-10-08,1100
0-10-09,1105
0-10-10,1107
0-10-11,1109
0-10-12,1110
0-10-13,1113
0-10-14,1122
0-10-15,1124
0-10-16,1124
0-10-17,1126
0-10-18,1134
0-10-19,1140
0-10-20,1141
0-10-21,1144
0-10-22,1148
0-10-23,1148
0-10-24,1160
0-10-25,1168
0-10-26,1169
0-10-27,1172
0-10-28,1173
0-10-29,1177
0-10-30,1177
0-10-31,1180
0-11-01,1180
0-11-02,1192
0-11-03,1202
0-11-04,1203
0-11-05,1207
0-11-06,1212
0-11-07,1213
0-11-08,1213
0-11-09,1215
0-11-10,1226
0-11-11,1252
0-11-12,1253
0-11-13,1256
0-11-14,1265
0-11-15,1281
0-11-16,1283
0-11-17,1288
0-11-18,1300
0-11-19,1304
0-11-20,1305
