Date,Infected
0-07-01,570479
0-07-02,477282
0-07-03,491292
0-07-04,522008
0-07-05,509143
0-07-06,495255
0-07-07,494836
0-07-08,505352
0-07-09,515148
0-07-10,513068
0-07-11,524293
0-07-12,527738
0-07-13,520883
0-07-14,529266
0-07-15,541284
0-07-16,537932
0-07-17,539957
0-07-18,548680
0-07-19,559829
0-07-20,524226
0-07-21,522828
0-07-22,552768
0-07-23,583080
0-07-24,564914
0-07-25,522705
0-07-26,519174
0-07-27,508116
0-07-28,525903
0-07-29,539329
0-07-30,562032
0-07-31,561156
0-08-01,576332
0-08-02,576697
0-08-03,556677
0-08-04,548618
0-08-05,571456
0-08-06,583177
0-08-07,590571
0-08-08,590398
0-08-09,577390
0-08-10,564888
0-08-11,557266
0-08-12,554356
0-08-13,598313
0-08-14,552016
0-08-15,586986
0-08-16,577328
0-08-17,551954
0-08-18,546220
0-08-19,543621
0-08-20,545353
0-08-21,563414
0-08-22,554146
0-08-23,543255
0-08-24,531296
0-08-25,520864
0-08-26,517044
0-08-27,519896
0-08-28,526516
0-08-29,523706
0-08-30,503868
0-08-31,518300
0-09-01,483095
0-09-02,486776
0-09-03,487589
0-09-04,502021
0-09-05,497798
0-09-06,488716
0-09-07,471633
0-09-08,462188
0-09-09,457718
0-09-10,451223
0-09-11,456610
0-09-12,461271
0-09-13,475624
0-09-14,443466
0-09-15,437639
0-09-16,439513
0-09-17,446517
0-09-18,461851
0-09-19,454815
0-09-20,444288
0-09-21,427336
0-09-22,436428
0-09-23,406432
0-09-24,414940
0-09-25,420586
0-09-26,423278
0-09-27,417857
0-09-28,406034
0-09-29,397449
0-09-30,392209
0-10-01,402753
0-10-02,402753
0-10-03,399738
0-10-04,393583
0-10-05,382678
0-10-06,391307
0-10-07,395294
0-10-08,391395
0-10-09,403395
0-10-10,429585
0-10-11,418098
0-10-12,426326
0-10-13,436237
0-10-14,462723
0-10-15,490533
0-10-16,520693
0-10-17,544294
0-10-18,544294
0-10-19,570158
0-10-20,592724
0-10-21,616976
0-10-22,641337
0-10-23,670792
0-10-24,697339
0-10-25,710601
0-10-26,726064
0-10-27,366962
0-10-28,362037
0-10-29,372833
0-10-30,369746
0-10-31,370560
0-11-01,363293
0-11-02,354515
0-11-03,344856
0-11-04,350757
0-11-05,350757
0-11-06,351010
0-11-07,352651
0-11-08,354546
0-11-09,349178
0-11-10,352233
0-11-11,361355
0-11-12,362844
0-11-13,371103
0-11-14,403849
0-11-15,417843
0-11-16,374952
0-11-17,386760
0-11-18,395009
0-11-19,407640
0-11-20,420655
0-11-21,446608
0-11-22,444245
0-11-23,436939
0-11-24,438948
0-11-25,461827
0-11-26,475873
0-11-27,484940
0-11-28,536275
0-11-29,560471
0-11-30,564956
0-12-01,500665
0-12-02,502841
0-12-03,519275
0-12-04,532259
0-12-05,535711
0-12-06,559942
0-12-07,549068
0-12-08,531348
0-12-09,583339
0-12-10,558815
0-12-11,577503
0-12-12,620717
0-12-13,582201
0-12-14,587261
0-12-15,580752
0-12-16,617681
0-12-17,624060
0-12-18,654373
0-12-19,637861
0-12-20,643319
0-12-21,607018
0-12-22,629221
0-12-23,663580
0-12-24,721246
0-12-25,745355
0-12-26,620822
0-12-27,615911
0-12-28,600506
0-12-29,616759
0-12-30,611233
0-12-31,632180
1-01-01,649795
1-01-02,627424
1-01-03,633556
1-01-04,607146
1-01-05,617823
1-01-06,641570
1-01-07,679654
1-01-08,675431
1-01-09,667957
1-01-10,671354
1-01-11,654795
1-01-12,706002
1-01-13,703492
1-01-14,722460
1-01-15,747171
1-01-16,759940
1-01-17,769243
1-01-18,741011
1-01-19,744293
1-01-20,807338
1-01-21,810129
1-01-22,791767
1-01-23,823881
1-01-24,806164
1-01-25,788760
1-01-26,818188
1-01-27,812539
1-01-28,857627
1-01-29,829244
1-01-30,804359
1-01-31,803854
1-02-01,801869
1-02-02,799035
1-02-03,799976
1-02-04,801301
1-02-05,820983
1-02-06,788139
1-02-07,825124
1-02-08,814288
1-02-09,788838
1-02-10,808035
1-02-11,840658
1-02-12,836302
1-02-13,830777
1-02-14,830220
1-02-15,805050
1-02-16,833777
1-02-17,803255
1-02-18,826414
1-02-19,850853
1-02-20,822666
1-02-21,825978
1-02-22,839812
1-02-23,819443
1-02-24,860169
1-02-25,874267
1-02-26,893227
1-02-27,891563
1-02-28,914001
1-03-01,893670
1-03-02,883314
1-03-03,911044
1-03-04,926892
1-03-05,958907
1-03-06,988487
1-03-07,1014469
1-03-08,958975
1-03-09,975493
1-03-10,1009655
1-03-11,1021172
1-03-12,1047251
1-03-13,1077636
1-03-14,1091654
1-03-15,1044725
1-03-16,1060254
1-03-17,1082688
1-03-18,1109825
1-03-19,1145212
1-03-20,1181584
1-03-21,1194734
1-03-22,1140506
1-03-23,1166182
1-03-24,1169195
1-03-25,1208208
1-03-26,1210510
1-03-27,1231430
1-03-28,1218201
1-03-29,1237557
1-03-30,1255094
1-03-31,1245861
1-04-01,1274347
1-04-02,1304244
1-04-03,1295894
1-04-04,1309916
1-04-05,1275291
1-04-06,1304085
1-04-07,1260270
1-04-08,1266098
1-04-09,1302275
1-04-10,1354023
1-04-11,1249928
1-04-12,1270962
1-04-13,1266448
1-04-14,1277743
1-04-15,1296386
1-04-16,1299875
1-04-17,1315523
1-04-18,1266198
1-04-19,1252185
1-04-20,1239282
1-04-21,1305110
1-04-22,1253501
1-04-23,1264390
1-04-24,1312712
1-04-25,1335431
1-04-26,1269987
1-04-27,1231422
1-04-28,1273441
1-04-29,1247411
1-04-30,1263279
1-05-01,1295646
1-05-02,1263721
1-05-03,1235764
1-05-04,1274739
1-05-05,1261124
1-05-06,1301025
1-05-07,1263260
1-05-08,1302516
1-05-09,1305050
1-05-10,1305699
1-05-11,1264702
1-05-12,1308944
1-05-13,1340882
1-05-14,1383617
1-05-15,1440997
1-05-16,1426972
1-05-17,1364123
1-05-18,1335972
1-05-19,1326598
1-05-20,1369911
1-05-21,1420840
1-05-22,1466788
1-05-23,1501747
1-05-24,1480254
1-05-25,1510187
1-05-26,1548092
1-05-27,1429678
1-05-28,1440184
1-05-29,1514319
1-05-30,1512682
1-05-31,1496754
