Date,Infected
0-07-01,226947
0-07-02,227439
0-07-03,235433
0-07-04,244814
0-07-05,253287
0-07-06,259571
0-07-07,264944
0-07-08,269789
0-07-09,276685
0-07-10,283407
0-07-11,292231
0-07-12,301609
0-07-13,311565
0-07-14,319840
0-07-15,331175
0-07-16,342473
0-07-17,359060
0-07-18,373542
0-07-19,390622
0-07-20,402678
0-07-21,411296
0-07-22,426330
0-07-23,440298
0-07-24,456234
0-07-25,468002
0-07-26,485277
0-07-27,495499
0-07-28,509447
0-07-29,527273
0-07-30,543680
0-07-31,565103
0-08-01,567730
0-08-02,579357
0-08-03,586298
0-08-04,586244
0-08-05,595501
0-08-06,607384
0-08-07,619088
0-08-08,628747
0-08-09,634945
0-08-10,639929
0-08-11,643948
0-08-12,653622
0-08-13,661595
0-08-14,667950
0-08-15,677714
0-08-16,676900
0-08-17,673213
0-08-18,676549
0-08-19,686395
0-08-20,692030
0-08-21,697330
0-08-22,707668
0-08-23,710771
0-08-24,704348
0-08-25,706851
0-08-26,725991
0-08-27,742023
0-08-28,752424
0-08-29,765302
0-08-30,781975
0-08-31,785996
0-09-01,801282
0-09-02,815538
0-09-03,831124
0-09-04,846395
0-09-05,862320
0-09-06,882542
0-09-07,883697
0-09-08,897394
0-09-09,919018
0-09-10,943480
0-09-11,958316
0-09-12,973175
0-09-13,986598
0-09-14,990061
0-09-15,995933
0-09-16,1009976
0-09-17,1017754
0-09-18,1013964
0-09-19,1010824
0-09-20,1003299
0-09-21,975861
0-09-22,968377
0-09-23,966382
0-09-24,970116
0-09-25,960969
0-09-26,956402
0-09-27,962640
0-09-28,947576
0-09-29,940441
0-09-30,940705
0-10-01,942217
0-10-02,944996
0-10-03,937625
0-10-04,934427
0-10-05,919023
0-10-06,907883
0-10-07,902425
0-10-08,893592
0-10-09,883185
0-10-10,867496
0-10-11,861853
0-10-12,838729
0-10-13,826876
0-10-14,812390
0-10-15,804528
0-10-16,795087
0-10-17,783311
0-10-18,772055
0-10-19,748538
0-10-20,740090
0-10-21,715812
0-10-22,695509
0-10-23,680680
0-10-24,668154
0-10-25,653717
0-10-26,625857
0-10-27,610803
0-10-28,603687
0-10-29,594386
0-10-30,582649
0-10-31,570458
0-11-01,561908
0-11-02,541405
0-11-03,533787
0-11-04,527962
0-11-05,520773
0-11-06,516632
0-11-07,512665
0-11-08,509673
0-11-09,505265
0-11-10,494657
0-11-11,489294
0-11-12,484547
0-11-13,480719
0-11-14,479216
0-11-15,465478
0-11-16,453401
0-11-17,446805
0-11-18,443303
0-11-19,443794
0-11-20,439747
0-11-21,440962
0-11-22,443486
0-11-23,438667
0-11-24,444746
0-11-25,452344
0-11-26,455555
0-11-27,454940
0-11-28,453956
0-11-29,446952
0-11-30,435603
0-12-01,428644
0-12-02,422943
0-12-03,416082
0-12-04,409689
0-12-05,403248
0-12-06,396729
0-12-07,383866
0-12-08,378909
0-12-09,372293
0-12-10,363750
0-12-11,359819
0-12-12,356546
0-12-13,352586
0-12-14,339820
0-12-15,332002
0-12-16,322366
0-12-17,313831
0-12-18,308751
0-12-19,305344
0-12-20,303639
0-12-21,292518
0-12-22,289240
0-12-23,283849
0-12-24,281919
0-12-25,281667
0-12-26,278690
0-12-27,277301
0-12-28,268581
0-12-29,262272
0-12-30,257656
0-12-31,257656
1-01-01,254254
1-01-02,247220
1-01-03,243953
1-01-04,231036
1-01-05,227546
1-01-06,228083
1-01-07,225449
1-01-08,225449
1-01-09,223335
1-01-10,222526
1-01-11,216558
1-01-12,214507
1-01-13,213603
1-01-14,213027
1-01-15,211033
1-01-16,208826
1-01-17,208012
1-01-18,200514
1-01-19,197180
1-01-20,192308
1-01-21,188694
1-01-22,185662
1-01-23,184408
1-01-24,184182
1-01-25,177266
1-01-26,176498
1-01-27,173740
1-01-28,171686
1-01-29,169837
1-01-30,168791
1-01-31,168235
1-02-01,163353
1-02-02,160057
1-02-03,155025
1-02-04,151460
1-02-05,148590
1-02-06,148766
1-02-07,148609
1-02-08,143625
1-02-09,141511
1-02-10,142562
1-02-11,135926
1-02-12,136571
1-02-13,137567
1-02-14,139637
1-02-15,136872
1-02-16,136549
1-02-17,137342
1-02-18,139542
1-02-19,143127
1-02-20,145634
1-02-21,150055
1-02-22,147306
1-02-23,146907
1-02-24,151708
1-02-25,155986
1-02-26,159590
1-02-27,164511
1-02-28,168632
1-03-01,168358
1-03-02,170126
1-03-03,173413
1-03-04,176319
1-03-05,180263
1-03-06,184523
1-03-07,188747
1-03-08,187462
1-03-09,184598
1-03-10,189226
1-03-11,197237
1-03-12,202022
1-03-13,210544
1-03-14,219262
1-03-15,223432
1-03-16,234406
1-03-17,252364
1-03-18,271282
1-03-19,288394
1-03-20,309087
1-03-21,334646
1-03-22,345377
1-03-23,368457
1-03-24,395192
1-03-25,421066
1-03-26,452647
1-03-27,486310
1-03-28,521808
1-03-29,540720
1-03-30,552566
1-03-31,584055
1-04-01,614696
1-04-02,658909
1-04-03,691597
1-04-04,741830
1-04-05,788223
1-04-06,843473
1-04-07,910319
1-04-08,979608
1-04-09,1046631
1-04-10,1108087
1-04-11,1201009
1-04-12,1264698
1-04-13,1365704
1-04-14,1471877
1-04-15,1569743
1-04-16,1679740
1-04-17,1801215
1-04-18,1929219
1-04-19,2031877
1-04-20,2157538
1-04-21,2291237
