Date,Infected
0-07-01,1299
0-07-02,1463
0-07-03,1487
0-07-04,1652
0-07-05,1821
0-07-06,1863
0-07-07,2017
0-07-08,2222
0-07-09,2223
0-07-10,2568
0-07-11,2954
0-07-12,3013
0-07-13,3083
0-07-14,3327
0-07-15,4062
0-07-16,3884
0-07-17,4175
0-07-18,4749
0-07-19,5249
0-07-20,5115
0-07-21,5474
0-07-22,5664
0-07-23,6244
0-07-24,6716
0-07-25,7224
0-07-26,7944
0-07-27,8174
0-07-28,8479
0-07-29,9030
0-07-30,10113
0-07-31,10452
0-08-01,11445
0-08-02,12355
0-08-03,12605
0-08-04,13137
0-08-05,13638
0-08-06,14275
0-08-07,14481
0-08-08,15052
0-08-09,14868
0-08-10,15115
0-08-11,15108
0-08-12,15253
0-08-13,15207
0-08-14,17240
0-08-15,14519
0-08-16,14411
0-08-17,14014
0-08-18,13536
0-08-19,13794
0-08-20,13633
0-08-21,13510
0-08-22,13319
0-08-23,13151
0-08-24,12868
0-08-25,12577
0-08-26,12142
0-08-27,11870
0-08-28,11557
0-08-29,11199
0-08-30,10973
0-08-31,10760
0-09-01,10207
0-09-02,10184
0-09-03,10744
0-09-04,9421
0-09-05,9007
0-09-06,8822
0-09-07,8646
0-09-08,8390
0-09-09,8118
0-09-10,8011
0-09-11,7886
0-09-12,7831
0-09-13,7674
0-09-14,7558
0-09-15,8082
0-09-16,7406
0-09-17,7171
0-09-18,7093
0-09-19,7107
0-09-20,7030
0-09-21,6974
0-09-22,7040
0-09-23,6937
0-09-24,6884
0-09-25,6494
0-09-26,6479
0-09-27,6960
0-09-28,6428
0-09-29,6492
0-09-30,6494
0-10-01,6583
0-10-02,6477
0-10-03,7051
0-10-04,6297
0-10-05,6354
0-10-06,6410
0-10-07,6302
0-10-08,6388
0-10-09,6504
0-10-10,6538
0-10-11,6506
0-10-12,6469
0-10-13,6455
0-10-14,6472
0-10-15,6480
0-10-16,6498
0-10-17,6539
0-10-18,6965
0-10-19,6422
0-10-20,6349
0-10-21,6400
0-10-22,6415
0-10-23,6562
0-10-24,6751
0-10-25,6769
0-10-26,6751
0-10-27,6955
0-10-28,7028
0-10-29,7302
0-10-30,7510
0-10-31,9793
0-11-01,7917
0-11-02,7971
0-11-03,8382
0-11-04,8565
0-11-05,8782
0-11-06,9316
0-11-07,9921
0-11-08,10143
0-11-09,10673
0-11-10,10160
0-11-11,11859
0-11-12,12519
0-11-13,13299
0-11-14,14086
0-11-15,24783
0-11-16,14864
0-11-17,15574
0-11-18,16732
0-11-19,17865
0-11-20,18834
0-11-21,19958
