Date,Infected
0-07-01,938
0-07-02,926
0-07-03,936
0-07-04,976
0-07-05,1005
0-07-06,982
0-07-07,989
0-07-08,987
0-07-09,985
0-07-10,941
0-07-11,950
0-07-12,986
0-07-13,941
0-07-14,914
0-07-15,925
0-07-16,919
0-07-17,898
0-07-18,894
0-07-19,903
0-07-20,877
0-07-21,884
0-07-22,883
0-07-23,864
0-07-24,928
0-07-25,962
0-07-26,971
0-07-27,896
0-07-28,882
0-07-29,837
0-07-30,821
0-07-31,802
0-08-01,806
0-08-02,808
0-08-03,770
0-08-04,748
0-08-05,696
0-08-06,673
0-08-07,629
0-08-08,651
0-08-09,663
0-08-10,626
0-08-11,623
0-08-12,648
0-08-13,705
0-08-14,833
0-08-15,1103
0-08-16,1293
0-08-17,1521
0-08-18,1746
0-08-19,1976
0-08-20,2241
0-08-21,2524
0-08-22,2890
0-08-23,3137
0-08-24,3349
0-08-25,3585
0-08-26,3932
0-08-27,4210
0-08-28,4314
0-08-29,4473
0-08-30,4650
0-08-31,4660
0-09-01,4767
0-09-02,4786
0-09-03,4728
0-09-04,4668
0-09-05,4697
0-09-06,4663
0-09-07,4455
0-09-08,4221
0-09-09,4037
0-09-10,3953
0-09-11,3671
0-09-12,3592
0-09-13,3433
0-09-14,3146
0-09-15,2827
0-09-16,2742
0-09-17,2635
0-09-18,2545
0-09-19,2434
0-09-20,2412
0-09-21,2277
0-09-22,2178
0-09-23,2116
0-09-24,2082
0-09-25,1951
0-09-26,1962
0-09-27,1963
0-09-28,1822
0-09-29,1809
0-09-30,1808
0-10-01,1803
0-10-02,1820
0-10-03,1825
0-10-04,1856
0-10-05,1734
0-10-06,1594
0-10-07,1532
0-10-08,1479
0-10-09,1494
0-10-10,1481
0-10-11,1541
0-10-12,1508
0-10-13,1421
0-10-14,1467
0-10-15,1414
0-10-16,1407
0-10-17,1443
0-10-18,1463
0-10-19,1420
0-10-20,1390
0-10-21,1443
0-10-22,1526
0-10-23,1484
0-10-24,1510
0-10-25,1593
0-10-26,1602
0-10-27,1612
0-10-28,1641
0-10-29,1695
0-10-30,1736
0-10-31,1812
0-11-01,1869
0-11-02,1825
0-11-03,1835
0-11-04,1840
0-11-05,1898
0-11-06,1897
0-11-07,1981
0-11-08,2044
0-11-09,2008
0-11-10,2046
0-11-11,2051
0-11-12,2108
0-11-13,2210
0-11-14,2362
0-11-15,2516
0-11-16,2644
0-11-17,2842
0-11-18,3058
0-11-19,3253
0-11-20,3535
0-11-21,3762
0-11-22,3956
0-11-23,4121
0-11-24,4397
0-11-25,4853
0-11-26,5268
0-11-27,5504
0-11-28,5759
0-11-29,6022
0-11-30,6241
0-12-01,6572
0-12-02,6822
0-12-03,7185
0-12-04,7458
0-12-05,7873
0-12-06,8311
0-12-07,8553
0-12-08,8699
0-12-09,8897
0-12-10,9057
0-12-11,9665
0-12-12,10372
0-12-13,10795
0-12-14,11205
0-12-15,11883
0-12-16,12209
0-12-17,12888
0-12-18,13577
0-12-19,14269
0-12-20,14738
0-12-21,14810
0-12-22,15085
0-12-23,15352
0-12-24,15949
0-12-25,16577
0-12-26,17024
0-12-27,17593
0-12-28,17163
0-12-29,17459
0-12-30,17569
0-12-31,17899
1-01-01,18073
1-01-02,17775
1-01-03,18043
1-01-04,17800
1-01-05,17796
1-01-06,17991
1-01-07,17908
1-01-08,17575
1-01-09,17130
1-01-10,15422
1-01-11,14917
1-01-12,14391
1-01-13,13761
1-01-14,13488
1-01-15,13030
1-01-16,12838
1-01-17,12742
1-01-18,12364
1-01-19,12038
1-01-20,11756
1-01-21,11519
1-01-22,11311
1-01-23,11205
1-01-24,11205
1-01-25,9711
1-01-26,9573
1-01-27,9524
1-01-28,9493
1-01-29,9315
1-01-30,8907
1-01-31,8774
