Date,Infected
0-07-01,19
0-07-02,15
0-07-03,15
0-07-04,15
0-07-05,15
0-07-06,28
0-07-07,27
0-07-08,22
0-07-09,22
0-07-10,20
0-07-11,20
0-07-12,22
0-07-13,21
0-07-14,21
0-07-15,28
0-07-16,25
0-07-17,26
0-07-18,25
0-07-19,26
0-07-20,24
0-07-21,36
0-07-22,43
0-07-23,47
0-07-24,50
0-07-25,52
0-07-26,55
0-07-27,66
0-07-28,77
0-07-29,90
0-07-30,136
0-07-31,182
0-08-01,214
0-08-02,242
0-08-03,271
0-08-04,286
0-08-05,327
0-08-06,348
0-08-07,384
0-08-08,407
0-08-09,433
0-08-10,433
0-08-11,399
0-08-12,456
0-08-13,465
0-08-14,471
0-08-15,480
0-08-16,484
0-08-17,491
0-08-18,437
0-08-19,436
0-08-20,440
0-08-21,439
0-08-22,425
0-08-23,421
0-08-24,408
0-08-25,410
0-08-26,372
0-08-27,369
0-08-28,345
0-08-29,331
0-08-30,313
0-08-31,303
0-09-01,275
0-09-02,266
0-09-03,256
0-09-04,242
0-09-05,209
0-09-06,199
0-09-07,161
0-09-08,151
0-09-09,134
0-09-10,131
0-09-11,123
0-09-12,115
0-09-13,110
0-09-14,102
0-09-15,97
0-09-16,92
0-09-17,91
0-09-18,92
0-09-19,91
0-09-20,91
0-09-21,86
0-09-22,76
0-09-23,43
0-09-24,43
0-09-25,35
0-09-26,35
0-09-27,40
0-09-28,43
0-09-29,52
0-09-30,49
0-10-01,50
0-10-02,41
0-10-03,41
0-10-04,41
0-10-05,40
0-10-06,40
0-10-07,41
0-10-08,42
0-10-09,46
0-10-10,48
0-10-11,50
0-10-12,50
0-10-13,53
0-10-14,58
0-10-15,59
0-10-16,58
0-10-17,60
0-10-18,68
0-10-19,59
0-10-20,60
0-10-21,63
0-10-22,64
0-10-23,64
0-10-24,74
0-10-25,76
0-10-26,73
0-10-27,75
0-10-28,76
0-10-29,80
0-10-30,80
0-10-31,83
0-11-01,82
0-11-02,92
0-11-03,98
0-11-04,99
0-11-05,103
0-11-06,107
0-11-07,108
0-11-08,108
0-11-09,93
0-11-10,104
0-11-11,130
0-11-12,125
0-11-13,120
0-11-14,127
0-11-15,143
0-11-16,124
0-11-17,129
0-11-18,141
0-11-19,127
0-11-20,128
0-11-21,129
0-11-22,130
0-11-23,126
0-11-24,128
0-11-25,133
0-11-26,130
0-11-27,134
0-11-28,127
0-11-29,129
0-11-30,133
0-12-01,121
0-12-02,122
0-12-03,117
0-12-04,106
0-12-05,110
0-12-06,111
0-12-07,108
0-12-08,118
0-12-09,121
0-12-10,125
0-12-11,118
0-12-12,122
0-12-13,121
0-12-14,121
0-12-15,118
0-12-16,118
0-12-17,109
0-12-18,109
0-12-19,107
0-12-20,109
0-12-21,110
0-12-22,104
0-12-23,105
0-12-24,116
0-12-25,101
0-12-26,102
0-12-27,103
0-12-28,113
0-12-29,100
0-12-30,98
0-12-31,105
1-01-01,114
1-01-02,110
1-01-03,120
1-01-04,123
1-01-05,130
1-01-06,117
1-01-07,121
1-01-08,120
1-01-09,117
1-01-10,118
1-01-11,119
1-01-12,124
1-01-13,117
1-01-14,127
1-01-15,121
1-01-16,122
1-01-17,122
1-01-18,102
1-01-19,103
1-01-20,103
1-01-21,100
1-01-22,102
1-01-23,102
1-01-24,102
1-01-25,89
1-01-26,86
1-01-27,88
1-01-28,186
1-01-29,174
1-01-30,276
1-01-31,325
1-02-01,355
1-02-02,387
1-02-03,452
1-02-04,457
1-02-05,476
1-02-06,482
1-02-07,494
1-02-08,543
1-02-09,557
1-02-10,576
1-02-11,577
1-02-12,578
1-02-13,631
1-02-14,661
1-02-15,693
1-02-16,703
1-02-17,720
1-02-18,707
1-02-19,700
1-02-20,706
1-02-21,646
1-02-22,640
1-02-23,608
1-02-24,573
1-02-25,582
1-02-26,552
1-02-27,553
1-02-28,537
1-03-01,537
1-03-02,542
1-03-03,549
1-03-04,533
1-03-05,539
1-03-06,546
1-03-07,557
1-03-08,569
1-03-09,487
1-03-10,490
1-03-11,450
1-03-12,429
1-03-13,432
1-03-14,433
1-03-15,407
1-03-16,367
1-03-17,334
1-03-18,337
1-03-19,338
1-03-20,339
1-03-21,339
1-03-22,307
1-03-23,294
1-03-24,276
1-03-25,279
1-03-26,286
1-03-27,243
1-03-28,248
1-03-29,251
1-03-30,200
1-03-31,209
1-04-01,223
1-04-02,202
1-04-03,208
1-04-04,213
1-04-05,186
1-04-06,191
1-04-07,195
1-04-08,204
1-04-09,219
1-04-10,228
1-04-11,229
1-04-12,225
1-04-13,234
1-04-14,253
1-04-15,278
1-04-16,292
1-04-17,271
1-04-18,275
1-04-19,281
1-04-20,275
1-04-21,287
1-04-22,299
1-04-23,305
1-04-24,308
1-04-25,292
1-04-26,301
1-04-27,306
1-04-28,314
1-04-29,359
1-04-30,377
1-05-01,359
1-05-02,378
1-05-03,390
1-05-04,400
1-05-05,435
1-05-06,495
1-05-07,542
1-05-08,608
1-05-09,775
1-05-10,836
1-05-11,918
1-05-12,987
1-05-13,1048
1-05-14,1124
1-05-15,1408
1-05-16,1507
1-05-17,1654
1-05-18,1788
1-05-19,1996
1-05-20,2083
1-05-21,2211
1-05-22,2356
1-05-23,2511
1-05-24,2566
1-05-25,3093
1-05-26,3188
1-05-27,3457
1-05-28,3453
1-05-29,3965
1-05-30,4110
1-05-31,4356
