Date,Infected
0-07-01,4665433
0-07-02,4585028
0-07-03,4671221
0-07-04,4664489
0-07-05,4725279
0-07-06,4761338
0-07-07,4821332
0-07-08,4871806
0-07-09,4958238
0-07-10,5045837
0-07-11,5131399
0-07-12,5207448
0-07-13,5254287
0-07-14,5328221
0-07-15,5394005
0-07-16,5486692
0-07-17,5538944
0-07-18,5617763
0-07-19,5738438
0-07-20,5782414
0-07-21,5834941
0-07-22,5927737
0-07-23,6027741
0-07-24,6074052
0-07-25,6102182
0-07-26,6167631
0-07-27,6217478
0-07-28,6293037
0-07-29,6375187
0-07-30,6435135
0-07-31,6519685
0-08-01,6581048
0-08-02,6668935
0-08-03,6647871
0-08-04,6675137
0-08-05,6722538
0-08-06,6812034
0-08-07,6895538
0-08-08,6947753
0-08-09,6988872
0-08-10,7044944
0-08-11,6990834
0-08-12,7019880
0-08-13,7138351
0-08-14,7152189
0-08-15,7225318
0-08-16,7202226
0-08-17,7194398
0-08-18,7217842
0-08-19,7272275
0-08-20,7330628
0-08-21,7417613
0-08-22,7466156
0-08-23,7451529
0-08-24,7472514
0-08-25,7478319
0-08-26,7529825
0-08-27,7600279
0-08-28,7678907
0-08-29,7725687
0-08-30,7732113
0-08-31,7789808
0-09-01,7790082
0-09-02,7847997
0-09-03,7902010
0-09-04,7996625
0-09-05,8060541
0-09-06,8075188
0-09-07,8085992
0-09-08,8121118
0-09-09,8159386
0-09-10,8236567
0-09-11,8328223
0-09-12,8386848
0-09-13,8437803
0-09-14,8468515
0-09-15,8521067
0-09-16,8590183
0-09-17,8679252
0-09-18,8748201
0-09-19,8797988
0-09-20,8809121
0-09-21,8835294
0-09-22,8894217
0-09-23,8901259
0-09-24,8992041
0-09-25,9077771
0-09-26,9098526
0-09-27,9132246
0-09-28,9160522
0-09-29,9195754
0-09-30,9267188
0-10-01,9355143
0-10-02,9475665
0-10-03,9546701
0-10-04,9581956
0-10-05,9638441
0-10-06,9726515
0-10-07,9816388
0-10-08,9951851
0-10-09,10099748
0-10-10,10256564
0-10-11,10316778
0-10-12,10404287
0-10-13,10525706
0-10-14,10689550
0-10-15,10883111
