Date,Infected
0-07-01,1835731
0-07-02,1839681
0-07-03,1881928
0-07-04,1823385
0-07-05,1861368
0-07-06,1886712
0-07-07,1933884
0-07-08,1976195
0-07-09,2022035
0-07-10,2075202
0-07-11,2122099
0-07-12,2169301
0-07-13,2202170
0-07-14,2252134
0-07-15,2292466
0-07-16,2352614
0-07-17,2407366
0-07-18,2453527
0-07-19,2505097
0-07-20,2537675
0-07-21,2579120
0-07-22,2619645
0-07-23,2664600
0-07-24,2708458
0-07-25,2754689
0-07-26,2790525
0-07-27,2818240
0-07-28,2853761
0-07-29,2890161
0-07-30,2931662
0-07-31,2975132
0-08-01,3006521
0-08-02,3044848
0-08-03,3045009
0-08-04,3086968
0-08-05,3091123
0-08-06,3128460
0-08-07,3161276
0-08-08,3195086
0-08-09,3226586
0-08-10,3259667
0-08-11,3262440
0-08-12,3278175
0-08-13,3307539
0-08-14,3349860
0-08-15,3373610
0-08-16,3397666
0-08-17,3401312
0-08-18,3412540
0-08-19,3431633
0-08-20,3452584
0-08-21,3482318
0-08-22,3504043
0-08-23,3525468
0-08-24,3538462
0-08-25,3544661
0-08-26,3557905
0-08-27,3585322
0-08-28,3614135
0-08-29,3633727
0-08-30,3654365
0-08-31,3658300
0-09-01,3681279
0-09-02,3692130
0-09-03,3700150
0-09-04,3733078
0-09-05,3756741
0-09-06,3773679
0-09-07,3779441
0-09-08,3780652
0-09-09,3785172
0-09-10,3804277
0-09-11,3836515
0-09-12,3860125
0-09-13,3877326
0-09-14,3888153
0-09-15,3905890
0-09-16,3913512
0-09-17,3943023
0-09-18,3975283
0-09-19,3995772
0-09-20,4020728
0-09-21,4046903
0-09-22,4054730
0-09-23,4069446
0-09-24,4075722
0-09-25,4105925
0-09-26,4126705
0-09-27,4148097
0-09-28,4152705
0-09-29,4176510
0-09-30,4187612
0-10-01,4212431
0-10-02,4253802
0-10-03,4277744
0-10-04,4298727
0-10-05,4314179
0-10-06,4341534
0-10-07,4344162
0-10-08,4380415
0-10-09,4417993
0-10-10,4448395
0-10-11,4481817
0-10-12,4491543
0-10-13,4525108
0-10-14,4552698
0-10-15,4595133
0-10-16,4643190
0-10-17,4676154
0-10-18,4711469
0-10-19,4740233
0-10-20,4778721
0-10-21,4812697
0-10-22,4858411
0-10-23,4917008
0-10-24,4967594
0-10-25,5013115
0-10-26,5042315
0-10-27,5090968
0-10-28,5138886
0-10-29,5192705
0-10-30,5266794
0-10-31,5321598
0-11-01,5407898
0-11-02,5448133
0-11-03,5543607
0-11-04,5608635
0-11-05,5698619
0-11-06,5796381
0-11-07,5882136
0-11-08,5966707
0-11-09,6039008
0-11-10,6145065
0-11-11,6255079
0-11-12,6364540
0-11-13,6499846
0-11-14,6613128
0-11-15,6722266
0-11-16,6814129
0-11-17,6927539
0-11-18,7041722
0-11-19,7171255
0-11-20,7320411
0-11-21,7426456
0-11-22,7575554
0-11-23,7641457
0-11-24,7751806
0-11-25,7793658
0-11-26,7869549
0-11-27,7999688
0-11-28,8078367
0-11-29,8175689
0-11-30,8253373
0-12-01,8358899
0-12-02,8463431
0-12-03,8602018
0-12-04,8765590
0-12-05,8873406
0-12-06,9004889
0-12-07,9107576
0-12-08,9257047
0-12-09,9373537
0-12-10,9506818
0-12-11,9593230
0-12-12,9697266
0-12-13,9832126
0-12-14,16322869
0-12-15,16528746
0-12-16,16771720
0-12-17,17008120
0-12-18,17256978
0-12-19,17446427
0-12-20,17632720
0-12-21,17829499
0-12-22,18024201
0-12-23,18250393
0-12-24,18441650
0-12-25,18538096
0-12-26,18762620
0-12-27,18917029
0-12-28,19089173
0-12-29,19285947
0-12-30,19515896
0-12-31,19748034
1-01-01,19899795
1-01-02,20197742
1-01-03,20405142
1-01-04,20587054
1-01-05,20818386
1-01-06,21070119
1-01-07,21344463
1-01-08,21635610
1-01-09,21893252
1-01-10,22104664
1-01-11,22317222
1-01-12,22539714
1-01-13,22766002
1-01-14,22997781
1-01-15,23236674
1-01-16,23435109
1-01-17,23611157
1-01-18,23753202
1-01-19,23926695
1-01-20,24105550
1-01-21,24295214
1-01-22,24482128
1-01-23,24649541
1-01-24,24778847
1-01-25,24928548
1-01-26,25072165
1-01-27,25222159
1-01-28,25386956
1-01-29,25549952
1-01-30,25689628
1-01-31,25799922
1-02-01,25932826
1-02-02,26044695
1-02-03,26162479
1-02-04,26282749
1-02-05,26413505
1-02-06,26515011
1-02-07,26603320
1-02-08,26692139
1-02-09,26784331
1-02-10,26876285
1-02-11,26978821
1-02-12,27075581
1-02-13,27160613
1-02-14,27224584
1-02-15,27277904
1-02-16,27338651
1-02-17,27406381
1-02-18,27473763
1-02-19,27550433
1-02-20,27620218
1-02-21,27676147
1-02-22,27730973
1-02-23,27800969
1-02-24,27872536
1-02-25,27947600
1-02-26,28022866
1-02-27,28085992
1-02-28,28136320
1-03-01,28192898
1-03-02,28248031
1-03-03,28312764
1-03-04,28378880
1-03-05,28443526
1-03-06,28500267
1-03-07,28540643
1-03-08,28584824
1-03-09,28640669
1-03-10,28697005
1-03-11,28757913
1-03-12,28817859
1-03-13,28869882
1-03-14,28907586
1-03-15,28963375
1-03-16,29016180
1-03-17,29074243
1-03-18,29132957
1-03-19,29193476
1-03-20,29248235
1-03-21,29281628
1-03-22,29332339
1-03-23,29385130
1-03-24,29470573
1-03-25,29536719
1-03-26,29612938
1-03-27,29674995
1-03-28,29717690
1-03-29,29786263
1-03-30,29846804
1-03-31,29912496
1-04-01,29990534
1-04-02,30059468
1-04-03,30121987
1-04-04,30156817
1-04-05,30233698
1-04-06,30293527
1-04-07,30365939
1-04-08,30444796
1-04-09,30526613
1-04-10,30592597
1-04-11,30638800
1-04-12,30708414
1-04-13,30785536
1-04-14,30859995
1-04-15,30933394
1-04-16,31012576
1-04-17,31064425
1-04-18,31106202
1-04-19,31173821
1-04-20,31233921
1-04-21,31295921
1-04-22,31362224
1-04-23,31423845
1-04-24,31476589
1-04-25,31508461
1-04-26,31555533
