Date,new_cases,new_cases_smoothed
0-07-01,46712,37160.286
0-07-02,48105,38392
0-07-03,42223,37729.571
0-07-04,37923,37619.571
0-07-05,26051,36987.429
0-07-06,20229,36441.286
0-07-07,45305,38078.286
0-07-08,44571,37772.429
0-07-09,42619,36988.714
0-07-10,45048,37392.286
0-07-11,39023,37549.429
0-07-12,24831,37375.143
0-07-13,20286,37383.286
0-07-14,41857,36890.714
0-07-15,39924,36226.857
0-07-16,45403,36624.571
0-07-17,34177,35071.571
0-07-18,28532,33572.857
0-07-19,23529,33386.857
0-07-20,20257,33382.714
0-07-21,41008,33261.429
0-07-22,67860,37252.286
0-07-23,59961,39332
0-07-24,55891,42434
0-07-25,51147,45664.714
0-07-26,24578,45814.571
0-07-27,23284,46247
0-07-28,40816,46219.571
0-07-29,69074,46393
0-07-30,57837,46089.571
0-07-31,52383,45588.429
0-08-01,45392,44766.286
0-08-02,25800,44940.857
0-08-03,16641,43991.857
0-08-04,51603,45532.857
0-08-05,57152,43829.714
0-08-06,53139,43158.571
0-08-07,50230,42851
0-08-08,49970,43505
0-08-09,23010,43106.429
0-08-10,22048,43878.857
0-08-11,52160,43958.429
0-08-12,55155,43673.143
0-08-13,60091,44666.286
0-08-14,50644,44725.429
0-08-15,41576,43526.286
0-08-16,23101,43539.286
0-08-17,19373,43157.143
0-08-18,47784,42532
0-08-19,49298,41695.286
0-08-20,45323,39585.571
0-08-21,30355,36687.143
0-08-22,50032,37895.143
0-08-23,23421,37940.857
0-08-24,17078,37613
0-08-25,47134,37520.143
0-08-26,47161,37214.857
0-08-27,44235,37059.429
0-08-28,43412,38924.714
0-08-29,41350,37684.429
0-08-30,16158,36646.857
0-08-31,45961,40773
0-09-01,42659,40133.714
0-09-02,46934,40101.286
0-09-03,43773,40035.286
0-09-04,50163,40999.714
0-09-05,31199,39549.571
0-09-06,14521,39315.714
0-09-07,10273,34217.429
0-09-08,14279,30163.143
0-09-09,35816,28574.857
0-09-10,40557,28115.429
0-09-11,43718,27194.714
0-09-12,33523,27526.714
0-09-13,14768,27562
0-09-14,15155,28259.429
0-09-15,36653,31455.714
0-09-16,36820,31599.143
0-09-17,36303,30991.429
0-09-18,39797,30431.286
0-09-19,33057,30364.714
0-09-20,16389,30596.286
0-09-21,13411,30347.143
0-09-22,33324,29871.571
0-09-23,0,24611.571
0-09-24,66338,28902.286
0-09-25,31911,27775.714
0-09-26,28378,27107.286
0-09-27,14318,26811.429
0-09-28,13155,26774.857
0-09-29,32058,26594
0-09-30,33413,31367.286
0-10-01,36157,27055.714
0-10-02,0,22497
0-10-03,59741,26977.429
0-10-04,8456,26140
0-10-05,11946,25967.286
0-10-06,41906,27374.143
0-10-07,31553,27108.429
0-10-08,27750,25907.429
0-10-09,27444,29828
0-10-10,26749,25114.857
0-10-11,12342,25670
0-10-12,8429,25167.571
0-10-13,10220,20641
0-10-14,27235,20024.143
0-10-15,28523,20134.571
0-10-16,30914,20630.286
0-10-17,24062,20246.429
0-10-18,0,18483.286
0-10-19,26365,21045.571
0-10-20,23227,22903.714
0-10-21,24818,22558.429
0-10-22,24858,22034.857
0-10-23,30026,21908
0-10-24,26979,22324.714
0-10-25,13493,24252.286
0-10-26,15726,22732.429
0-10-27,29787,23669.571
0-10-28,28629,24214
0-10-29,26106,24392.286
0-10-30,22282,23286
0-10-31,18947,22138.571
0-11-01,10100,21653.857
0-11-02,8501,20621.714
0-11-03,11843,18058.286
0-11-04,23976,17393.571
0-11-05,0,13664.143
0-11-06,41156,16360.429
0-11-07,22380,16850.857
0-11-08,10554,16915.714
0-11-09,10917,17260.857
0-11-10,23973,18993.714
0-11-11,48655,22519.286
0-11-12,33922,27365.286
0-11-13,29070,25638.714
0-11-14,38307,27914
0-11-15,14134,28425.429
0-11-16,13371,28776
0-11-17,35294,30393.286
0-11-18,34091,28312.714
0-11-19,35918,28597.857
0-11-20,38397,29930.286
0-11-21,32622,29118.143
0-11-22,18615,29758.286
0-11-23,16207,30163.429
0-11-24,31100,29564.286
0-11-25,47898,31536.714
0-11-26,37614,31779
0-11-27,34130,31169.429
0-11-28,51922,33926.571
0-11-29,24468,34762.714
0-11-30,21138,35467.143
0-12-01,50909,38297
0-12-02,49863,38577.714
0-12-03,50434,40409.143
0-12-04,46884,42231.143
0-12-05,43209,40986.429
0-12-06,26363,41257.143
0-12-07,20371,41147.571
0-12-08,51088,41173.143
0-12-09,53453,41686
0-12-10,53347,42102.143
0-12-11,54428,43179.857
0-12-12,43900,43278.571
0-12-13,21825,42630.286
0-12-14,25193,43319.143
0-12-15,42889,42147.857
0-12-16,70574,44593.714
0-12-17,69826,46947.857
0-12-18,52544,46678.714
0-12-19,50177,47575.429
0-12-20,25445,48092.571
0-12-21,25019,48067.714
0-12-22,55202,49826.714
0-12-23,46696,46415.571
0-12-24,58428,44787.286
0-12-25,24615,40797.429
0-12-26,17246,36093
0-12-27,18479,35097.857
0-12-28,20548,34459.143
0-12-29,58718,34961.429
0-12-30,55649,36240.429
0-12-31,56773,36004
1-01-01,24605,36002.571
1-01-02,15827,35799.857
1-01-03,17341,35637.286
1-01-04,20006,35559.857
1-01-05,56648,35264.143
1-01-06,63430,36375.714
1-01-07,87843,40814.286
1-01-08,52035,44732.857
1-01-09,62290,51370.429
1-01-10,29792,53149.143
1-01-11,25822,53980
1-01-12,64025,55033.857
1-01-13,60899,54672.286
1-01-14,67758,51803
1-01-15,69198,54254.857
1-01-16,61567,54151.571
1-01-17,33040,54615.571
1-01-18,23671,54308.286
1-01-19,62094,54032.429
1-01-20,64385,54530.429
1-01-21,59119,53296.286
1-01-22,56552,51489.714
1-01-23,62334,51599.286
1-01-24,28323,50925.429
1-01-25,26816,51374.714
1-01-26,61963,51356
1-01-27,63520,51232.429
1-01-28,61811,51617
1-01-29,59826,52084.714
1-01-30,58462,51531.571
1-01-31,27756,51450.571
1-02-01,24591,51132.714
1-02-02,54096,50008.857
1-02-03,56002,48934.857
1-02-04,56873,48229.429
1-02-05,50872,46950.286
1-02-06,0,38598.571
1-02-07,77475,45701.286
1-02-08,0,42188.286
1-02-09,74925,45163.857
1-02-10,59602,45678.143
1-02-11,54742,45373.714
1-02-12,51546,45470
1-02-13,44299,51798.429
1-02-14,24759,44267.571
1-02-15,32197,48867.143
1-02-16,55271,46059.429
1-02-17,56766,45654.286
1-02-18,51879,45245.286
1-02-19,53582,45536.143
1-02-20,54940,47056.286
1-02-21,29026,47665.857
1-02-22,26986,46921.429
1-02-23,62715,47984.857
1-02-24,66588,49388
1-02-25,65998,51405
1-02-26,65169,53060.286
1-02-27,61602,54012
1-02-28,34027,54726.429
1-03-01,35742,55977.286
1-03-02,59925,55578.714
1-03-03,71704,56309.571
1-03-04,75102,57610.143
1-03-05,75495,59085.286
1-03-06,69609,60229.143
1-03-07,80508,66869.286
1-03-08,32321,66380.571
1-03-09,70764,67929
1-03-10,79876,69096.429
1-03-11,75412,69140.714
1-03-12,85663,70593.286
1-03-13,76178,71531.714
1-03-14,43812,66289.429
1-03-15,36239,66849.143
1-03-16,83926,68729.429
1-03-17,90303,70219
1-03-18,86982,71871.857
1-03-19,90570,72572.857
1-03-20,79069,72985.857
1-03-21,47774,73551.857
1-03-22,49293,75416.714
1-03-23,82493,75212
1-03-24,89992,75167.571
1-03-25,100158,77049.857
1-03-26,84245,76146.286
1-03-27,85948,77129
1-03-28,44326,76636.429
1-03-29,38927,75155.571
1-03-30,84494,75441.429
1-03-31,90638,75533.714
1-04-01,91097,74239.286
1-04-02,70238,72238.286
1-04-03,43515,66176.429
1-04-04,31359,64324
1-04-05,28645,62855.143
1-04-06,86979,63210.143
1-04-07,92625,63494
1-04-08,86652,62859
1-04-09,93317,66156
1-04-10,71832,70201.286
1-04-11,37017,71009.571
1-04-12,35785,72029.571
1-04-13,82186,71344.857
1-04-14,73513,68614.571
1-04-15,73174,66689.143
1-04-16,85774,65611.571
1-04-17,67636,65012.143
1-04-18,42980,65864
1-04-19,30624,65126.714
1-04-20,69381,63297.429
1-04-21,79719,64184
1-04-22,45178,60184.571
1-04-23,69105,57803.286
1-04-24,71137,58303.429
1-04-25,32572,56816.571
1-04-26,28636,56532.571
1-04-27,72140,56926.714
1-04-28,79726,56927.714
1-04-29,69389,60386.429
1-04-30,68333,60276.143
1-05-01,66964,59680
1-05-02,28935,59160.429
1-05-03,24619,58586.571
1-05-04,77359,59332.143
1-05-05,73295,58413.429
1-05-06,73380,58983.571
1-05-07,78886,60491.143
1-05-08,63430,59986.286
1-05-09,38911,61411.429
1-05-10,25200,61494.429
1-05-11,72715,60831
1-05-12,76692,61316.286
1-05-13,74592,61489.429
1-05-14,85536,62439.429
1-05-15,67009,62950.714
1-05-16,40709,63207.571
1-05-17,30148,63914.429
1-05-18,75445,64304.429
