Date,new_deaths,new_deaths_smoothed
0-07-01,1038,971.714
0-07-02,1252,987.571
0-07-03,1290,1030.429
0-07-04,1091,1027.857
0-07-05,602,1035
0-07-06,620,1024.714
0-07-07,1254,1021
0-07-08,1223,1047.429
0-07-09,1220,1042.857
0-07-10,1214,1032
0-07-11,1071,1029.143
0-07-12,631,1033.286
0-07-13,733,1049.429
0-07-14,1300,1056
0-07-15,1233,1057.429
0-07-16,1322,1072
0-07-17,1163,1064.714
0-07-18,921,1043.286
0-07-19,716,1055.429
0-07-20,632,1041
0-07-21,1367,1050.571
0-07-22,1284,1057.857
0-07-23,1311,1056.286
0-07-24,1156,1055.286
0-07-25,1211,1096.714
0-07-26,555,1073.714
0-07-27,614,1071.143
0-07-28,921,1007.429
0-07-29,1595,1051.857
0-07-30,1129,1025.857
0-07-31,1212,1033.857
0-08-01,1088,1016.286
0-08-02,541,1014.286
0-08-03,561,1006.714
0-08-04,1154,1040
0-08-05,1437,1017.429
0-08-06,1237,1032.857
0-08-07,1079,1013.857
0-08-08,905,987.714
0-08-09,572,992.143
0-08-10,703,1012.429
0-08-11,1274,1029.571
0-08-12,1175,992.143
0-08-13,1262,995.714
0-08-14,1060,993
0-08-15,709,965
0-08-16,620,971.857
0-08-17,684,969.143
0-08-18,1352,980.286
0-08-19,1212,985.571
0-08-20,1204,977.286
0-08-21,1054,976.429
0-08-22,892,1002.571
0-08-23,494,984.571
0-08-24,565,967.571
0-08-25,1271,956
0-08-26,1085,937.857
0-08-27,984,906.429
0-08-28,855,878
0-08-29,758,858.857
0-08-30,566,869.143
0-08-31,553,867.429
0-09-01,1215,859.429
0-09-02,1184,873.571
0-09-03,834,852.143
0-09-04,888,856.857
0-09-05,701,848.714
0-09-06,447,831.714
0-09-07,310,797
0-09-08,504,695.429
0-09-09,1075,679.857
0-09-10,983,701.143
0-09-11,874,699.143
0-09-12,814,715.286
0-09-13,415,710.714
0-09-14,381,720.857
0-09-15,1113,807.857
0-09-16,987,795.286
0-09-17,829,773.286
0-09-18,858,771
0-09-19,739,760.286
0-09-20,363,752.857
0-09-21,377,752.286
0-09-22,833,712.286
0-09-23,0,571.286
0-09-24,1703,696.143
0-09-25,729,677.714
0-09-26,869,696.286
0-09-27,335,692.286
0-09-28,317,683.714
0-09-29,863,688
0-09-30,1031,835.286
0-10-01,728,696
0-10-02,0,591.857
0-10-03,1307,654.429
0-10-04,365,658.714
0-10-05,323,659.571
0-10-06,819,653.286
0-10-07,734,610.857
0-10-08,729,611
0-10-09,682,708.429
0-10-10,559,601.571
0-10-11,290,590.857
0-10-12,201,573.429
0-10-13,309,500.571
0-10-14,749,502.714
0-10-15,713,500.429
0-10-16,754,510.714
0-10-17,461,496.714
0-10-18,0,455.286
0-10-19,501,498.143
0-10-20,661,548.429
0-10-21,566,522.286
0-10-22,497,491.429
0-10-23,571,465.286
0-10-24,432,461.143
0-10-25,231,494.143
0-10-26,263,460.143
0-10-27,549,444.143
0-10-28,510,436.143
0-10-29,513,438.429
0-10-30,508,429.429
0-10-31,407,425.857
0-11-01,190,420
0-11-02,179,408
0-11-03,243,364.286
0-11-04,610,378.571
0-11-05,0,305.286
0-11-06,909,362.571
0-11-07,254,340.714
0-11-08,128,331.857
0-11-09,231,339.286
0-11-10,174,329.429
0-11-11,566,323.143
0-11-12,913,453.571
0-11-13,456,388.857
0-11-14,921,484.143
0-11-15,140,485.857
0-11-16,216,483.714
0-11-17,685,556.714
0-11-18,756,583.857
0-11-19,606,540
0-11-20,552,553.714
0-11-21,376,475.857
0-11-22,194,483.571
0-11-23,302,495.857
