Date,new_deaths,new_deaths_smoothed
0-07-01,434,420
0-07-02,379,416
0-07-03,442,424.286
0-07-04,613,453.286
0-07-05,425,459.714
0-07-06,466,466.571
0-07-07,483,463.143
0-07-08,487,470.714
0-07-09,475,484.429
0-07-10,519,495.429
0-07-11,550,486.429
0-07-12,501,497.286
0-07-13,553,509.714
0-07-14,582,523.857
0-07-15,605,540.714
0-07-16,688,571.143
0-07-17,671,592.857
0-07-18,543,591.857
0-07-19,681,617.571
0-07-20,585,622.143
0-07-21,650,631.857
0-07-22,1129,706.714
0-07-23,740,714.143
0-07-24,757,726.429
0-07-25,702,749.143
0-07-26,711,753.429
0-07-27,637,760.857
0-07-28,785,780.143
0-07-29,762,727.714
0-07-30,763,731
0-07-31,793,736.143
0-08-01,853,757.714
0-08-02,771,766.286
0-08-03,803,790
0-08-04,857,800.286
0-08-05,904,820.571
0-08-06,886,838.143
0-08-07,933,858.143
0-08-08,861,859.286
0-08-09,1007,893
0-08-10,871,902.714
0-08-11,834,899.429
0-08-12,942,904.857
0-08-13,1007,922.143
0-08-14,996,931.143
0-08-15,944,943
0-08-16,941,933.571
0-08-17,876,934.286
0-08-18,1091,971
0-08-19,978,976.143
0-08-20,983,972.714
0-08-21,945,965.429
0-08-22,912,960.857
0-08-23,836,945.857
0-08-24,848,941.857
0-08-25,967,924.143
0-08-26,1115,943.714
0-08-27,1057,954.286
0-08-28,1021,965.143
0-08-29,948,970.286
0-08-30,971,989.571
0-08-31,819,985.429
0-09-01,1045,996.571
0-09-02,1043,986.286
0-09-03,1096,991.857
0-09-04,1089,1001.571
0-09-05,1065,1018.286
0-09-06,1016,1024.714
0-09-07,1133,1069.571
0-09-08,1115,1079.571
0-09-09,1172,1098
0-09-10,1209,1114.143
0-09-11,1201,1130.143
0-09-12,1114,1137.143
0-09-13,1136,1154.286
0-09-14,1054,1143
0-09-15,1290,1168
0-09-16,1132,1162.286
0-09-17,1174,1157.286
0-09-18,1247,1163.857
0-09-19,1133,1166.571
0-09-20,1130,1165.714
0-09-21,1053,1165.571
0-09-22,1085,1136.286
0-09-23,1129,1135.857
0-09-24,1141,1131.143
0-09-25,1089,1108.571
0-09-26,1124,1107.286
0-09-27,1039,1094.286
0-09-28,776,1054.714
0-09-29,1179,1068.143
0-09-30,1181,1075.571
0-10-01,1095,1069
0-10-02,1069,1066.143
0-10-03,940,1039.857
0-10-04,903,1020.429
0-10-05,884,1035.857
0-10-06,986,1008.286
0-10-07,971,978.286
0-10-08,964,959.571
0-10-09,926,939.143
0-10-10,918,936
0-10-11,816,923.571
0-10-12,706,898.143
0-10-13,730,861.571
0-10-14,680,820
0-10-15,895,810.143
0-10-16,837,797.429
0-10-17,1033,813.857
0-10-18,579,780
0-10-19,587,763
0-10-20,717,761.143
0-10-21,702,764.286
0-10-22,690,735
0-10-23,650,708.286
0-10-24,578,643.286
0-10-25,480,629.143
0-10-26,488,615
0-10-27,508,585.143
0-10-28,517,558.714
0-10-29,563,540.571
0-10-30,551,526.429
0-10-31,470,511
0-11-01,496,513.286
0-11-02,490,513.571
0-11-03,514,514.429
0-11-04,704,541.143
0-11-05,670,556.429
0-11-06,577,560.143
0-11-07,559,572.857
0-11-08,490,572
0-11-09,448,566
0-11-10,512,565.714
0-11-11,550,543.714
0-11-12,547,526.143
0-11-13,520,518
0-11-14,447,502
0-11-15,435,494.143
0-11-16,449,494.286
0-11-17,474,488.857
0-11-18,585,493.857
0-11-19,584,499.143
0-11-20,564,505.429
0-11-21,501,513.143
0-11-22,511,524
0-11-23,480,528.429
0-11-24,481,529.429
0-11-25,524,520.714
0-11-26,492,507.571
0-11-27,485,496.286
0-11-28,496,495.571
0-11-29,443,485.857
0-11-30,482,486.143
0-12-01,501,489
0-12-02,526,489.286
0-12-03,540,496.143
0-12-04,512,500
0-12-05,482,498
0-12-06,391,490.571
0-12-07,385,476.714
0-12-08,402,462.571
0-12-09,412,446.286
0-12-10,413,428.143
0-12-11,443,418.286
0-12-12,391,405.286
0-12-13,336,397.429
0-12-14,354,393
0-12-15,387,390.857
0-12-16,355,382.714
0-12-17,338,372
0-12-18,347,358.286
0-12-19,341,351.143
0-12-20,333,350.714
0-12-21,301,343.143
0-12-22,333,335.429
0-12-23,312,329.286
0-12-24,336,329
0-12-25,251,315.286
0-12-26,279,306.429
0-12-27,279,298.714
0-12-28,252,291.714
0-12-29,286,285
0-12-30,299,283.143
0-12-31,0,235.143
1-01-01,256,235.857
1-01-02,441,259
1-01-03,214,249.714
1-01-04,201,242.429
1-01-05,264,239.286
1-01-06,222,228.286
1-01-07,234,261.714
1-01-08,0,225.143
1-01-09,429,223.429
1-01-10,161,215.857
1-01-11,167,211
1-01-12,202,202.143
1-01-13,198,198.714
1-01-14,191,192.571
1-01-15,175,217.571
1-01-16,181,182.143
1-01-17,145,179.857
1-01-18,137,175.571
1-01-19,162,169.857
1-01-20,151,163.143
1-01-21,163,159.143
1-01-22,152,155.857
1-01-23,155,152.143
