Date,new_deaths,new_deaths_smoothed
0-07-01,4,1.286
0-07-02,1,.857
0-07-03,0,.857
0-07-04,0,.857
0-07-05,0,.714
0-07-06,1,.857
0-07-07,3,1.286
0-07-08,1,.857
0-07-09,0,.714
0-07-10,0,.714
0-07-11,0,.714
0-07-12,1,.857
0-07-13,1,.857
0-07-14,0,.429
0-07-15,0,.286
0-07-16,1,.429
0-07-17,0,.429
0-07-18,1,.571
0-07-19,0,.429
0-07-20,2,.571
0-07-21,0,.571
0-07-22,2,.857
0-07-23,2,1
0-07-24,2,1.286
0-07-25,2,1.429
0-07-26,2,1.714
0-07-27,0,1.429
0-07-28,3,1.857
0-07-29,0,1.571
0-07-30,6,2.143
0-07-31,1,2
0-08-01,4,2.286
0-08-02,1,2.143
0-08-03,5,2.857
0-08-04,5,3.143
0-08-05,5,3.857
0-08-06,6,3.857
0-08-07,8,4.857
0-08-08,0,4.286
0-08-09,5,4.857
0-08-10,5,4.857
0-08-11,6,5
0-08-12,8,5.429
0-08-13,7,5.571
0-08-14,7,5.429
0-08-15,13,7.286
0-08-16,10,8
0-08-17,9,8.571
0-08-18,23,11
0-08-19,13,11.714
0-08-20,9,12
0-08-21,18,13.571
0-08-22,4,12.286
0-08-23,9,12.143
0-08-24,13,12.714
0-08-25,18,12
0-08-26,11,11.714
0-08-27,11,12
0-08-28,10,10.857
0-08-29,20,13.143
0-08-30,14,13.857
0-08-31,13,13.857
0-09-01,15,13.429
0-09-02,14,13.857
0-09-03,7,13.286
0-09-04,18,14.429
0-09-05,9,12.857
0-09-06,5,11.571
0-09-07,11,11.286
0-09-08,21,12.143
0-09-09,14,12.143
0-09-10,4,11.714
0-09-11,12,10.857
0-09-12,13,11.429
0-09-13,7,11.714
0-09-14,7,11.143
0-09-15,8,9.286
0-09-16,18,9.857
0-09-17,9,10.571
0-09-18,10,10.286
0-09-19,4,9
0-09-20,4,8.571
0-09-21,10,9
0-09-22,1,8
0-09-23,6,6.286
0-09-24,15,7.143
0-09-25,4,6.286
0-09-26,3,6.143
0-09-27,2,5.857
0-09-28,12,6.143
0-09-29,7,7
0-09-30,7,7.143
0-10-01,5,5.714
0-10-02,11,6.714
0-10-03,3,6.714
0-10-04,4,7
0-10-05,4,5.857
0-10-06,7,5.857
0-10-07,5,5.571
0-10-08,3,5.286
0-10-09,6,4.571
0-10-10,3,4.571
0-10-11,2,4.286
0-10-12,3,4.143
0-10-13,4,3.714
0-10-14,11,4.571
0-10-15,4,4.714
0-10-16,14,5.857
0-10-17,6,6.286
0-10-18,2,6.286
0-10-19,4,6.429
0-10-20,3,6.286
0-10-21,7,5.714
0-10-22,11,6.714
0-10-23,9,6
0-10-24,4,5.714
0-10-25,6,6.286
0-10-26,5,6.429
0-10-27,5,6.714
0-10-28,5,6.429
0-10-29,17,7.286
0-10-30,8,7.143
0-10-31,13,8.429
0-11-01,7,8.571
0-11-02,11,9.429
0-11-03,7,9.714
0-11-04,5,9.714
0-11-05,7,8.286
0-11-06,4,7.714
0-11-07,5,6.571
0-11-08,6,6.429
0-11-09,13,6.714
0-11-10,6,6.571
0-11-11,7,6.857
0-11-12,7,6.857
0-11-13,10,7.714
0-11-14,1,7.143
0-11-15,9,7.571
0-11-16,9,7
0-11-17,12,7.857
0-11-18,13,8.714
0-11-19,12,9.429
0-11-20,10,9.429
0-11-21,2,9.571
0-11-22,11,9.857
0-11-23,6,9.429
0-11-24,14,9.714
0-11-25,20,10.714
0-11-26,13,10.857
0-11-27,32,14
0-11-28,14,15.714
0-11-29,15,16.286
0-11-30,19,18.143
0-12-01,33,20.857
0-12-02,32,22.571
0-12-03,33,25.429
0-12-04,36,26
0-12-05,19,26.714
0-12-06,30,28.857
0-12-07,40,31.857
0-12-08,35,32.143
0-12-09,42,33.571
0-12-10,19,31.571
0-12-11,51,33.714
0-12-12,16,33.286
0-12-13,19,31.714
0-12-14,49,33
0-12-15,51,35.286
0-12-16,42,35.286
0-12-17,38,38
0-12-18,48,37.571
0-12-19,40,41
0-12-20,35,43.286
0-12-21,49,43.286
0-12-22,44,42.286
0-12-23,64,45.429
0-12-24,26,43.714
0-12-25,49,43.857
0-12-26,46,44.714
0-12-27,38,45.143
0-12-28,52,45.571
0-12-29,44,45.571
0-12-30,47,43.143
0-12-31,49,46.429
1-01-01,248,74.857
1-01-02,31,72.714
1-01-03,60,75.857
1-01-04,48,75.286
1-01-05,76,79.857
1-01-06,65,82.429
1-01-07,64,84.571
1-01-08,78,60.286
1-01-09,59,64.286
1-01-10,45,62.143
1-01-11,48,62.143
1-01-12,64,60.429
1-01-13,97,65
1-01-14,66,65.286
1-01-15,78,65.286
1-01-16,56,64.857
1-01-17,49,65.429
1-01-18,58,66.857
1-01-19,104,72.571
1-01-20,92,71.857
1-01-21,94,75.857
1-01-22,108,80.143
1-01-23,83,84
1-01-24,56,85
1-01-25,74,87.286
1-01-26,104,87.286
1-01-27,90,87
1-01-28,113,89.714
1-01-29,97,88.143
1-01-30,91,89.286
1-01-31,65,90.571
1-02-01,80,91.429
1-02-02,119,93.571
1-02-03,116,97.286
1-02-04,104,96
1-02-05,106,97.286
1-02-06,94,97.714
1-02-07,52,95.857
1-02-08,83,96.286
1-02-09,95,92.857
1-02-10,121,93.571
1-02-11,77,89.714
1-02-12,63,83.571
1-02-13,65,79.429
1-02-14,38,77.429
1-02-15,72,75.857
1-02-16,101,76.714
1-02-17,79,70.714
1-02-18,76,70.571
1-02-19,66,71
1-02-20,78,72.857
1-02-21,47,74.143
1-02-22,56,71.857
1-02-23,54,65.143
1-02-24,69,63.714
1-02-25,74,63.429
1-02-26,80,65.429
1-02-27,41,60.143
1-02-28,30,57.714
1-03-01,51,57
1-03-02,65,58.571
1-03-03,63,57.714
1-03-04,67,56.714
1-03-05,55,53.143
1-03-06,6,48.143
1-03-07,59,52.286
1-03-08,46,51.571
1-03-09,58,50.571
1-03-10,53,49.143
1-03-11,45,46
1-03-12,58,46.429
1-03-13,51,52.857
1-03-14,21,47.429
1-03-15,38,46.286
1-03-16,57,46.143
1-03-17,36,43.714
1-03-18,32,41.857
1-03-19,33,38.286
1-03-20,19,33.714
1-03-21,19,33.429
1-03-22,36,33.143
1-03-23,51,32.286
1-03-24,21,30.143
1-03-25,27,29.429
1-03-26,33,29.429
1-03-27,32,31.286
1-03-28,29,32.714
1-03-29,29,31.714
1-03-30,33,29.143
1-03-31,43,32.286
1-04-01,18,31
1-04-02,18,28.857
1-04-03,7,25.286
1-04-04,12,22.857
1-04-05,19,21.429
1-04-06,22,19.857
1-04-07,35,18.714
1-04-08,25,19.714
1-04-09,14,19.143
1-04-10,27,22
1-04-11,17,22.714
1-04-12,24,23.429
1-04-13,29,24.429
1-04-14,49,26.429
1-04-15,35,27.857
1-04-16,46,32.429
1-04-17,41,34.429
1-04-18,17,34.429
1-04-19,19,33.714
1-04-20,53,37.143
1-04-21,55,38
1-04-22,41,38.857
1-04-23,56,40.286
1-04-24,56,42.429
1-04-25,49,47
1-04-26,29,48.429
1-04-27,63,49.857
1-04-28,21,45
1-04-29,108,54.571
1-04-30,39,52.143
1-05-01,82,55.857
1-05-02,61,57.571
1-05-03,49,60.429
1-05-04,50,58.571
1-05-05,60,64.143
1-05-06,65,58
1-05-07,146,73.286
1-05-08,84,73.571
1-05-09,64,74
1-05-10,71,77.143
1-05-11,114,86.286
1-05-12,103,92.429
1-05-13,101,97.571
1-05-14,81,88.286
1-05-15,94,89.714
1-05-16,47,87.286
1-05-17,116,93.714
1-05-18,216,108.286
1-05-19,97,107.429
1-05-20,106,108.143
1-05-21,113,112.714
1-05-22,84,111.286
1-05-23,62,113.429
1-05-24,86,109.143
1-05-25,106,93.429
1-05-26,116,96.143
1-05-27,118,97.857
1-05-28,95,95.286
1-05-29,91,96.286
1-05-30,49,94.429
1-05-31,80,93.571
