Date,new_deaths,new_deaths_smoothed
0-07-01,0,0
0-07-02,0,0
0-07-03,1,.143
0-07-04,0,.143
0-07-05,1,.286
0-07-06,1,.429
0-07-07,0,.429
0-07-08,2,.714
0-07-09,1,.857
0-07-10,0,.714
0-07-11,1,.857
0-07-12,0,.714
0-07-13,0,.571
0-07-14,0,.571
0-07-15,2,.571
0-07-16,2,.714
0-07-17,1,.857
0-07-18,1,.857
0-07-19,1,1
0-07-20,0,1
0-07-21,1,1.143
0-07-22,0,.857
0-07-23,1,.714
0-07-24,0,.571
0-07-25,0,.429
0-07-26,1,.429
0-07-27,1,.571
0-07-28,0,.429
0-07-29,0,.429
0-07-30,1,.429
0-07-31,0,.429
0-08-01,0,.429
0-08-02,0,.286
0-08-03,0,.143
0-08-04,1,.286
0-08-05,0,.286
0-08-06,1,.286
0-08-07,1,.429
0-08-08,1,.571
0-08-09,0,.571
0-08-10,0,.571
0-08-11,0,.429
0-08-12,0,.429
0-08-13,0,.286
0-08-14,0,.143
0-08-15,0,0
0-08-16,0,0
0-08-17,1,.143
0-08-18,0,.143
0-08-19,1,.286
0-08-20,2,.571
0-08-21,0,.571
0-08-22,0,.571
0-08-23,0,.571
0-08-24,1,.571
0-08-25,2,.857
0-08-26,1,.857
0-08-27,3,1
0-08-28,5,1.714
0-08-29,2,2
0-08-30,1,2.143
0-08-31,0,2
0-09-01,2,2
0-09-02,3,2.286
0-09-03,2,2.143
0-09-04,2,1.714
0-09-05,1,1.571
0-09-06,2,1.714
0-09-07,5,2.429
0-09-08,3,2.571
0-09-09,2,2.429
0-09-10,4,2.714
0-09-11,5,3.143
0-09-12,3,3.429
0-09-13,5,3.857
0-09-14,4,3.714
0-09-15,0,3.286
0-09-16,5,3.714
0-09-17,5,3.857
0-09-18,1,3.286
0-09-19,5,3.571
0-09-20,2,3.143
0-09-21,3,3
0-09-22,0,3
0-09-23,5,3
0-09-24,2,2.571
0-09-25,4,3
0-09-26,2,2.571
0-09-27,5,3
0-09-28,1,2.714
0-09-29,6,3.571
0-09-30,2,3.143
0-10-01,1,3
0-10-02,4,3
0-10-03,1,2.857
0-10-04,1,2.286
0-10-05,0,2.143
0-10-06,3,1.714
0-10-07,2,1.714
0-10-08,1,1.714
0-10-09,2,1.429
0-10-10,2,1.571
0-10-11,1,1.571
0-10-12,1,1.714
0-10-13,4,1.857
0-10-14,1,1.714
0-10-15,2,1.857
0-10-16,2,1.857
0-10-17,1,1.714
0-10-18,0,1.571
0-10-19,3,1.857
0-10-20,3,1.714
0-10-21,3,2
0-10-22,2,2
0-10-23,2,2
0-10-24,0,1.857
0-10-25,0,1.857
0-10-26,3,1.857
0-10-27,1,1.571
0-10-28,1,1.286
0-10-29,1,1.143
0-10-30,1,1
0-10-31,2,1.286
0-11-01,2,1.571
0-11-02,4,1.714
0-11-03,2,1.857
0-11-04,1,1.857
0-11-05,1,1.857
0-11-06,1,1.857
0-11-07,1,1.714
0-11-08,2,1.714
0-11-09,5,1.857
0-11-10,2,1.857
0-11-11,0,1.714
0-11-12,1,1.714
0-11-13,4,2.143
0-11-14,1,2.143
0-11-15,1,2
0-11-16,0,1.286
0-11-17,2,1.286
0-11-18,2,1.571
0-11-19,3,1.857
0-11-20,2,1.571
0-11-21,2,1.714
0-11-22,4,2.143
0-11-23,1,2.286
0-11-24,3,2.429
0-11-25,2,2.429
0-11-26,1,2.143
0-11-27,6,2.714
0-11-28,1,2.571
0-11-29,3,2.429
0-11-30,0,2.286
0-12-01,0,1.857
0-12-02,3,2
0-12-03,7,2.857
0-12-04,4,2.571
0-12-05,5,3.143
0-12-06,4,3.286
0-12-07,3,3.714
0-12-08,4,4.286
0-12-09,8,5
0-12-10,8,5.143
0-12-11,6,5.429
0-12-12,2,5
0-12-13,7,5.429
0-12-14,13,6.857
0-12-15,12,8
0-12-16,22,10
0-12-17,11,10.429
0-12-18,14,11.571
0-12-19,15,13.429
0-12-20,24,15.857
0-12-21,24,17.429
0-12-22,17,18.143
0-12-23,17,17.429
0-12-24,17,18.286
0-12-25,20,19.143
0-12-26,15,19.143
0-12-27,11,17.286
0-12-28,40,19.571
0-12-29,20,20
0-12-30,21,20.571
0-12-31,17,20.571
1-01-01,25,21.286
1-01-02,20,22
1-01-03,19,23.143
1-01-04,26,21.143
1-01-05,20,21.143
1-01-06,19,20.857
1-01-07,35,23.429
1-01-08,19,22.571
1-01-09,25,23.286
1-01-10,15,22.714
1-01-11,25,22.571
1-01-12,20,22.571
1-01-13,10,21.286
1-01-14,22,19.429
1-01-15,19,19.429
1-01-16,13,17.714
1-01-17,15,17.714
1-01-18,19,16.857
1-01-19,17,16.429
1-01-20,16,17.286
1-01-21,12,15.857
1-01-22,9,14.429
1-01-23,12,14.286
1-01-24,11,13.714
1-01-25,11,12.571
1-01-26,7,11.143
1-01-27,8,10
1-01-28,13,10.143
1-01-29,15,11
1-01-30,6,10.143
1-01-31,5,9.286
1-02-01,10,9.143
1-02-02,6,9
1-02-03,7,8.857
1-02-04,11,8.571
1-02-05,5,7.143
1-02-06,7,7.286
1-02-07,3,7
1-02-08,8,6.714
1-02-09,4,6.429
1-02-10,10,6.857
1-02-11,11,6.857
1-02-12,7,7.143
1-02-13,8,7.286
1-02-14,5,7.571
1-02-15,7,7.429
1-02-16,4,7.429
1-02-17,6,6.857
1-02-18,6,6.143
1-02-19,3,5.571
1-02-20,4,5
1-02-21,5,5
1-02-22,11,5.571
1-02-23,3,5.429
1-02-24,5,5.286
1-02-25,4,5
1-02-26,10,6
1-02-27,8,6.571
1-02-28,2,6.143
1-03-01,1,4.714
1-03-02,6,5.143
1-03-03,7,5.429
1-03-04,8,6
1-03-05,5,5.286
1-03-06,2,4.429
1-03-07,8,5.286
1-03-08,3,5.571
1-03-09,3,5.143
1-03-10,4,4.714
1-03-11,10,5
1-03-12,5,5
1-03-13,2,5
1-03-14,6,4.714
1-03-15,3,4.714
1-03-16,8,5.429
1-03-17,2,5.143
1-03-18,2,4
1-03-19,3,3.714
1-03-20,3,3.857
1-03-21,1,3.143
1-03-22,7,3.714
1-03-23,3,3
1-03-24,2,3
1-03-25,7,3.714
1-03-26,5,4
1-03-27,1,3.714
1-03-28,4,4.143
1-03-29,3,3.571
1-03-30,2,3.429
1-03-31,4,3.714
1-04-01,2,3
1-04-02,3,2.714
1-04-03,4,3.143
1-04-04,4,3.143
1-04-05,4,3.286
1-04-06,4,3.571
1-04-07,2,3.286
1-04-08,6,3.857
1-04-09,1,3.571
1-04-10,3,3.429
1-04-11,2,3.143
1-04-12,5,3.286
1-04-13,7,3.714
1-04-14,6,4.286
1-04-15,2,3.714
1-04-16,4,4.143
1-04-17,3,4.143
1-04-18,4,4.429
1-04-19,1,3.857
1-04-20,4,3.429
1-04-21,2,2.857
1-04-22,3,3
1-04-23,1,2.571
1-04-24,1,2.286
1-04-25,4,2.286
1-04-26,3,2.571
1-04-27,1,2.143
1-04-28,4,2.429
1-04-29,3,2.429
1-04-30,3,2.714
1-05-01,2,2.857
1-05-02,1,2.429
1-05-03,6,2.857
1-05-04,7,3.714
1-05-05,4,3.714
1-05-06,9,4.571
1-05-07,5,4.857
1-05-08,9,5.857
1-05-09,1,5.857
1-05-10,4,5.571
1-05-11,5,5.286
1-05-12,7,5.714
1-05-13,2,4.714
1-05-14,3,4.429
1-05-15,4,3.714
1-05-16,3,4
1-05-17,1,3.571
1-05-18,8,4
1-05-19,4,3.571
1-05-20,6,4.143
1-05-21,4,4.286
1-05-22,5,4.429
1-05-23,3,4.429
1-05-24,4,4.857
1-05-25,2,4
1-05-26,3,3.857
1-05-27,3,3.429
1-05-28,5,3.571
1-05-29,6,3.714
1-05-30,2,3.571
1-05-31,4,3.571
