Date,new_cases,new_cases_smoothed
0-07-01,51820,43989.714
0-07-02,56636,46319.714
0-07-03,51351,47084.286
0-07-04,45693,47707.571
0-07-05,50747,49138
0-07-06,43106,49396.143
0-07-07,60661,51430.571
0-07-08,60119,52616.143
0-07-09,62509,53455.143
0-07-10,68057,55841.714
0-07-11,60017,57888
0-07-12,58424,58984.714
0-07-13,58930,61245.286
0-07-14,68051,62301
0-07-15,68090,63439.714
0-07-16,75866,65347.857
0-07-17,72236,65944.857
0-07-18,62536,66304.714
0-07-19,60456,66595
0-07-20,62107,67048.857
0-07-21,64461,66536
0-07-22,70579,66891.571
0-07-23,68445,65831.429
0-07-24,73319,65986.143
0-07-25,64953,66331.429
0-07-26,54816,65525.714
0-07-27,56783,64765.143
0-07-28,66412,65043.857
0-07-29,71873,65228.714
0-07-30,67466,65088.857
0-07-31,68712,64430.714
0-08-01,56201,63180.429
0-08-02,45568,61859.286
0-08-03,45501,60247.571
0-08-04,58774,59156.429
0-08-05,54466,56669.714
0-08-06,59349,55510.143
0-08-07,59303,54166
0-08-08,54134,53870.714
0-08-09,45769,53899.429
0-08-10,47606,54200.143
0-08-11,48003,52661.429
0-08-12,56040,52886.286
0-08-13,51316,51738.714
0-08-14,65336,52600.571
0-08-15,46951,51574.429
0-08-16,39212,50637.714
0-08-17,36652,49072.857
0-08-18,45033,48648.571
0-08-19,47320,47402.857
0-08-20,44041,46363.571
0-08-21,48843,44007.429
0-08-22,43064,43452.143
0-08-23,34247,42742.857
0-08-24,36482,42718.571
0-08-25,40354,42050.143
0-08-26,45172,41743.286
0-08-27,45393,41936.429
0-08-28,46832,41649.143
0-08-29,42754,41604.857
0-08-30,34404,41627.286
0-08-31,35362,41467.286
0-09-01,41846,41680.429
0-09-02,41018,41087
0-09-03,44251,40923.857
0-09-04,50382,41431
0-09-05,43158,41488.714
0-09-06,31218,41033.571
0-09-07,23613,39355.143
0-09-08,27226,37266.571
0-09-09,34049,36271
0-09-10,36056,35100.286
0-09-11,47769,34727
0-09-12,41101,34433.143
0-09-13,34372,34883.714
0-09-14,34423,36428
0-09-15,39492,38180.286
0-09-16,39030,38891.857
0-09-17,45130,40188.143
0-09-18,49282,40404.286
0-09-19,42202,40561.571
0-09-20,38447,41143.714
0-09-21,51878,43637.286
0-09-22,39866,43690.714
0-09-23,39069,43696.286
0-09-24,47103,43978.143
0-09-25,48295,43837.143
0-09-26,44673,44190.143
0-09-27,37528,44058.857
0-09-28,33294,41404
0-09-29,43338,41900
0-09-30,39443,41953.429
0-10-01,45650,41745.857
0-10-02,54950,42696.571
0-10-03,48577,43254.286
0-10-04,35738,42998.571
0-10-05,39376,43867.429
0-10-06,45289,44146.143
0-10-07,51056,45805.143
0-10-08,58599,47655
0-10-09,56384,47859.857
0-10-10,54953,48770.714
0-10-11,45981,50234
0-10-12,41774,50576.571
