Date,new_deaths,new_deaths_smoothed
0-07-01,701,518.571
0-07-02,710,543.143
0-07-03,670,549.143
0-07-04,315,521.857
0-07-05,326,523.286
0-07-06,377,522
0-07-07,1161,608.571
0-07-08,822,625.857
0-07-09,1020,670.143
0-07-10,816,691
0-07-11,729,750.143
0-07-12,472,771
0-07-13,448,781.143
0-07-14,928,747.857
0-07-15,974,769.571
0-07-16,955,760.286
0-07-17,925,775.857
0-07-18,859,794.429
0-07-19,485,796.286
0-07-20,563,812.714
0-07-21,1085,835.143
0-07-22,1223,870.714
0-07-23,1070,887.143
0-07-24,1106,913
0-07-25,932,923.429
0-07-26,531,930
0-07-27,1127,1010.571
0-07-28,1332,1045.857
0-07-29,1411,1072.714
0-07-30,1235,1096.286
0-07-31,1237,1115
0-08-01,1087,1137.143
0-08-02,437,1123.714
0-08-03,583,1046
0-08-04,1282,1038.857
0-08-05,1439,1042.857
0-08-06,1239,1043.429
0-08-07,1241,1044
0-08-08,1076,1042.429
0-08-09,523,1054.714
0-08-10,634,1062
0-08-11,1025,1025.286
0-08-12,1505,1034.714
0-08-13,1064,1009.714
0-08-14,1337,1023.429
0-08-15,1000,1012.571
0-08-16,616,1025.857
0-08-17,493,1005.714
0-08-18,1226,1034.429
0-08-19,1337,1010.429
0-08-20,1104,1016.143
0-08-21,1088,980.571
0-08-22,911,967.857
0-08-23,545,957.714
0-08-24,475,955.143
0-08-25,1230,955.714
0-08-26,1162,930.714
0-08-27,1115,932.286
0-08-28,978,916.571
0-08-29,915,917.143
0-08-30,441,902.286
0-08-31,541,911.714
0-09-01,1029,883
0-09-02,1073,870.286
0-09-03,1031,858.286
0-09-04,957,855.286
0-09-05,762,833.429
0-09-06,472,837.857
0-09-07,295,802.714
0-09-08,455,720.714
0-09-09,1161,733.286
0-09-10,919,717.286
0-09-11,1164,746.857
0-09-12,711,739.571
0-09-13,423,732.571
0-09-14,432,752.143
0-09-15,1198,858.286
0-09-16,962,829.857
0-09-17,858,821.143
0-09-18,891,782.143
0-09-19,732,785.143
0-09-20,266,762.714
0-09-21,425,761.714
0-09-22,1029,737.571
0-09-23,1056,751
