Date,Confirmed,Deaths,Recovered,Infected,CFR,Recovery_rate,Mortality_rate
0-07-01,12904,282,11684,938,2.18536887786733,90.545567265964,.000550038021865884
0-07-02,12967,282,11759,926,2.17475129174057,90.6840441119766,.000550038021865884
0-07-03,13030,283,11811,936,2.17191097467383,90.6446661550269,.000551988511305125
0-07-04,13091,283,11832,976,2.16179054312123,90.382705675655,.000551988511305125
0-07-05,13137,284,11848,1005,2.16183299078937,90.1880185734947,.000553939000744365
0-07-06,13181,285,11914,982,2.16220317123132,90.3876792352629,.000555889490183606
0-07-07,13244,285,11970,989,2.15191784959227,90.3805496828753,.000555889490183606
0-07-08,13293,287,12019,987,2.15903106898368,90.4160084254871,.000559790469062087
0-07-09,13338,288,12065,985,2.15924426450742,90.4558404558405,.000561740958501328
0-07-10,13373,288,12144,941,2.15359306064458,90.8098407238466,.000561740958501328
0-07-11,13417,289,12178,950,2.15398375195647,90.765446821197,.000563691447940569
0-07-12,13479,289,12204,986,2.14407597002745,90.5408413087024,.000563691447940569
0-07-13,13512,289,12282,941,2.1388395500296,90.8969804618117,.000563691447940569
0-07-14,13551,289,12348,914,2.13268393476496,91.1224263891964,.000563691447940569
0-07-15,13612,291,12396,925,2.13781957096679,91.0667058477814,.00056759242681905
0-07-16,13672,293,12460,919,2.14306612053833,91.1351667641896,.000571493405697532
0-07-17,13711,294,12519,898,2.14426372985194,91.3062504558384,.000573443895136773
0-07-18,13745,295,12556,894,2.14623499454347,91.3495816660604,.000575394384576013
0-07-19,13771,296,12572,903,2.14944448478687,91.2932975092586,.000577344874015254
0-07-20,13816,296,12643,877,2.14244354371743,91.5098436595252,.000577344874015254
0-07-21,13879,297,12698,884,2.13992362562144,91.4907414078824,.000579295363454495
0-07-22,13938,297,12758,883,2.13086526043909,91.5339360022959,.000579295363454495
0-07-23,13979,298,12817,864,2.13176908219472,91.6875312969454,.000581245852893735
0-07-24,14092,298,12866,928,2.11467499290378,91.3000283848992,.000581245852893735
0-07-25,14150,298,12890,962,2.10600706713781,91.095406360424,.000581245852893735
0-07-26,14175,299,12905,971,2.10934744268078,91.0405643738977,.000583196342332976
0-07-27,14203,300,13007,896,2.11222981060339,91.5792438217278,.000585146831772217
0-07-28,14251,300,13069,882,2.10511543049611,91.7058452038453,.000585146831772217
0-07-29,14269,300,13132,837,2.10245987805733,92.0316770621627,.000585146831772217
0-07-30,14305,301,13183,821,2.10415938483048,92.1565886053827,.000587097321211458
0-07-31,14336,301,13233,802,2.099609375,92.3060825892857,.000587097321211458
0-08-01,14366,301,13259,806,2.09522483641932,92.2943060002784,.000587097321211458
0-08-02,14389,301,13280,808,2.09187573841129,92.2927236083119,.000587097321211458
0-08-03,14423,301,13352,770,2.08694446370381,92.5743603965888,.000587097321211458
0-08-04,14456,302,13406,748,2.0890979524073,92.7365799667958,.000589047810650698
0-08-05,14499,302,13501,696,2.08290226912201,93.1167666735637,.000589047810650698
0-08-06,14519,303,13543,673,2.08692058681727,93.2777739513741,.000590998300089939
0-08-07,14562,304,13629,629,2.08762532619146,93.5929130613927,.00059294878952918
0-08-08,14598,305,13642,651,2.08932730511029,93.4511576928346,.00059489927896842
0-08-09,14626,305,13658,663,2.08532749897443,93.381649118009,.00059489927896842
0-08-10,14660,305,13729,626,2.08049113233288,93.6493860845839,.00059489927896842
