Date,Confirmed,Deaths,Recovered,Infected,CFR,Recovery_rate,Mortality_rate
0-07-01,355,0,336,19,0,94.6478873239437,0
0-07-02,355,0,340,15,0,95.7746478873239,0
0-07-03,355,0,340,15,0,95.7746478873239,0
0-07-04,355,0,340,15,0,95.7746478873239,0
0-07-05,355,0,340,15,0,95.7746478873239,0
0-07-06,369,0,341,28,0,92.4119241192412,0
0-07-07,369,0,342,27,0,92.6829268292683,0
0-07-08,369,0,347,22,0,94.0379403794038,0
0-07-09,369,0,347,22,0,94.0379403794038,0
0-07-10,370,0,350,20,0,94.5945945945946,0
0-07-11,370,0,350,20,0,94.5945945945946,0
0-07-12,372,0,350,22,0,94.0860215053764,0
0-07-13,373,0,352,21,0,94.3699731903485,0
0-07-14,373,0,352,21,0,94.3699731903485,0
0-07-15,381,0,353,28,0,92.6509186351706,0
0-07-16,381,0,356,25,0,93.4383202099738,0
0-07-17,382,0,356,26,0,93.1937172774869,0
0-07-18,382,0,357,25,0,93.4554973821989,0
0-07-19,383,0,357,26,0,93.2114882506527,0
0-07-20,384,0,360,24,0,93.75,0
0-07-21,401,0,365,36,0,91.0224438902743,0
0-07-22,408,0,365,43,0,89.4607843137255,0
0-07-23,412,0,365,47,0,88.5922330097087,0
0-07-24,415,0,365,50,0,87.9518072289157,0
0-07-25,417,0,365,52,0,87.5299760191847,0
0-07-26,420,0,365,55,0,86.9047619047619,0
0-07-27,431,0,365,66,0,84.6867749419954,0
0-07-28,446,0,369,77,0,82.7354260089686,0
0-07-29,459,0,369,90,0,80.3921568627451,0
0-07-30,509,0,373,136,0,73.2809430255403,0
0-07-31,558,3,373,182,.537634408602151,66.8458781362007,3.08202555198487E-06
0-08-01,590,3,373,214,.508474576271186,63.2203389830509,3.08202555198487E-06
0-08-02,621,6,373,242,.966183574879227,60.0644122383253,6.16405110396974E-06
0-08-03,652,7,374,271,1.07361963190184,57.361963190184,7.19139295463136E-06
0-08-04,672,8,378,286,1.19047619047619,56.25,8.21873480529298E-06
0-08-05,717,9,381,327,1.25523012552301,53.1380753138075,9.24607665595461E-06
0-08-06,750,10,392,348,1.33333333333333,52.2666666666667,1.02734185066162E-05
0-08-07,789,10,395,384,1.26742712294043,50.063371356147,1.02734185066162E-05
0-08-08,812,10,395,407,1.23152709359606,48.6453201970443,1.02734185066162E-05
0-08-09,841,13,395,433,1.54577883472057,46.9678953626635,1.33554440586011E-05
0-08-10,847,15,399,433,1.77095631641086,47.1074380165289,1.54101277599243E-05
0-08-11,866,16,451,399,1.84757505773672,52.0785219399538,1.6437469610586E-05
0-08-12,883,18,409,456,2.03850509626274,46.3193657984145,1.84921533119092E-05
0-08-13,911,21,425,465,2.30515916575192,46.6520307354555,2.15741788638941E-05
0-08-14,930,22,437,471,2.36559139784946,46.989247311828,2.26015207145557E-05
0-08-15,951,24,447,480,2.52365930599369,47.0031545741325,2.4656204415879E-05
0-08-16,964,24,456,484,2.4896265560166,47.3029045643153,2.4656204415879E-05
0-08-17,983,25,467,491,2.54323499491353,47.5076297049847,2.56835462665406E-05
0-08-18,989,26,526,437,2.62891809908999,53.1850353892821,2.67108881172022E-05
0-08-19,994,25,533,436,2.51509054325956,53.6217303822938,2.56835462665406E-05
0-08-20,1007,25,542,440,2.48262164846077,53.8232373386296,2.56835462665406E-05
0-08-21,1009,25,545,439,2.47770069375619,54.013875123885,2.56835462665406E-05
0-08-22,1014,26,563,425,2.56410256410256,55.5226824457594,2.67108881172022E-05
0-08-23,1016,27,568,421,2.65748031496063,55.9055118110236,2.77382299678638E-05
0-08-24,1022,27,587,408,2.64187866927593,57.4363992172211,2.77382299678638E-05
0-08-25,1029,27,592,410,2.62390670553936,57.5315840621963,2.77382299678638E-05
0-08-26,1034,30,632,372,2.90135396518375,61.1218568665377,3.08202555198487E-05
0-08-27,1036,30,637,369,2.8957528957529,61.4864864864865,3.08202555198487E-05
0-08-28,1038,30,663,345,2.89017341040462,63.8728323699422,3.08202555198487E-05
0-08-29,1040,32,677,331,3.07692307692308,65.0961538461539,3.28749392211719E-05
0-08-30,1040,32,695,313,3.07692307692308,66.8269230769231,3.28749392211719E-05
0-08-31,1044,34,707,303,3.25670498084291,67.72030651341,3.49296229224952E-05
0-09-01,1044,34,735,275,3.25670498084291,70.4022988505747,3.49296229224952E-05
0-09-02,1046,34,746,266,3.25047801147228,71.3193116634799,3.49296229224952E-05
0-09-03,1046,35,755,256,3.34608030592734,72.1797323135755,3.59569647731568E-05
0-09-04,1049,35,772,242,3.33651096282173,73.5938989513823,3.59569647731568E-05
0-09-05,1049,35,805,209,3.33651096282173,76.7397521448999,3.59569647731568E-05
0-09-06,1049,35,815,199,3.33651096282173,77.6930409914204,3.59569647731568E-05
0-09-07,1049,35,853,161,3.33651096282173,81.3155386081983,3.59569647731568E-05
0-09-08,1054,35,868,151,3.32068311195446,82.3529411764706,3.59569647731568E-05
0-09-09,1059,35,890,134,3.30500472143532,84.0415486307838,3.59569647731568E-05
0-09-10,1059,35,893,131,3.30500472143532,84.3248347497639,3.59569647731568E-05
0-09-11,1060,35,902,123,3.30188679245283,85.0943396226415,3.59569647731568E-05
0-09-12,1060,35,910,115,3.30188679245283,85.8490566037736,3.59569647731568E-05
0-09-13,1063,35,918,110,3.29256820319849,86.3593603010348,3.59569647731568E-05
0-09-14,1063,35,926,102,3.29256820319849,87.1119473189087,3.59569647731568E-05
