Date,Confirmed,Deaths,Recovered,Infected,CFR,Recovery_rate,Mortality_rate
0-07-01,10675596,541738,5468425,4665433,5.07454572091338,51.2236038156558,.000694535897435897
0-07-02,10885548,547161,5753359,4585028,5.02649016843249,52.8531866287301,.000701488461538462
0-07-03,11086923,552455,5863247,4671221,4.98294251705365,52.8843485248342,.000708275641025641
0-07-04,11280744,557248,6059007,4664489,4.93981602631883,53.7110584195511,.000714420512820513
0-07-05,11464726,561077,6178370,4725279,4.893941643263,53.8902543331607,.000719329487179487
0-07-06,11628722,565315,6302069,4761338,4.86136825697613,54.1939948345141,.00072476282051282
0-07-07,11840091,571657,6447102,4821332,4.82814701339711,54.451456496407,.00073289358974359
0-07-08,12054250,577286,6605158,4871806,4.78906609701972,54.7952630814858,.000740110256410256
0-07-09,12281090,583076,6739776,4958238,4.74775447456211,54.8792981730449,.000747533333333333
0-07-10,12513766,588707,6879222,5045837,4.70447505571065,54.9732350756759,.000754752564102564
0-07-11,12730232,593919,7004914,5131399,4.6654216513886,55.0258157117639,.000761434615384615
0-07-12,12922492,598294,7116750,5207448,4.62986550891268,55.0725819756747,.00076704358974359
0-07-13,13113970,602610,7257073,5254287,4.59517598408415,55.3384901749813,.000772576923076923
0-07-14,13336173,608627,7399325,5328221,4.56373053948835,55.4831209823088,.000780291025641026
0-07-15,13567611,614475,7559131,5394005,4.52898450582052,55.7145322046748,.000787788461538462
0-07-16,13818969,620661,7711616,5486692,4.4913697975587,55.8045683437021,.000795719230769231
0-07-17,14061686,627705,7895037,5538944,4.46393839259389,56.145735298029,.00080475
0-07-18,14297865,634278,8045824,5617763,4.43617281321372,56.2729050805837,.000813176923076923
0-07-19,14511279,638959,8133882,5738438,4.40318871961596,56.0521370997002,.000819178205128205
0-07-20,14718412,642988,8293010,5782414,4.36859628606673,56.3444616171908,.00082434358974359
0-07-21,14952034,649387,8467706,5834941,4.3431348537597,56.6324688667776,.000832547435897436
0-07-22,15231917,656742,8647438,5927737,4.31161750684435,56.771829835995,.000841976923076923
0-07-23,15514776,663367,8823668,6027741,4.27571110275778,56.8726741526916,.000850470512820513
0-07-24,15795846,669826,9051968,6074052,4.24051994429422,57.3060031099316,.000858751282051282
0-07-25,16049938,675976,9271780,6102182,4.2117047430339,57.7683228433655,.000866635897435897
0-07-26,16263015,680303,9415081,6167631,4.18312963494161,57.8925924866945,.000872183333333333
0-07-27,16489477,685535,9586464,6217478,4.15740899483956,58.1368590404656,.000878891025641026
0-07-28,16742217,692258,9756922,6293037,4.13480484693276,58.2773595635512,.000887510256410256
0-07-29,17033965,699270,9959508,6375187,4.10515109077657,58.4685245038369,.0008965
0-07-30,17314074,705912,10173027,6435135,4.07709935859117,58.7558248855815,.000905015384615385
0-07-31,17604811,712493,10372633,6519685,4.04714938433591,58.9193090456921,.000913452564102564
0-08-01,17853166,718574,10553544,6581048,4.02491076372673,59.1130111040249,.000921248717948718
0-08-02,18084181,722978,10692268,6668935,3.9978476216313,59.1249777913636,.000926894871794872
0-08-03,18290628,728044,10914713,6647871,3.98042101124139,59.6738012494705,.000933389743589744
0-08-04,18548543,735036,11138370,6675137,3.96276947466979,60.049837876754,.000942353846153846
0-08-05,18825127,742524,11360065,6722538,3.94432398782755,60.3452237002173,.000951953846153846
0-08-06,19110321,749415,11548872,6812034,3.9215196856191,60.4326426541972,.000960788461538462
0-08-07,19392566,756110,11740918,6895538,3.89896829537669,60.5433958559172,.000969371794871795
0-08-08,19651099,762184,11941162,6947753,3.87858205792969,60.7658737050788,.000977158974358974
0-08-09,19875797,766985,12119940,6988872,3.85888928127008,60.9783849170929,.000983314102564102
0-08-10,20101808,772713,12284151,7044944,3.84399751504939,61.1096822733557,.000990657692307692
0-08-11,20359380,779327,12589219,6990834,3.82785232163258,61.8349822047626,.00099913717948718
0-08-12,20636018,786274,12829864,7019880,3.81020214268082,62.1721884522489,.00100804358974359
0-08-13,20925236,793105,12993780,7138351,3.79018425407484,62.0962172182909,.00101680128205128
0-08-14,21228980,799769,13277022,7152189,3.7673453929487,62.5419685731486,.00102534487179487
0-08-15,21476718,805774,13445626,7225318,3.75184886256829,62.6055899230041,.00103304358974359
0-08-16,21691208,810402,13678580,7202226,3.73608514564979,63.0604805412405,.00103897692307692
0-08-17,21898916,814926,13889592,7194398,3.72130748389555,63.4259339594709,.00104477692307692
0-08-18,22157171,822142,14117187,7217842,3.71050076744906,63.7138513757013,.00105402820512821
0-08-19,22436722,829263,14335184,7272275,3.6960078214634,63.8916148268005,.00106315769230769
0-08-20,22709277,835675,14542974,7330628,3.67988377613255,64.0397930766356,.00107137820512821
0-08-21,22970496,841415,14711468,7417613,3.66302495165973,64.0450602372713,.00107873717948718
0-08-22,23234766,847225,14921385,7466156,3.64636768883319,64.2200786528257,.0010861858974359
