Date,Confirmed,Deaths,Recovered,Infected,CFR,Recovery_rate,Mortality_rate
0-07-01,1448753,60632,817642,570479,4.18511644151902,56.4376398185198,.0285247311729212
0-07-02,1496858,61884,957692,477282,4.13425989639632,63.9801504217501,.0291137429724412
0-07-03,1539081,63174,984615,491292,4.10465725975436,63.9742157820154,.0297206321268987
0-07-04,1577004,64265,990731,522008,4.07513233955019,62.8236199781358,.0302339003962887
0-07-05,1603055,64867,1029045,509143,4.04646128797827,64.1927444785113,.0305171153350356
0-07-06,1623284,65487,1062542,495255,4.03422937699133,65.4563218759009,.0308087984945423
0-07-07,1668589,66741,1107012,494836,3.99984657695814,66.3441986013332,.0313987512074801
0-07-08,1713160,67964,1139844,505352,3.96717177613299,66.5345910481216,.0319741197624425
0-07-09,1755779,69184,1171447,515148,3.9403592365554,66.719501714054,.0325480769472783
0-07-10,1800827,70398,1217361,513068,3.9092039379685,67.600108172523,.0331192113918608
0-07-11,1839850,71469,1244088,524293,3.88450145392287,67.6189906785879,.0336230705270732
0-07-12,1864681,72100,1264843,527738,3.86661310969544,67.8316022955133,.0339199287103776
0-07-13,1884967,72833,1291251,520883,3.86388727229708,68.5025785597308,.034264773477988
0-07-14,1926824,74133,1323425,529266,3.8474193802859,68.6842700734473,.0348763671995343
0-07-15,1966748,75366,1350098,541284,3.83201101513768,68.6462119193715,.0354564403215856
0-07-16,2012151,76688,1397531,537932,3.81124478232498,69.4545787070652,.0360783840907273
0-07-17,2046328,77851,1428520,539957,3.80442431516355,69.8089455844811,.0366255252431568
0-07-18,2074860,78772,1447408,548680,3.79649711305823,69.7593090618162,.037058815872037
0-07-19,2098389,79488,1459072,559829,3.78804883174664,69.5329607618035,.0373956628755963
0-07-20,2118646,80120,1514300,524226,3.78166055112558,71.4748948148959,.0376929915156096
0-07-21,2159654,81487,1555339,522828,3.77315069913977,72.0179713972701,.0383361058366511
0-07-22,2227514,82771,1591975,552768,3.7158464548371,71.46868661656,.0389401722508553
0-07-23,2287475,84082,1620313,583080,3.67575601919147,70.8341293347468,.0395569409961993
0-07-24,2343366,85238,1693214,564914,3.63741728778176,72.2556356966859,.0401007889516667
0-07-25,2394513,86449,1785359,522705,3.61029570522273,74.5604220983557,.0406705120261225
0-07-26,2419091,87004,1812913,519174,3.59655754992268,74.941909998425,.0409316154995519
0-07-27,2442375,87618,1846641,508116,3.58740979579303,75.6084139413481,.0412204759188054
0-07-28,2483191,88539,1868749,525903,3.56553321915229,75.2559509115489,.0416537665476855
0-07-29,2552265,90134,1922802,539329,3.53152983722302,75.3370829439733,.042404144998352
0-07-30,2610102,91263,1956807,562032,3.49653002066586,74.9705183935341,.0429352906226795
0-07-31,2662485,92475,2008854,561156,3.47325900427608,75.450340565299,.0435054841538443
