Date,Confirmed,Deaths,Recovered,Infected,CFR,Recovery_rate,Mortality_rate
0-07-01,2694053,128328,729994,1835731,4.76338067588128,27.0964973591834,.038769478480938
0-07-02,2750689,129038,781970,1839681,4.69111557140775,28.4281501834631,.0389839782761616
0-07-03,2802040,129708,790404,1881928,4.62905597350502,28.2081626243737,.0391863935758798
0-07-04,2847733,130023,894325,1823385,4.56584237356522,31.4048051555395,.0392815589779861
0-07-05,2898480,130349,906763,1861368,4.49715023046562,31.2840868317187,.0393800476163564
0-07-06,2941586,130726,924148,1886712,4.44406520836039,31.4166575446035,.0394939439864963
0-07-07,3002247,131887,936476,1933884,4.39294301901209,31.192503481559,.0398446964685452
0-07-08,3062366,132709,953462,1976195,4.3335447167321,31.1348153682479,.0400930328511844
0-07-09,3124875,133729,969111,2022035,4.2794991799672,31.0127925117005,.0404011874865762
0-07-10,3192932,134545,983185,2075202,4.2138385659325,30.7925442821833,.0406477111948896
0-07-11,3252949,135274,995576,2122099,4.15850356092272,30.6053368804737,.0408679511254785
0-07-12,3311373,135746,1006326,2169301,4.09938717263202,30.3899923083265,.0410105481724441
0-07-13,3370303,136194,1031939,2202170,4.04100165474736,30.6185823648497,.0411458945221063
0-07-14,3438354,137122,1049098,2252134,3.98801286894834,30.511634345969,.0414262548178353
0-07-15,3506444,138096,1075882,2292466,3.93834893698573,30.6829939391589,.0417205122833957
0-07-16,3582310,139051,1090645,2352614,3.88160153643878,30.4452992622079,.042009029613591
0-07-17,3654546,139976,1107204,2407366,3.83018848305645,30.2966223437877,.0422884835721571
0-07-18,3717082,140835,1122720,2453527,3.78885911045277,30.2043377036073,.042547998113139
0-07-19,3777538,141320,1131121,2505097,3.74106097675258,29.9433387566187,.0426945226211439
0-07-20,3839645,141883,1160087,2537675,3.69521140626282,30.2133921234906,.0428646118953846
0-07-21,3904106,142968,1182018,2579120,3.66199073488271,30.2762783592454,.0431924038359729
0-07-22,3974685,144191,1210849,2619645,3.62773402168977,30.4640241931122,.0435618872860555
0-07-23,4043130,145261,1233269,2664600,3.59278578724899,30.5028282543475,.0438851475408292
0-07-24,4116449,146367,1261624,2708458,3.55566168802286,30.6483573584903,.0442192838415579
0-07-25,4181402,147299,1279414,2754689,3.52271797832402,30.5977277477745,.0445008525868375
0-07-26,4236218,147830,1297863,2790525,3.48966932296685,30.6373043124787,.0446612742646738
0-07-27,4293001,148957,1325804,2818240,3.46976392504917,30.8829184992037,.0450017549255429
0-07-28,4359413,150289,1355363,2853761,3.44745955476116,31.0904931466691,.0454041686258781
0-07-29,4431286,151700,1389425,2890161,3.42338544612106,31.3548933650412,.0458304492048367
0-07-30,4498752,152935,1414155,2931662,3.39949834976456,31.4343844692928,.0462035580035709
0-07-31,4567464,154172,1438160,2975132,3.37543985021009,31.4870571503136,.0465772710270803
0-08-01,4623665,155259,1461885,3006521,3.35792061059787,31.6174506587307,.0469056671924439
0-08-02,4669233,155696,1468689,3044848,3.33450911530866,31.45460935447,.0470376903058422
0-08-03,4714734,156279,1513446,3045009,3.31469389365339,32.1003475487695,.0472138218278357
0-08-04,4773508,157561,1528979,3086968,3.30073815734676,32.0305108947131,.0476011299087889
0-08-05,4827974,159000,1577851,3091123,3.29330688193433,32.6814311758928,.0480358696346014
0-08-06,4887323,160239,1598624,3128460,3.27866605092399,32.7096040102117,.0484101868828862
0-08-07,4946626,161480,1623870,3161276,3.26444732227583,32.8278305252914,.0487851083559462
0-08-08,5000760,162556,1643118,3195086,3.25062590486246,32.8573656804166,.0491101812850457
0-08-09,5046529,163079,1656864,3226586,3.23150823070669,32.8317542611962,.0492681860637809
0-08-10,5094135,163713,1670755,3259667,3.21375464136698,32.7976192228906,.0494597253175441
0-08-11,5142138,164738,1714960,3262440,3.20368687110303,33.3511080410522,.049769390514874
0-08-12,5198178,166243,1753760,3278175,3.1981013347369,33.7379751135879,.0502240696582707
0-08-13,5249494,167307,1774648,3307539,3.187107176425,33.8060773095464,.0505455172387186
