iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,filter_$
BRA,South America,Brazil,7/1/2020,1448753,46712,37160.286,60632,1038,971.714,6815.756,219.76,174.823,285.247,4.883,4.571,1.09, , , , , , , , , , , , , , , , ,tests performed, , , , , , , , , ,77.31,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/2/2020,1496858,48105,38392,61884,1252,987.571,7042.069,226.313,180.618,291.137,5.89,4.646,1.08, , , , , , , , , , , , , , , , ,tests performed, , , , , , , , , ,77.31,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/3/2020,1539081,42223,37729.571,63174,1290,1030.429,7240.71,198.641,177.501,297.206,6.069,4.848,1.07, , , , , , , , , , , , , , , , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/4/2020,1577004,37923,37619.571,64265,1091,1027.857,7419.121,178.411,176.984,302.339,5.133,4.836,1.07, , , , , , , , , ,2124223,9.994, , , , , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/5/2020,1603055,26051,36987.429,64867,602,1035,7541.68,122.559,174.01,305.171,2.832,4.869,1.06, , , , , , , , , , , , , , , , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/6/2020,1623284,20229,36441.286,65487,620,1024.714,7636.848,95.169,171.44,308.088,2.917,4.821,1.06, , , , , , , , , , , , , , , , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/7/2020,1668589,45305,38078.286,66741,1254,1021,7849.989,213.14,179.142,313.988,5.9,4.803,1.05, , , , , , , , , , , , ,98318,.463, , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/8/2020,1713160,44571,37772.429,67964,1223,1047.429,8059.676,209.687,177.703,319.741,5.754,4.928,1.04, , , , , , , , , , , , ,77295,.364, , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/9/2020,1755779,42619,36988.714,69184,1220,1042.857,8260.18,200.504,174.016,325.481,5.74,4.906,1.04, , , , , , , , , , , , ,56272,.265, , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/10/2020,1800827,45048,37392.286,70398,1214,1032,8472.111,211.931,175.915,331.192,5.711,4.855,1.04, , , , , , , , , , , , ,35249,.166, , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/11/2020,1839850,39023,37549.429,71469,1071,1029.143,8655.698,183.586,176.654,336.231,5.039,4.842,1.04, , , , , , , , , ,2223803,10.462, ,14226,.067, , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/12/2020,1864681,24831,37375.143,72100,631,1033.286,8772.517,116.819,175.834,339.199,2.969,4.861,1.03, , , , , , , , , , , , ,16661,.078, , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/13/2020,1884967,20286,37383.286,72833,733,1049.429,8867.954,95.437,175.872,342.648,3.448,4.937,1.03, , , , , , , , , , , , ,19097,.09, , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
BRA,South America,Brazil,7/14/2020,1926824,41857,36890.714,74133,1300,1056,9064.873,196.919,173.555,348.764,6.116,4.968,1.03, , , , , , , , , , , , ,21533,.101, , ,tests performed, , , , , , , , , ,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9, ,2.2,75.88,.765, ,1
