iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,filter_$
IND,Asia,India,7/1/2020,604641,19160,18790.857,17834,434,420,438.144,13.884,13.617,12.923,.314,.304,1.22, , , , , , , , ,217931,8826585,6.396,.158,210525,.153,.089,11.2,samples tested, , , , , , , , , ,87.5,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,.53,69.66,.645, ,1
IND,Asia,India,7/2/2020,625544,20903,19306.143,18213,379,416,453.291,15.147,13.99,13.198,.275,.301,1.22, , , , , , , , ,229588,9056173,6.562,.166,213627,.155,.09,11.1,samples tested, , , , , , , , , ,87.5,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,.53,69.66,.645, ,1
IND,Asia,India,7/3/2020,648315,22771,19908.857,18655,442,424.286,469.792,16.501,14.427,13.518,.32,.307,1.22, , , , , , , , ,241576,9297749,6.737,.175,217360,.158,.092,10.9,samples tested, , , , , , , , , ,87.5,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,.53,69.66,.645, ,1
IND,Asia,India,7/4/2020,673165,24850,20615.143,19268,613,453.286,487.799,18.007,14.938,13.962,.444,.328,1.22, , , , , , , , ,242383,9540132,6.913,.176,220489,.16,.093,10.7,samples tested, , , , , , , , , ,87.5,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,.53,69.66,.645, ,1
IND,Asia,India,7/5/2020,697413,24248,21299.286,19693,425,459.714,505.37,17.571,15.434,14.27,.308,.333,1.22, , , , , , , , ,248934,9789066,7.094,.18,223038,.162,.095,10.5,samples tested, , , , , , , , , ,87.5,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,.53,69.66,.645, ,1
IND,Asia,India,7/6/2020,719664,22251,21832,20159,466,466.571,521.494,16.124,15.82,14.608,.338,.338,1.22, , , , , , , , ,180596,9969662,7.224,.131,224471,.163,.097,10.3,samples tested, , , , , , , , , ,87.5,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,.53,69.66,.645, ,1
IND,Asia,India,7/7/2020,742417,22753,22419.429,20642,483,463.143,537.982,16.488,16.246,14.958,.35,.336,1.22, , , , , , , , ,241430,10211092,7.399,.175,228920,.166,.098,10.2,samples tested, , , , , , , , , ,87.5,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,.53,69.66,.645, ,1
IND,Asia,India,7/8/2020,767296,24879,23236.429,21129,487,470.714,556.01,18.028,16.838,15.311,.353,.341,1.22, , , , , , , , ,262679,10473771,7.59,.19,235312,.171,.099,10.1,samples tested, , , , , , , , , ,87.5,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,.53,69.66,.645, ,1
IND,Asia,India,7/9/2020,793802,26506,24036.857,21604,475,484.429,575.217,19.207,17.418,15.655,.344,.351,1.22, , , , , , , , ,267061,10740832,7.783,.194,240666,.174,.1,10,samples tested, , , , , , , , , ,87.5,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,.53,69.66,.645, ,1
IND,Asia,India,7/10/2020,820916,27114,24657.286,22123,519,495.429,594.865,19.648,17.868,16.031,.376,.359,1.23, , , , , , , , ,283659,11024491,7.989,.206,246677,.179,.1,10,samples tested, , , , , , , , , ,87.5,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,.53,69.66,.645, ,1
