iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,filter_$
JPN,Asia,Japan,7/1/2020,18838,223,125,976,4,1.286,148.945,1.763,.988,7.717,.032,.01,1.73, , , , , , , , ,6564,396783,3.137,.052,4426,.035,.028,35.4,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/2/2020,19055,217,142.857,977,1,.857,150.66,1.716,1.13,7.725,.008,.007,1.68, , , , , , , , ,5460,402243,3.18,.043,4570,.036,.031,32,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/3/2020,19185,130,146.143,977,0,.857,151.688,1.028,1.155,7.725,0,.007,1.6, , , , , , , , ,6597,408840,3.233,.052,4833,.038,.03,33.1,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/4/2020,19461,276,172.429,977,0,.857,153.871,2.182,1.363,7.725,0,.007,1.62, , , , , , , , ,3134,411974,3.257,.025,4776,.038,.036,27.7,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/5/2020,19668,207,186,977,0,.714,155.507,1.637,1.471,7.725,0,.006,1.59, , , , , , , , ,2618,414592,3.278,.021,4933,.039,.038,26.5,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/6/2020,19848,180,196,978,1,.857,156.93,1.423,1.55,7.733,.008,.007,1.56, , , , , , , , ,8228,422820,3.343,.065,5322,.042,.037,27.2,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/7/2020,20055,207,205.714,981,3,1.286,158.567,1.637,1.627,7.756,.024,.01,1.54, , , , , , , , ,7099,429919,3.399,.056,5671,.045,.036,27.6,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/8/2020,20261,206,203.286,982,1,.857,160.196,1.629,1.607,7.764,.008,.007,1.54, , , , , , , , ,7725,437644,3.46,.061,5837,.046,.035,28.7,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/9/2020,20617,356,223.143,982,0,.714,163.011,2.815,1.764,7.764,0,.006,1.62, , , , , , , , ,7700,445344,3.521,.061,6157,.049,.036,27.6,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/10/2020,21044,427,265.571,982,0,.714,166.387,3.376,2.1,7.764,0,.006,1.66, , , , , , , , ,8955,454299,3.592,.071,6494,.051,.041,24.5,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/11/2020,21430,386,281.286,982,0,.714,169.439,3.052,2.224,7.764,0,.006,1.62, , , , , , , , ,5362,459661,3.634,.042,6812,.054,.041,24.2,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/12/2020,21841,411,310.429,983,1,.857,172.688,3.25,2.454,7.772,.008,.007,1.61, , , , , , , , ,1838,461499,3.649,.015,6701,.053,.046,21.6,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
JPN,Asia,Japan,7/13/2020,22125,284,325.286,984,1,.857,174.934,2.245,2.572,7.78,.008,.007,1.58, , , , , , , , ,10552,472051,3.732,.083,7033,.056,.046,21.6,people tested, , , , , , , , , ,25.93,126476458,347.778,48.2,27.049,18.493,39002.223, ,79.37,5.72,11.2,33.7, ,13.05,84.63,.919, ,0
