iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,filter_$
KOR,Asia,South Korea,7/1/2020,12904,54,48.714,282,0,0,251.691,1.053,.95,5.5,0,0,1.14, , , , , , , , ,12748,1265705,24.687,.249,11050,.216,.004,226.8,people tested, , , , , , , , , ,53.24,51269183,527.967,43.4,13.914,8.622,35938.374,.2,85.998,6.8,6.2,40.9, ,12.27,83.03,.916, ,0
KOR,Asia,South Korea,7/2/2020,12967,63,52.143,282,0,0,252.92,1.229,1.017,5.5,0,0,1.17, , , , , , , , ,10475,1276180,24.892,.204,10657,.208,.005,204.4,people tested, , , , , , , , , ,56.94,51269183,527.967,43.4,13.914,8.622,35938.374,.2,85.998,6.8,6.2,40.9, ,12.27,83.03,.916, ,0
KOR,Asia,South Korea,7/3/2020,13030,63,53.857,283,1,.143,254.149,1.229,1.05,5.52,.02,.003,1.14, , , , , , , , ,10021,1286201,25.087,.195,10388,.203,.005,192.9,people tested, , , , , , , , , ,56.94,51269183,527.967,43.4,13.914,8.622,35938.374,.2,85.998,6.8,6.2,40.9, ,12.27,83.03,.916, ,0
KOR,Asia,South Korea,7/4/2020,13091,61,53.714,283,0,.143,255.339,1.19,1.048,5.52,0,.003,1.12, , , , , , , , ,11001,1297202,25.302,.215,10470,.204,.005,194.9,people tested, , , , , , , , , ,53.24,51269183,527.967,43.4,13.914,8.622,35938.374,.2,85.998,6.8,6.2,40.9, ,12.27,83.03,.916, ,0
KOR,Asia,South Korea,7/5/2020,13137,46,54.286,284,1,.286,256.236,.897,1.059,5.539,.02,.006,1.08, , , , , , , , , , , , ,10166,.198,.005,187.3,people tested, , , , , , , , , ,53.24,51269183,527.967,43.4,13.914,8.622,35938.374,.2,85.998,6.8,6.2,40.9, ,12.27,83.03,.916,6.43,0
KOR,Asia,South Korea,7/6/2020,13181,44,54.429,285,1,.429,257.094,.858,1.062,5.559,.02,.008,1.05, , , , , , , , , ,1310504,25.561, ,9864,.192,.006,181.2,people tested, , , , , , , , , ,53.24,51269183,527.967,43.4,13.914,8.622,35938.374,.2,85.998,6.8,6.2,40.9, ,12.27,83.03,.916, ,0
KOR,Asia,South Korea,7/7/2020,13244,63,56.286,285,0,.429,258.323,1.229,1.098,5.559,0,.008,1.02, , , , , , , , ,12015,1322519,25.796,.234,9937,.194,.006,176.5,people tested, , , , , , , , , ,53.24,51269183,527.967,43.4,13.914,8.622,35938.374,.2,85.998,6.8,6.2,40.9, ,12.27,83.03,.916, ,0
KOR,Asia,South Korea,7/8/2020,13293,49,55.571,287,2,.714,259.279,.956,1.084,5.598,.039,.014,.94, , , , , , , , ,13204,1335723,26.053,.258,10003,.195,.006,180,people tested, , , , , , , , , ,53.24,51269183,527.967,43.4,13.914,8.622,35938.374,.2,85.998,6.8,6.2,40.9, ,12.27,83.03,.916, ,0
KOR,Asia,South Korea,7/9/2020,13338,45,53,288,1,.857,260.156,.878,1.034,5.617,.02,.017,.86, , , , , , , , ,12136,1347859,26.29,.237,10240,.2,.005,193.2,people tested, , , , , , , , , ,53.24,51269183,527.967,43.4,13.914,8.622,35938.374,.2,85.998,6.8,6.2,40.9, ,12.27,83.03,.916, ,0
KOR,Asia,South Korea,7/10/2020,13373,35,49,288,0,.714,260.839,.683,.956,5.617,0,.014,.82, , , , , , , , ,13504,1361363,26.553,.263,10737,.209,.005,219.1,people tested, , , , , , , , , ,53.24,51269183,527.967,43.4,13.914,8.622,35938.374,.2,85.998,6.8,6.2,40.9, ,12.27,83.03,.916, ,0
