iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,filter_$
VNM,Asia,Vietnam,7/1/2020,355,0,0.429,0,0,0,3.647,0,0.004,0,0,0,0.39, , , , , , , , , , , , , , , , , , , , , , , , , , ,55.56,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704, ,1
VNM,Asia,Vietnam,7/2/2020,355,0,0.429,0,0,0,3.647,0,0.004,0,0,0,0.38, , , , , , , , , , , , , , , , , , , , , , , , , , ,55.56,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704, ,1
VNM,Asia,Vietnam,7/3/2020,355,0,0.286,0,0,0,3.647,0,0.003,0,0,0,0.37, , , , , , , , , , , , , , , , , , , , , , , , , , ,55.56,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704, ,1
VNM,Asia,Vietnam,7/4/2020,355,0,0,0,0,0,3.647,0,0,0,0,0,0.38, , , , , , , , , ,379701,3.901, , , , , ,samples tested, , , , , , , , , ,55.56,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704, ,1
VNM,Asia,Vietnam,7/5/2020,355,0,0,0,0,0,3.647,0,0,0,0,0,0.39, , , , , , , , , , , , , , , , ,samples tested, , , , , , , , , ,55.56,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704, ,1
VNM,Asia,Vietnam,7/6/2020,369,14,2,0,0,0,3.791,0.144,0.021,0,0,0,0.41, , , , , , , , , , , , , , , , ,samples tested, , , , , , , , , ,55.56,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704, ,1
VNM,Asia,Vietnam,7/7/2020,369,0,2,0,0,0,3.791,0,0.021,0,0,0,0.43, , , , , , , , , , , , , , , , ,samples tested, , , , , , , , , ,55.56,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704, ,1
VNM,Asia,Vietnam,7/8/2020,369,0,2,0,0,0,3.791,0,0.021,0,0,0,0.45, , , , , , , , , , , , , , , , ,samples tested, , , , , , , , , ,55.56,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704, ,1
VNM,Asia,Vietnam,7/9/2020,369,0,2,0,0,0,3.791,0,0.021,0,0,0,0.48, , , , , , , , , , , , , , , , ,samples tested, , , , , , , , , ,55.56,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704, ,1
VNM,Asia,Vietnam,7/10/2020,370,1,2.143,0,0,0,3.801,0.01,0.022,0,0,0,0.53, , , , , , , , , , , , , , , , ,samples tested, , , , , , , , , ,55.56,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704, ,1
