Date,Brazil,US,India,Japan,Korea,Vietnam
0-07-01,77.31,68.98,87.5,25.93,53.24,55.56
0-07-02,77.31,68.98,87.5,25.93,56.94,55.56
0-07-03,81.02,68.98,87.5,25.93,56.94,55.56
0-07-04,81.02,68.98,87.5,25.93,53.24,55.56
0-07-05,81.02,68.98,87.5,25.93,53.24,55.56
0-07-06,81.02,68.98,87.5,25.93,53.24,55.56
0-07-07,81.02,68.98,87.5,25.93,53.24,55.56
0-07-08,81.02,68.98,87.5,25.93,53.24,55.56
0-07-09,81.02,68.98,87.5,25.93,53.24,55.56
0-07-10,81.02,68.98,87.5,25.93,53.24,55.56
0-07-11,81.02,68.98,87.5,25.93,53.24,55.56
0-07-12,81.02,68.98,87.5,25.93,53.24,55.56
0-07-13,81.02,68.98,87.5,25.93,53.24,55.56
0-07-14,81.02,68.98,87.5,25.93,53.24,55.56
0-07-15,81.02,68.98,87.5,25.93,53.24,55.56
0-07-16,81.02,68.98,87.5,25.93,53.24,55.56
0-07-17,81.02,68.98,87.5,25.93,53.24,55.56
0-07-18,81.02,68.98,87.5,25.93,53.24,55.56
0-07-19,81.02,68.98,87.5,25.93,53.24,55.56
0-07-20,81.02,67.13,87.5,25.93,53.24,55.56
0-07-21,81.02,67.13,87.5,25.93,53.24,55.56
0-07-22,81.02,67.13,87.5,25.93,53.24,55.56
0-07-23,81.02,67.13,87.5,30.56,53.24,55.56
0-07-24,81.02,67.13,87.5,30.56,53.24,55.56
0-07-25,81.02,67.13,87.5,30.56,53.24,55.56
0-07-26,81.02,67.13,87.5,34.26,53.24,55.56
0-07-27,81.02,67.13,87.5,34.26,53.24,69.44
0-07-28,81.02,67.13,87.5,34.26,53.24,75
0-07-29,72.69,67.13,87.5,34.26,53.24,75
0-07-30,72.69,67.13,87.5,34.26,53.24,76.85
0-07-31,72.69,67.13,87.5,34.26,53.24,79.63
0-08-01,72.69,67.13,85.65,34.26,53.24,79.63
0-08-02,72.69,67.13,85.65,34.26,53.24,79.63
0-08-03,72.69,67.13,85.65,34.26,53.24,79.63
0-08-04,72.69,67.13,85.65,34.26,53.24,79.63
0-08-05,72.69,67.13,85.65,34.26,53.24,79.63
0-08-06,72.69,67.13,85.65,32.41,53.24,79.63
0-08-07,72.69,67.13,85.65,32.41,53.24,79.63
0-08-08,72.69,67.13,85.65,32.41,53.24,79.63
0-08-09,72.69,67.13,85.65,32.41,53.24,75.93
0-08-10,72.69,67.13,85.65,32.41,53.24,75.93
0-08-11,72.69,67.13,85.65,32.41,53.24,75.93
0-08-12,72.69,67.13,85.65,32.41,53.24,77.31
0-08-13,72.69,67.13,85.65,32.41,53.24,77.31
0-08-14,72.69,67.13,85.65,32.41,53.24,77.31
0-08-15,69.91,67.13,85.65,32.41,53.24,77.31
0-08-16,69.91,67.13,85.65,32.41,53.24,77.31
0-08-17,69.91,67.13,85.65,32.41,53.24,77.31
0-08-18,69.91,67.13,85.65,32.41,53.24,77.31
0-08-19,69.91,67.13,85.65,32.41,53.24,77.31
0-08-20,69.91,67.13,85.65,32.41,53.24,77.31
0-08-21,69.91,67.13,85.65,32.41,53.24,77.31
0-08-22,69.91,67.13,85.65,32.41,53.24,77.31
0-08-23,69.91,67.13,85.65,32.41,53.24,77.31
0-08-24,73.61,67.13,85.65,32.41,53.24,77.31
0-08-25,73.61,67.13,85.65,32.41,53.24,77.31
0-08-26,73.61,67.13,85.65,32.41,53.24,77.31
0-08-27,73.61,67.13,85.65,32.41,53.24,77.31
0-08-28,73.61,67.13,85.65,32.41,53.24,77.31
0-08-29,73.61,67.13,85.65,32.41,53.24,77.31
0-08-30,73.61,67.13,85.65,32.41,53.24,77.31
0-08-31,69.91,67.13,85.65,32.41,53.24,77.31
0-09-01,69.91,67.13,85.65,32.41,53.24,77.31
0-09-02,69.91,67.13,85.65,32.41,50.46,77.31
0-09-03,69.91,67.13,85.65,32.41,50.46,77.31
0-09-04,69.91,67.13,85.65,32.41,50.46,77.31
0-09-05,69.91,67.13,85.65,32.41,50.46,77.31
0-09-06,69.91,67.13,85.65,32.41,50.46,81.02
0-09-07,69.91,67.13,85.65,32.41,50.46,81.02
0-09-08,69.91,67.13,85.65,32.41,50.46,81.02
0-09-09,69.91,67.13,85.65,32.41,50.46,81.02
0-09-10,69.91,67.13,85.65,35.19,50.46,81.02
0-09-11,69.91,67.13,85.65,35.19,50.46,81.02
0-09-12,69.91,62.5,85.65,35.19,50.46,81.02
0-09-13,69.91,62.5,85.65,35.19,50.46,81.02
0-09-14,69.91,62.5,85.65,35.19,50.46,77.31
0-09-15,69.91,62.5,85.65,35.19,50.46,77.31
0-09-16,69.91,62.5,85.65,35.19,50.46,77.31
0-09-17,69.91,62.5,85.65,35.19,50.46,77.31
0-09-18,69.91,62.5,85.65,35.19,50.46,77.31
0-09-19,69.91,62.5,85.65,35.19,50.46,77.31
0-09-20,69.91,62.5,85.65,35.19,50.46,77.31
0-09-21,69.91,62.5,83.8,35.19,48.61,75.46
0-09-22,69.91,62.5,83.8,35.19,48.61,75.46
0-09-23,67.13,62.5,83.8,35.19,48.61,75.46
0-09-24,67.13,62.5,83.8,29.63,48.61,75.46
0-09-25,67.13,62.5,83.8,29.63,48.61,75.46
0-09-26,67.13,62.5,83.8,29.63,48.61,63.89
0-09-27,67.13,62.5,83.8,29.63,48.61,63.89
0-09-28,67.13,62.5,83.8,29.63,60.19,63.89
0-09-29,67.13,62.5,83.8,29.63,60.19,63.89
0-09-30,67.13,62.5,83.8,29.63,60.19,63.89
0-10-01,67.13,62.5,73.61,29.63,60.19,58.33
0-10-02,67.13,62.5,73.61,29.63,60.19,58.33
0-10-03,67.13,62.5,73.61,29.63,62.96,58.33
0-10-04,67.13,62.5,73.61,29.63,60.19,58.33
0-10-05,67.13,62.5,73.61,29.63,65.74,58.33
0-10-06,67.13,62.5,73.61,29.63,65.74,58.33
0-10-07,67.13,62.5,73.61,29.63,65.74,58.33
0-10-08,63.43,62.5,73.61,29.63,65.74,58.33
0-10-09,63.43,62.5,73.61,29.63,60.19,58.33
0-10-10,63.43,62.5,73.61,29.63,60.19,58.33
0-10-11,63.43,62.5,73.61,29.63,60.19,58.33
0-10-12,63.43,62.5,73.61,29.63,56.94,58.33
0-10-13,63.43,66.2,73.61,35.19,56.94,58.33
0-10-14,63.43,66.2,73.61,35.19,56.94,58.33
0-10-15,63.43,66.2,64.35,35.19,56.94,58.33
0-10-16,63.43,66.2,64.35,35.19,56.94,58.33
0-10-17,63.43,66.2,64.35,35.19,56.94,58.33
0-10-18,63.43,66.2,64.35,35.19,56.94,58.33
0-10-19,63.43,66.2,64.35,35.19,56.94,58.33
0-10-20,63.43,66.2,64.35,35.19,56.94,58.33
0-10-21,63.43,66.2,64.35,35.19,56.94,58.33
0-10-22,63.43,66.2,64.35,35.19,56.94,58.33
0-10-23,57.87,66.2,64.35,35.19,56.94,58.33
0-10-24,57.87,66.2,64.35,35.19,56.94,58.33
0-10-25,57.87,66.2,64.35,35.19,51.39,58.33
0-10-26,57.87,62.5,64.35,35.19,51.39,58.33
0-10-27,57.87,62.5,61.57,35.19,51.39,58.33
0-10-28,57.87,62.5,61.57,35.19,51.39,58.33
0-10-29,57.87,62.5,61.57,35.19,51.39,58.33
0-10-30,57.87,62.5,61.57,35.19,51.39,58.33
0-10-31,57.87,62.5,61.57,35.19,51.39,58.33
0-11-01,57.87,62.5,61.57,35.19,51.39,58.33
0-11-02,57.87,62.5,61.57,35.19,51.39,61.11
0-11-03,57.87,62.5,61.57,35.19,51.39,48.61
0-11-04,57.87,62.5,61.57,35.19,51.39,48.61
0-11-05,57.87,62.5,61.57,35.19,51.39,48.61
0-11-06,57.87,62.5,61.57,35.19,51.39,48.61
0-11-07,57.87,62.5,61.57,37.04,51.39,48.61
0-11-08,57.87,62.5,61.57,37.04,51.39,48.61
0-11-09,57.87,65.28,61.57,37.04,51.39,48.61
0-11-10,54.17,65.28,61.57,37.04,51.39,48.61
0-11-11,54.17,65.28,61.57,37.04,51.39,48.61
0-11-12,54.17,65.28,61.57,37.04,51.39,48.61
0-11-13,54.17,65.28,61.57,37.04,51.39,48.61
0-11-14,54.17,65.28,61.57,37.04,51.39,48.61
0-11-15,54.17,65.28,61.57,37.04,51.39,48.61
0-11-16,54.17,75.46,61.57,37.04,51.39,48.61
0-11-17,54.17,75.46,61.57,37.04,51.39,46.76
0-11-18,54.17,75.46,61.57,37.04,51.39,46.76
0-11-19,54.17,75.46,61.57,37.04,51.39,46.76
0-11-20,54.17,75.46,61.57,37.04,51.39,46.76
0-11-21,54.17,75.46,68.98,37.04,51.39,46.76
0-11-22,54.17,75.46,68.98,37.04,51.39,46.76
0-11-23,54.17,75.46,68.98,37.04,56.94,46.76
0-11-24,54.17,75.46,68.98,37.04,54.17,46.76
0-11-25,57.87,75.46,68.98,37.04,54.17,46.76
0-11-26,57.87,75.46,68.98,37.04,57.87,46.76
0-11-27,57.87,75.46,68.98,37.04,57.87,46.76
