Date,Confirmed,Deaths,Recovered,Infected,CFK,Recover Rate,Mortality Rate
01/07/2020,12904,282,11684,938,"2,185368878","90,54556727","0,0005500380219"
02/07/2020,12967,282,11759,926,"2,174751292","90,68404411","0,0005500380219"
03/07/2020,13030,283,11811,936,"2,171910975","90,64466616","0,0005519885113"
04/07/2020,13091,283,11832,976,"2,161790543","90,38270568","0,0005519885113"
05/07/2020,13137,284,11848,1005,"2,161832991","90,18801857","0,0005539390007"
06/07/2020,13181,285,11914,982,"2,162203171","90,38767924","0,0005558894902"
07/07/2020,13244,285,11970,989,"2,15191785","90,38054968","0,0005558894902"
08/07/2020,13293,287,12019,987,"2,159031069","90,41600843","0,0005597904691"
09/07/2020,13338,288,12065,985,"2,159244265","90,45584046","0,0005617409585"
10/07/2020,13373,288,12144,941,"2,153593061","90,80984072","0,0005617409585"
11/07/2020,13417,289,12178,950,"2,153983752","90,76544682","0,0005636914479"
12/07/2020,13479,289,12204,986,"2,14407597","90,54084131","0,0005636914479"
13/07/2020,13512,289,12282,941,"2,13883955","90,89698046","0,0005636914479"
14/07/2020,13551,289,12348,914,"2,132683935","91,12242639","0,0005636914479"
15/07/2020,13612,291,12396,925,"2,137819571","91,06670585","0,0005675924268"
16/07/2020,13672,293,12460,919,"2,143066121","91,13516676","0,0005714934057"
17/07/2020,13711,294,12519,898,"2,14426373","91,30625046","0,0005734438951"
18/07/2020,13745,295,12556,894,"2,146234995","91,34958167","0,0005753943846"
19/07/2020,13771,296,12572,903,"2,149444485","91,29329751","0,000577344874"
20/07/2020,13816,296,12643,877,"2,142443544","91,50984366","0,000577344874"
21/07/2020,13879,297,12698,884,"2,139923626","91,49074141","0,0005792953635"
22/07/2020,13938,297,12758,883,"2,13086526","91,533936","0,0005792953635"
23/07/2020,13979,298,12817,864,"2,131769082","91,6875313","0,0005812458529"
24/07/2020,14092,298,12866,928,"2,114674993","91,30002838","0,0005812458529"
25/07/2020,14150,298,12890,962,"2,106007067","91,09540636","0,0005812458529"
26/07/2020,14175,299,12905,971,"2,109347443","91,04056437","0,0005831963423"
27/07/2020,14203,300,13007,896,"2,112229811","91,57924382","0,0005851468318"
28/07/2020,14251,300,13069,882,"2,10511543","91,7058452","0,0005851468318"
29/07/2020,14269,300,13132,837,"2,102459878","92,03167706","0,0005851468318"
30/07/2020,14305,301,13183,821,"2,104159385","92,15658861","0,0005870973212"
31/07/2020,14336,301,13233,802,"2,099609375","92,30608259","0,0005870973212"
01/08/2020,14366,301,13259,806,"2,095224836","92,294306","0,0005870973212"
02/08/2020,14389,301,13280,808,"2,091875738","92,29272361","0,0005870973212"
03/08/2020,14423,301,13352,770,"2,086944464","92,5743604","0,0005870973212"
04/08/2020,14456,302,13406,748,"2,089097952","92,73657997","0,0005890478107"
05/08/2020,14499,302,13501,696,"2,082902269","93,11676667","0,0005890478107"
06/08/2020,14519,303,13543,673,"2,086920587","93,27777395","0,0005909983001"
07/08/2020,14562,304,13629,629,"2,087625326","93,59291306","0,0005929487895"
08/08/2020,14598,305,13642,651,"2,089327305","93,45115769","0,000594899279"
09/08/2020,14626,305,13658,663,"2,085327499","93,38164912","0,000594899279"
10/08/2020,14660,305,13729,626,"2,080491132","93,64938608","0,000594899279"
11/08/2020,14714,305,13786,623,"2,072855784","93,69308142","0,000594899279"
12/08/2020,14770,305,13817,648,"2,064996615","93,54773189","0,000594899279"
13/08/2020,14873,305,13863,705,"2,050695892","93,20917098","0,000594899279"
14/08/2020,15039,305,13901,833,"2,028060376","92,43300751","0,000594899279"
15/08/2020,15318,305,13910,1103,"1,991121556","90,8081995","0,000594899279"
16/08/2020,15515,305,13917,1293,"1,96583951","89,70029004","0,000594899279"
17/08/2020,15761,306,13934,1521,"1,941501174","88,40809593","0,0005968497684"
18/08/2020,16058,306,14006,1746,"1,905592228","87,22132271","0,0005968497684"
19/08/2020,16346,307,14063,1976,"1,878135324","86,03328031","0,0005988002578"
20/08/2020,16670,309,14120,2241,"1,853629274","84,70305939","0,0006027012367"
21/08/2020,17002,309,14169,2524,"1,817433243","83,33725444","0,0006027012367"
22/08/2020,17399,309,14200,2890,"1,775964136","81,61388586","0,0006027012367"
23/08/2020,17665,309,14219,3137,"1,749221625","80,49249929","0,0006027012367"
24/08/2020,17945,310,14286,3349,"1,727500697","79,6099192","0,0006046517262"
25/08/2020,18265,312,14368,3585,"1,708185053","78,66411169","0,000608552705"
26/08/2020,18706,313,14461,3932,"1,673259917","77,3067465","0,0006105031945"
27/08/2020,19077,316,14551,4210,"1,656444934","76,27509566","0,0006163546628"
28/08/2020,19400,321,14765,4314,"1,654639175","76,10824742","0,00062610711"
29/08/2020,19699,323,14903,4473,"1,639677141","75,65358648","0,0006300080889"
30/08/2020,19947,324,14973,4650,"1,624304407","75,06391939","0,0006319585783"
31/08/2020,20182,324,15198,4660,"1,605390942","75,30472698","0,0006319585783"
01/09/2020,20449,326,15356,4767,"1,594209986","75,09413663","0,0006358595572"
02/09/2020,20644,329,15529,4786,"1,593683395","75,22282503","0,0006417110255"
03/09/2020,20842,331,15783,4728,"1,588139334","75,72689761","0,0006456120044"
04/09/2020,21010,333,16009,4668,"1,584959543","76,19704902","0,0006495129833"
05/09/2020,21177,334,16146,4697,"1,577182793","76,24309392","0,0006514634727"
06/09/2020,21296,336,16297,4663,"1,577761082","76,52610819","0,0006553644516"
07/09/2020,21432,341,16636,4455,"1,591078761","77,62224711","0,0006651168988"
08/09/2020,21588,344,17023,4221,"1,593477858","78,85399296","0,0006709683671"
09/09/2020,21743,346,17360,4037,"1,591316746","79,84178816","0,000674869346"
10/09/2020,21919,350,17616,3953,"1,596788175","80,36862996","0,0006826713037"
11/09/2020,22055,355,18029,3671,"1,609612333","81,74563591","0,0006924237509"
12/09/2020,22176,358,18226,3592,"1,614357864","82,18795094","0,0006982752192"
13/09/2020,22285,363,18489,3433,"1,628898362","82,96612071","0,0007080276664"
14/09/2020,22391,367,18878,3146,"1,639051405","84,31066053","0,0007158296242"
15/09/2020,22504,367,19310,2827,"1,630821187","85,80696765","0,0007158296242"
16/09/2020,22657,372,19543,2742,"1,641876683","86,25590325","0,0007255820714"
17/09/2020,22783,377,19771,2635,"1,654742571","86,77961638","0,0007353345186"
18/09/2020,22893,378,19970,2545,"1,651159743","87,23190495","0,000737285008"
19/09/2020,22975,383,20158,2434,"1,66702938","87,73884657","0,0007470374552"
20/09/2020,23045,385,20248,2412,"1,670644391","87,86287698","0,0007509384341"
21/09/2020,23106,388,20441,2277,"1,679217519","88,46619926","0,0007567899024"
22/09/2020,23216,388,20650,2178,"1,671261199","88,94727774","0,0007567899024"
23/09/2020,23341,393,20832,2116,"1,683732488","89,25067478","0,0007665423496"
24/09/2020,23455,395,20978,2082,"1,68407589","89,43935195","0,0007704433285"
25/09/2020,23516,399,21166,1951,"1,696717129","90,00680388","0,0007782452863"
26/09/2020,23611,401,21248,1962,"1,698360933","89,9919529","0,0007821462651"
27/09/2020,23661,406,21292,1963,"1,715903808","89,98774354","0,0007918987123"
28/09/2020,23699,407,21470,1822,"1,717372041","90,59453985","0,0007938492018"
29/09/2020,23812,413,21590,1809,"1,73441962","90,66857047","0,0008055521384"
30/09/2020,23889,415,21666,1808,"1,737201222","90,69446189","0,0008094531173"
01/10/2020,23952,416,21733,1803,"1,736806947","90,73563794","0,0008114036067"
02/10/2020,24027,420,21787,1820,"1,748033462","90,67715487","0,0008192055645"
03/10/2020,24091,421,21845,1825,"1,747540575","90,67701631","0,0008211560539"
04/10/2020,24164,422,21886,1856,"1,746399603","90,57275286","0,0008231065434"
05/10/2020,24239,422,22083,1734,"1,740995916","91,10524362","0,0008231065434"
06/10/2020,24353,425,22334,1594,"1,745164867","91,70944032","0,0008289580117"
07/10/2020,24422,427,22463,1532,"1,748423553","91,97854394","0,0008328589906"
08/10/2020,24476,428,22569,1479,"1,74865174","92,20869423","0,00083480948"
09/10/2020,24548,430,22624,1494,"1,751670197","92,16229428","0,0008387104589"
10/10/2020,24606,432,22693,1481,"1,755669349","92,22547346","0,0008426114378"
11/10/2020,24703,433,22729,1541,"1,752823544","92,00906772","0,0008445619272"
12/10/2020,24805,434,22863,1508,"1,749647249","92,17093328","0,0008465124166"
13/10/2020,24889,438,23030,1421,"1,759813572","92,53083692","0,0008543143744"
14/10/2020,24988,439,23082,1467,"1,756843285","92,37233872","0,0008562648638"
15/10/2020,25035,441,23180,1414,"1,761533853","92,59037348","0,0008601658427"
16/10/2020,25108,443,23258,1407,"1,764377888","92,63183049","0,0008640668216"
17/10/2020,25199,444,23312,1443,"1,761974682","92,5116076","0,000866017311"
18/10/2020,25275,444,23368,1463,"1,756676558","92,45499505","0,000866017311"
19/10/2020,25333,447,23466,1420,"1,764496901","92,63016619","0,0008718687793"
20/10/2020,25424,450,23584,1390,"1,76998112","92,76274386","0,0008777202477"
21/10/2020,25543,453,23647,1443,"1,773480014","92,57722272","0,000883571716"
22/10/2020,25698,455,23717,1526,"1,770565803","92,29122889","0,0008874726949"
23/10/2020,25775,457,23834,1484,"1,773035887","92,46944714","0,0008913736737"
24/10/2020,25836,457,23869,1510,"1,768849667","92,38659235","0,0008913736737"
25/10/2020,25955,457,23905,1593,"1,760739742","92,10171451","0,0008913736737"
26/10/2020,26043,460,23981,1602,"1,766309565","92,08232538","0,0008972251421"
27/10/2020,26146,461,24073,1612,"1,763176012","92,07144496","0,0008991756315"
28/10/2020,26271,462,24168,1641,"1,758593125","91,99497545","0,0009011261209"
29/10/2020,26385,463,24227,1695,"1,754784916","91,82111048","0,0009030766104"
