Date,Confirmed,Deaths,Recovered,Infected,CFK,Recover Rate,Mortality Rate
01/07/2020,355,0,336,19,0,"94,64788732",0
02/07/2020,355,0,340,15,0,"95,77464789",0
03/07/2020,355,0,340,15,0,"95,77464789",0
04/07/2020,355,0,340,15,0,"95,77464789",0
05/07/2020,355,0,340,15,0,"95,77464789",0
06/07/2020,369,0,341,28,0,"92,41192412",0
07/07/2020,369,0,342,27,0,"92,68292683",0
08/07/2020,369,0,347,22,0,"94,03794038",0
09/07/2020,369,0,347,22,0,"94,03794038",0
10/07/2020,370,0,350,20,0,"94,59459459",0
11/07/2020,370,0,350,20,0,"94,59459459",0
12/07/2020,372,0,350,22,0,"94,08602151",0
13/07/2020,373,0,352,21,0,"94,36997319",0
14/07/2020,373,0,352,21,0,"94,36997319",0
15/07/2020,381,0,353,28,0,"92,65091864",0
16/07/2020,381,0,356,25,0,"93,43832021",0
17/07/2020,382,0,356,26,0,"93,19371728",0
18/07/2020,382,0,357,25,0,"93,45549738",0
19/07/2020,383,0,357,26,0,"93,21148825",0
20/07/2020,384,0,360,24,0,"93,75",0
21/07/2020,401,0,365,36,0,"91,02244389",0
22/07/2020,408,0,365,43,0,"89,46078431",0
23/07/2020,412,0,365,47,0,"88,59223301",0
24/07/2020,415,0,365,50,0,"87,95180723",0
25/07/2020,417,0,365,52,0,"87,52997602",0
26/07/2020,420,0,365,55,0,"86,9047619",0
27/07/2020,431,0,365,66,0,"84,68677494",0
28/07/2020,446,0,369,77,0,"82,73542601",0
29/07/2020,459,0,369,90,0,"80,39215686",0
30/07/2020,509,0,373,136,0,"73,28094303",0
31/07/2020,558,3,373,182,"0,5376344086","66,84587814","0,000003082025552"
01/08/2020,590,3,373,214,"0,5084745763","63,22033898","0,000003082025552"
02/08/2020,621,6,373,242,"0,9661835749","60,06441224","0,000006164051104"
03/08/2020,652,7,374,271,"1,073619632","57,36196319","0,000007191392955"
04/08/2020,672,8,378,286,"1,19047619","56,25","0,000008218734805"
05/08/2020,717,9,381,327,"1,255230126","53,13807531","0,000009246076656"
06/08/2020,750,10,392,348,"1,333333333","52,26666667","0,00001027341851"
07/08/2020,789,10,395,384,"1,267427123","50,06337136","0,00001027341851"
08/08/2020,812,10,395,407,"1,231527094","48,6453202","0,00001027341851"
09/08/2020,841,13,395,433,"1,545778835","46,96789536","0,00001335544406"
10/08/2020,847,15,399,433,"1,770956316","47,10743802","0,00001541012776"
11/08/2020,866,16,451,399,"1,847575058","52,07852194","0,00001643746961"
12/08/2020,883,18,409,456,"2,038505096","46,3193658","0,00001849215331"
13/08/2020,911,21,425,465,"2,305159166","46,65203074","0,00002157417886"
14/08/2020,930,22,437,471,"2,365591398","46,98924731","0,00002260152071"
15/08/2020,951,24,447,480,"2,523659306","47,00315457","0,00002465620442"
16/08/2020,964,24,456,484,"2,489626556","47,30290456","0,00002465620442"
17/08/2020,983,25,467,491,"2,543234995","47,5076297","0,00002568354627"
18/08/2020,989,26,526,437,"2,628918099","53,18503539","0,00002671088812"
19/08/2020,994,25,533,436,"2,515090543","53,62173038","0,00002568354627"
20/08/2020,1007,25,542,440,"2,482621648","53,82323734","0,00002568354627"
21/08/2020,1009,25,545,439,"2,477700694","54,01387512","0,00002568354627"
22/08/2020,1014,26,563,425,"2,564102564","55,52268245","0,00002671088812"
23/08/2020,1016,27,568,421,"2,657480315","55,90551181","0,00002773822997"
24/08/2020,1022,27,587,408,"2,641878669","57,43639922","0,00002773822997"
25/08/2020,1029,27,592,410,"2,623906706","57,53158406","0,00002773822997"
26/08/2020,1034,30,632,372,"2,901353965","61,12185687","0,00003082025552"
27/08/2020,1036,30,637,369,"2,895752896","61,48648649","0,00003082025552"
28/08/2020,1038,30,663,345,"2,89017341","63,87283237","0,00003082025552"
29/08/2020,1040,32,677,331,"3,076923077","65,09615385","0,00003287493922"
30/08/2020,1040,32,695,313,"3,076923077","66,82692308","0,00003287493922"
31/08/2020,1044,34,707,303,"3,256704981","67,72030651","0,00003492962292"
01/09/2020,1044,34,735,275,"3,256704981","70,40229885","0,00003492962292"
02/09/2020,1046,34,746,266,"3,250478011","71,31931166","0,00003492962292"
03/09/2020,1046,35,755,256,"3,346080306","72,17973231","0,00003595696477"
04/09/2020,1049,35,772,242,"3,336510963","73,59389895","0,00003595696477"
05/09/2020,1049,35,805,209,"3,336510963","76,73975214","0,00003595696477"
06/09/2020,1049,35,815,199,"3,336510963","77,69304099","0,00003595696477"
07/09/2020,1049,35,853,161,"3,336510963","81,31553861","0,00003595696477"
08/09/2020,1054,35,868,151,"3,320683112","82,35294118","0,00003595696477"
09/09/2020,1059,35,890,134,"3,305004721","84,04154863","0,00003595696477"
10/09/2020,1059,35,893,131,"3,305004721","84,32483475","0,00003595696477"
11/09/2020,1060,35,902,123,"3,301886792","85,09433962","0,00003595696477"
12/09/2020,1060,35,910,115,"3,301886792","85,8490566","0,00003595696477"
13/09/2020,1063,35,918,110,"3,292568203","86,3593603","0,00003595696477"
14/09/2020,1063,35,926,102,"3,292568203","87,11194732","0,00003595696477"
15/09/2020,1063,35,931,97,"3,292568203","87,58231421","0,00003595696477"
16/09/2020,1063,35,936,92,"3,292568203","88,05268109","0,00003595696477"
17/09/2020,1066,35,940,91,"3,283302064","88,18011257","0,00003595696477"
18/09/2020,1068,35,941,92,"3,277153558","88,10861423","0,00003595696477"
19/09/2020,1068,35,942,91,"3,277153558","88,20224719","0,00003595696477"
20/09/2020,1068,35,942,91,"3,277153558","88,20224719","0,00003595696477"
21/09/2020,1068,35,947,86,"3,277153558","88,67041199","0,00003595696477"
22/09/2020,1068,35,957,76,"3,277153558","89,60674157","0,00003595696477"
23/09/2020,1069,35,991,43,"3,274087933","92,70346118","0,00003595696477"
