Date,Confirmed,Deaths,Recovered,Infected
1-Jul-20,10675596,541738,5468425,4665433
2-Jul-20,10885548,547161,5753359,4585028
3-Jul-20,11086923,552455,5863247,4671221
4-Jul-20,11280744,557248,6059007,4664489
5-Jul-20,11464726,561077,6178370,4725279
6-Jul-20,11628722,565315,6302069,4761338
7-Jul-20,11840091,571657,6447102,4821332
8-Jul-20,12054250,577286,6605158,4871806
9-Jul-20,12281090,583076,6739776,4958238
10-Jul-20,12513766,588707,6879222,5045837
11-Jul-20,12730232,593919,7004914,5131399
12-Jul-20,12922492,598294,7116750,5207448
13-Jul-20,13113970,602610,7257073,5254287
14-Jul-20,13336173,608627,7399325,5328221
15-Jul-20,13567611,614475,7559131,5394005
16-Jul-20,13818969,620661,7711616,5486692
17-Jul-20,14061686,627705,7895037,5538944
18-Jul-20,14297865,634278,8045824,5617763
19-Jul-20,14511279,638959,8133882,5738438
20-Jul-20,14718412,642988,8293010,5782414
21-Jul-20,14952034,649387,8467706,5834941
22-Jul-20,15231917,656742,8647438,5927737
23-Jul-20,15514776,663367,8823668,6027741
24-Jul-20,15795846,669826,9051968,6074052
25-Jul-20,16049938,675976,9271780,6102182
26-Jul-20,16263015,680303,9415081,6167631
27-Jul-20,16489477,685535,9586464,6217478
28-Jul-20,16742217,692258,9756922,6293037
29-Jul-20,17033965,699270,9959508,6375187
30-Jul-20,17314074,705912,10173027,6435135
31-Jul-20,17604811,712493,10372633,6519685
1-Aug-20,17853166,718574,10553544,6581048
2-Aug-20,18084181,722978,10692268,6668935
3-Aug-20,18290628,728044,10914713,6647871
4-Aug-20,18548543,735036,11138370,6675137
5-Aug-20,18825127,742524,11360065,6722538
6-Aug-20,19110321,749415,11548872,6812034
7-Aug-20,19392566,756110,11740918,6895538
8-Aug-20,19651099,762184,11941162,6947753
9-Aug-20,19875797,766985,12119940,6988872
10-Aug-20,20101808,772713,12284151,7044944
11-Aug-20,20359380,779327,12589219,6990834
12-Aug-20,20636018,786274,12829864,7019880
13-Aug-20,20925236,793105,12993780,7138351
14-Aug-20,21228980,799769,13277022,7152189
15-Aug-20,21476718,805774,13445626,7225318
16-Aug-20,21691208,810402,13678580,7202226
17-Aug-20,21898916,814926,13889592,7194398
18-Aug-20,22157171,822142,14117187,7217842
19-Aug-20,22436722,829263,14335184,7272275
20-Aug-20,22709277,835675,14542974,7330628
21-Aug-20,22970496,841415,14711468,7417613
22-Aug-20,23234766,847225,14921385,7466156
23-Aug-20,23440930,851485,15137916,7451529
24-Aug-20,23666158,856307,15337337,7472514
25-Aug-20,23910153,862948,15568886,7478319
26-Aug-20,24193952,869507,15794620,7529825
27-Aug-20,24477860,875724,16001857,7600279
28-Aug-20,24761471,881589,16200975,7678907
29-Aug-20,25025287,887212,16412388,7725687
30-Aug-20,25246275,891534,16622628,7732113
31-Aug-20,25509140,895914,16823418,7789808
1-Sep-20,25774047,902585,17081380,7790082
2-Sep-20,26057555,908941,17300617,7847997
3-Sep-20,26339015,915019,17521986,7902010
4-Sep-20,26653020,920908,17735487,7996625
5-Sep-20,26923081,926065,17936475,8060541
6-Sep-20,27153595,930141,18148266,8075188
7-Sep-20,27371523,939717,18345814,8085992
8-Sep-20,27613555,944826,18547611,8121118
9-Sep-20,27898369,951105,18787878,8159386
10-Sep-20,28198228,957122,19004539,8236567
11-Sep-20,28519589,963157,19228209,8328223
12-Sep-20,28806206,968215,19451143,8386848
13-Sep-20,29048946,972152,19638991,8437803
14-Sep-20,29312693,976688,19867490,8468515
15-Sep-20,29598140,983296,20093777,8521067
16-Sep-20,29902687,989250,20323254,8590183
17-Sep-20,30217566,994849,20543465,8679252
18-Sep-20,30543485,1000670,20794614,8748201
19-Sep-20,30835647,1006060,21031599,8797988
20-Sep-20,31087793,1009996,21268676,8809121
21-Sep-20,31363785,1014337,21514154,8835294
22-Sep-20,31648303,1020539,21733547,8894217
23-Sep-20,31924402,1026183,21996960,8901259
24-Sep-20,32277431,1032760,22252630,8992041
25-Sep-20,32608314,1038705,22491838,9077771
26-Sep-20,32896777,1044270,22753981,9098526
27-Sep-20,33148188,1048082,22967860,9132246
28-Sep-20,33403027,1052103,23190402,9160522
29-Sep-20,33685585,1058145,23431686,9195754
30-Sep-20,34011804,1064712,23679904,9267188
1-Oct-20,34330104,1073515,23901446,9355143
2-Oct-20,34627958,1078562,24073731,9475665
3-Oct-20,34960044,1084011,24329332,9546701
4-Oct-20,35221464,1088017,24551491,9581956
5-Oct-20,35522414,1095014,24788959,9638441
6-Oct-20,35848966,1100866,25021585,9726515
7-Oct-20,36199957,1106793,25276776,9816388
8-Oct-20,36561290,1113157,25496282,9951851
9-Oct-20,36922190,1119370,25703072,10099748
10-Oct-20,37279326,1124285,25898477,10256564
11-Oct-20,37566278,1128383,26121117,10316778
12-Oct-20,37857976,1132453,26321236,10404287
13-Oct-20,38177218,1137831,26513681,10525706
14-Oct-20,38559565,1144049,26725966,10689550
15-Oct-20,38966541,1150137,26933293,10883111
16-Oct-20,39378313,1156465,27136307,11085541
17-Oct-20,39750993,1162138,27334590,11254265
18-Oct-20,40067583,1165747,27536101,11365735
19-Oct-20,40454758,1170656,27738632,11545470
20-Oct-20,40843745,1177289,27950079,11716377
21-Oct-20,41288653,1183999,28161301,11943353
22-Oct-20,41761382,1189933,28388094,12183355
23-Oct-20,42258164,1197015,28594828,12466321
24-Oct-20,42714986,1202899,28806409,12705678
25-Oct-20,43075703,1207098,29003667,12864938
26-Oct-20,43562021,1212708,29242802,13106511
27-Oct-20,44032249,1220156,29832507,12979586
28-Oct-20,44544143,1227367,30098469,13218307
29-Oct-20,45094525,1234514,30345220,13514791
30-Oct-20,45665604,1242170,30600994,13822440
31-Oct-20,46142428,1248838,30845323,14048267
