Date,Confirmed,Deaths,Recovered,Infected,CFK,Recover Rate,Mortality Rate
01/07/2020,604641,17834,359860,226947,"2,949518805","59,51630802","0,005387872321"
02/07/2020,625544,18213,379892,227439,"2,911545791","60,72986073","0,005502372916"
03/07/2020,648315,18655,394227,235433,"2,87745926","60,80794058","0,005635906591"
04/07/2020,673165,19268,409083,244814,"2,862299733","60,77009351","0,005821101485"
05/07/2020,697413,19693,424433,253287,"2,823721382","60,85820023","0,00594949925"
06/07/2020,719664,20159,439934,259571,"2,801168323","61,130472","0,006090283622"
07/07/2020,742417,20642,456831,264944,"2,780378143","61,53293904","0,006236203906"
08/07/2020,767296,21129,476378,269789,"2,753696096","62,08529694","0,006383332638"
09/07/2020,793802,21604,495513,276685,"2,721585484","62,42274522","0,006526836023"
10/07/2020,820916,22123,515386,283407,"2,69491641","62,78181933","0,006683632352"
11/07/2020,849522,22673,534618,292231,"2,668912636","62,93162508","0,006849794165"
12/07/2020,878254,23174,553471,301609,"2,638644401","63,01946817","0,007001152471"
13/07/2020,906752,23727,571460,311565,"2,616702252","63,02274492","0,007168220622"
14/07/2020,936181,24309,592032,319840,"2,596613262","63,23905313","0,007344050031"
15/07/2020,968857,24914,612768,331175,"2,571483717","63,24648529","0,007526828026"
16/07/2020,1003832,25602,635757,342473,"2,550426765","63,33300791","0,007734681348"
17/07/2020,1039084,26273,653751,359060,"2,528477005","62,91608763","0,00793739876"
18/07/2020,1077781,26816,677423,373542,"2,488075036","62,8534925","0,008101445787"
19/07/2020,1118206,27497,700087,390622,"2,459028122","62,60805254","0,008307184323"
20/07/2020,1155338,28082,724578,402678,"2,43063069","62,71567282","0,00848392007"
21/07/2020,1193078,28732,753050,411296,"2,408224777","63,11825379","0,008680293122"
22/07/2020,1238798,29861,782607,426330,"2,410481773","63,17470645","0,009021378007"
23/07/2020,1288108,30601,817209,440298,"2,375654836","63,44258401","0,009244941174"
24/07/2020,1337024,31358,849432,456234,"2,345358049","63,53154468","0,009473640252"
25/07/2020,1385635,32060,885573,468002,"2,313740632","63,91098666","0,009685723148"
26/07/2020,1435616,32771,917568,485277,"2,282713483","63,9145844","0,009900525055"
27/07/2020,1480073,33408,951166,495499,"2,257185963","64,26480315","0,01009297065"
28/07/2020,1531669,34193,988029,509447,"2,232401387","64,50669172","0,01033012887"
29/07/2020,1581963,34955,1019735,527273,"2,209596558","64,46010431","0,01056033851"
30/07/2020,1634746,35718,1055348,543680,"2,184926588","64,55730737","0,01079085026"
31/07/2020,1695988,36511,1094374,565103,"2,152786458","64,52722543","0,01103042539"
01/08/2020,1750723,37364,1145629,567730,"2,134203983","65,43747926","0,01128812725"
02/08/2020,1803695,38135,1186203,579357,"2,114270983","65,7651654","0,0115210559"
03/08/2020,1855745,38938,1230509,586298,"2,098240868","66,30808651","0,01176365215"
04/08/2020,1908254,39795,1282215,586244,"2,085414206","67,19309903","0,01202256247"
05/08/2020,1964536,40699,1328336,595501,"2,071685121","67,6157627","0,01229567206"
06/08/2020,2027074,41585,1378105,607384,"2,051479127","67,9849379","0,01256334364"
07/08/2020,2088611,42518,1427005,619088,"2,035706984","68,32315831","0,0128452145"
08/08/2020,2153010,43379,1480884,628747,"2,014807177","68,78203074","0,01310533326"
09/08/2020,2215074,44386,1535743,634945,"2,003815674","69,33145349","0,01340956044"
10/08/2020,2268675,45257,1583489,639929,"1,994864844","69,79796577","0,01367270033"
11/08/2020,2329638,46091,1639599,643948,"1,97846189","70,37999037","0,01392466206"
12/08/2020,2396637,47033,1695982,653622,"1,962458228","70,76507623","0,01420925193"
13/08/2020,2461190,48040,1751555,661595,"1,951901316","71,16699645","0,0145134791"
14/08/2020,2525922,49036,1808936,667950,"1,941310935","71,61487964","0,01481438304"
15/08/2020,2589952,49980,1862258,677714,"1,929765494","71,90318585","0,01509957713"
16/08/2020,2647663,50921,1919842,676900,"1,923243253","72,51081425","0,01538386489"
17/08/2020,2702681,51797,1977671,673213,"1,91650439","73,17441459","0,01564851534"
18/08/2020,2767253,52888,2037816,676549,"1,91120942","73,64039356","0,01597811996"
19/08/2020,2836925,53866,2096664,686395,"1,898746001","73,90621888","0,01627358587"
20/08/2020,2905825,54849,2158946,692030,"1,887553449","74,29717894","0,01657056235"
21/08/2020,2975701,55794,2222577,697330,"1,874986768","74,69087116","0,01685605856"
22/08/2020,3044940,56706,2280566,707668,"1,862302705","74,89691094","0,01713158505"
