Date,Infected
1-Jul-20,4665433
2-Jul-20,4585028
3-Jul-20,4671221
4-Jul-20,4664489
5-Jul-20,4725279
6-Jul-20,4761338
7-Jul-20,4821332
8-Jul-20,4871806
9-Jul-20,4958238
10-Jul-20,5045837
11-Jul-20,5131399
12-Jul-20,5207448
13-Jul-20,5254287
14-Jul-20,5328221
15-Jul-20,5394005
16-Jul-20,5486692
17-Jul-20,5538944
18-Jul-20,5617763
19-Jul-20,5738438
20-Jul-20,5782414
21-Jul-20,5834941
22-Jul-20,5927737
23-Jul-20,6027741
24-Jul-20,6074052
25-Jul-20,6102182
26-Jul-20,6167631
27-Jul-20,6217478
28-Jul-20,6293037
29-Jul-20,6375187
30-Jul-20,6435135
31-Jul-20,6519685
1-Aug-20,6581048
2-Aug-20,6668935
3-Aug-20,6647871
4-Aug-20,6675137
5-Aug-20,6722538
6-Aug-20,6812034
7-Aug-20,6895538
8-Aug-20,6947753
9-Aug-20,6988872
10-Aug-20,7044944
11-Aug-20,6990834
12-Aug-20,7019880
13-Aug-20,7138351
14-Aug-20,7152189
15-Aug-20,7225318
16-Aug-20,7202226
17-Aug-20,7194398
18-Aug-20,7217842
19-Aug-20,7272275
20-Aug-20,7330628
21-Aug-20,7417613
22-Aug-20,7466156
23-Aug-20,7451529
24-Aug-20,7472514
25-Aug-20,7478319
26-Aug-20,7529825
27-Aug-20,7600279
28-Aug-20,7678907
29-Aug-20,7725687
30-Aug-20,7732113
31-Aug-20,7789808
1-Sep-20,7790082
2-Sep-20,7847997
3-Sep-20,7902010
4-Sep-20,7996625
5-Sep-20,8060541
6-Sep-20,8075188
7-Sep-20,8085992
8-Sep-20,8121118
9-Sep-20,8159386
10-Sep-20,8236567
11-Sep-20,8328223
12-Sep-20,8386848
13-Sep-20,8437803
14-Sep-20,8468515
15-Sep-20,8521067
16-Sep-20,8590183
17-Sep-20,8679252
18-Sep-20,8748201
19-Sep-20,8797988
20-Sep-20,8809121
21-Sep-20,8835294
22-Sep-20,8894217
23-Sep-20,8901259
24-Sep-20,8992041
25-Sep-20,9077771
26-Sep-20,9098526
27-Sep-20,9132246
28-Sep-20,9160522
29-Sep-20,9195754
30-Sep-20,9267188
1-Oct-20,9355143
2-Oct-20,9475665
3-Oct-20,9546701
4-Oct-20,9581956
5-Oct-20,9638441
6-Oct-20,9726515
7-Oct-20,9816388
8-Oct-20,9951851
9-Oct-20,10099748
10-Oct-20,10256564
11-Oct-20,10316778
12-Oct-20,10404287
13-Oct-20,10525706
14-Oct-20,10689550
15-Oct-20,10883111
16-Oct-20,11085541
17-Oct-20,11254265
18-Oct-20,11365735
19-Oct-20,11545470
20-Oct-20,11716377
21-Oct-20,11943353
22-Oct-20,12183355
23-Oct-20,12466321
24-Oct-20,12705678
25-Oct-20,12864938
26-Oct-20,13106511
27-Oct-20,12979586
28-Oct-20,13218307
29-Oct-20,13514791
30-Oct-20,13822440
31-Oct-20,14048267
1-Nov-20,14247714
2-Nov-20,14524388
3-Nov-20,14817194
4-Nov-20,15039205
5-Nov-20,15324036
6-Nov-20,15670809
7-Nov-20,15961090
8-Nov-20,16185993
9-Nov-20,16423063
10-Nov-20,16715048
11-Nov-20,16973050
12-Nov-20,17386442
13-Nov-20,17726744
14-Nov-20,18034896
15-Nov-20,18271751
16-Nov-20,18407184
17-Nov-20,18573727
18-Nov-20,18826323
19-Nov-20,19094442
20-Nov-20,19395960
21-Nov-20,19635441
22-Nov-20,19842558
23-Nov-20,19947739
24-Nov-20,20153133
25-Nov-20,20339877
26-Nov-20,20544698
27-Nov-20,20838575
28-Nov-20,21055749
29-Nov-20,21218932
30-Nov-20,21316101
1-Dec-20,21439354
2-Dec-20,21615472
3-Dec-20,21870061
4-Dec-20,22049976
5-Dec-20,22246183
6-Dec-20,22461643
7-Dec-20,22559295
8-Dec-20,22749620
9-Dec-20,22980484
10-Dec-20,23974685
11-Dec-20,24188032
12-Dec-20,23307522
13-Dec-20,23435923
14-Dec-20,29941655
15-Dec-20,30205691
16-Dec-20,30563375
17-Dec-20,30914268
18-Dec-20,31303939
19-Dec-20,31552916
20-Dec-20,31801877
21-Dec-20,31997903
22-Dec-20,32270705
23-Dec-20,32627798
24-Dec-20,32967968
25-Dec-20,33133519
26-Dec-20,33230607
27-Dec-20,33369333
28-Dec-20,33556958
29-Dec-20,33853188
30-Dec-20,34210833
31-Dec-20,34647406
1-Jan-21,34890505
2-Jan-21,35207138
3-Jan-21,35464107
4-Jan-21,35717276
5-Jan-21,36126428
6-Jan-21,36581751
7-Jan-21,37123582
8-Jan-21,37614329
9-Jan-21,38032333
10-Jan-21,38342513
11-Jan-21,38661473
12-Jan-21,39006172
13-Jan-21,39371569
14-Jan-21,39738325
15-Jan-21,40169813
16-Jan-21,40478481
17-Jan-21,40683244
18-Jan-21,40869973
19-Jan-21,41058000
20-Jan-21,41405141
21-Jan-21,41678199
22-Jan-21,41939279
23-Jan-21,42177316
24-Jan-21,42303023
25-Jan-21,42474396
26-Jan-21,42683563
27-Jan-21,42923979
28-Jan-21,43205610
29-Jan-21,43416506
30-Jan-21,43567282
31-Jan-21,43651623
1-Feb-21,43814845
2-Feb-21,43907286
3-Feb-21,44083354
4-Feb-21,44243389
5-Feb-21,44480381
6-Feb-21,44547721
7-Feb-21,44660268
8-Feb-21,44734461
9-Feb-21,44774478
10-Feb-21,44927071
11-Feb-21,45078719
12-Feb-21,45206704
13-Feb-21,45323539
14-Feb-21,45415477
15-Feb-21,45402719
16-Feb-21,45506513
17-Feb-21,45596252
18-Feb-21,45751295
19-Feb-21,45917451
20-Feb-21,46009923
21-Feb-21,46100825
22-Feb-21,46199190
23-Feb-21,46297709
24-Feb-21,46520771
25-Feb-21,46729920
26-Feb-21,46901972
27-Feb-21,47031917
28-Feb-21,47154192
1-Mar-21,47237124
2-Mar-21,47266962
3-Mar-21,47466970
4-Mar-21,47659453
5-Mar-21,47869447
6-Mar-21,48035425
7-Mar-21,48159580
8-Mar-21,48176541
9-Mar-21,48318337
10-Mar-21,48539986
11-Mar-21,48734040
12-Mar-21,48944676
13-Mar-21,49137923
14-Mar-21,49246718
15-Mar-21,49298163
16-Mar-21,49494157
17-Mar-21,49758754
18-Mar-21,50032199
19-Mar-21,50303761
20-Mar-21,50535792
21-Mar-21,50673211
22-Mar-21,50747203
23-Mar-21,50936865
24-Mar-21,51224371
25-Mar-21,51552308
26-Mar-21,51816229
27-Mar-21,52085584
28-Mar-21,52219637
29-Mar-21,52364998
30-Mar-21,52586110
31-Mar-21,52873692
1-Apr-21,53228352
2-Apr-21,53531259
3-Apr-21,53685760
4-Apr-21,53883147
5-Apr-21,54016912
6-Apr-21,54238529
7-Apr-21,54424199
8-Apr-21,54853961
9-Apr-21,55134410
10-Apr-21,55401224
11-Apr-21,55552240
12-Apr-21,55764111
13-Apr-21,56043461
14-Apr-21,56399535
15-Apr-21,56758235
16-Apr-21,57095784
17-Apr-21,57352911
18-Apr-21,57449251
19-Apr-21,57596595
20-Apr-21,57831538
21-Apr-21,58194257
22-Apr-21,58443835
23-Apr-21,58692564
24-Apr-21,58924054
25-Apr-21,59102268
26-Apr-21,59085910
27-Apr-21,59234498
28-Apr-21,59527791
29-Apr-21,59702374
30-Apr-21,59880772
1-May-21,59981815
2-May-21,59953161
3-May-21,59979392
4-May-21,60115847
5-May-21,60228683
6-May-21,60408429
7-May-21,60530309
8-May-21,60591732
9-May-21,60560307
10-May-21,60542331
11-May-21,60515550
12-May-21,60614205
13-May-21,60635665
14-May-21,60675274
15-May-21,60648551
16-May-21,60519695
17-May-21,60304056
18-May-21,60169263
19-May-21,60129285
20-May-21,59759488
21-May-21,59757710
22-May-21,59707614
23-May-21,59672422
24-May-21,59490318
25-May-21,59432250
26-May-21,59432285
27-May-21,59276607
28-May-21,59209970
29-May-21,59172933
30-May-21,59066308
31-May-21,58907332
