Date,Confirmed,Deaths,Recovered
01/07/2020,10675596,541738,5468425
02/07/2020,10885548,547161,5753359
03/07/2020,11086923,552455,5863247
04/07/2020,11280744,557248,6059007
05/07/2020,11464726,561077,6178370
06/07/2020,11628722,565315,6302069
07/07/2020,11840091,571657,6447102
08/07/2020,12054250,577286,6605158
09/07/2020,12281090,583076,6739776
10/07/2020,12513766,588707,6879222
11/07/2020,12730232,593919,7004914
12/07/2020,12922492,598294,7116750
13/07/2020,13113970,602610,7257073
14/07/2020,13336173,608627,7399325
15/07/2020,13567611,614475,7559131
16/07/2020,13818969,620661,7711616
17/07/2020,14061686,627705,7895037
18/07/2020,14297865,634278,8045824
19/07/2020,14511279,638959,8133882
20/07/2020,14718412,642988,8293010
21/07/2020,14952034,649387,8467706
22/07/2020,15231917,656742,8647438
23/07/2020,15514776,663367,8823668
24/07/2020,15795846,669826,9051968
25/07/2020,16049938,675976,9271780
26/07/2020,16263015,680303,9415081
27/07/2020,16489477,685535,9586464
28/07/2020,16742217,692258,9756922
29/07/2020,17033965,699270,9959508
30/07/2020,17314074,705912,10173027
31/07/2020,17604811,712493,10372633
01/08/2020,17853166,718574,10553544
02/08/2020,18084181,722978,10692268
03/08/2020,18290628,728044,10914713
04/08/2020,18548543,735036,11138370
05/08/2020,18825127,742524,11360065
06/08/2020,19110321,749415,11548872
07/08/2020,19392566,756110,11740918
08/08/2020,19651099,762184,11941162
09/08/2020,19875797,766985,12119940
10/08/2020,20101808,772713,12284151
11/08/2020,20359380,779327,12589219
12/08/2020,20636018,786274,12829864
13/08/2020,20925236,793105,12993780
14/08/2020,21228980,799769,13277022
15/08/2020,21476718,805774,13445626
16/08/2020,21691208,810402,13678580
17/08/2020,21898916,814926,13889592
18/08/2020,22157171,822142,14117187
19/08/2020,22436722,829263,14335184
20/08/2020,22709277,835675,14542974
21/08/2020,22970496,841415,14711468
22/08/2020,23234766,847225,14921385
23/08/2020,23440930,851485,15137916
24/08/2020,23666158,856307,15337337
25/08/2020,23910153,862948,15568886
26/08/2020,24193952,869507,15794620
27/08/2020,24477860,875724,16001857
28/08/2020,24761471,881589,16200975
29/08/2020,25025287,887212,16412388
30/08/2020,25246275,891534,16622628
31/08/2020,25509140,895914,16823418
01/09/2020,25774047,902585,17081380
02/09/2020,26057555,908941,17300617
03/09/2020,26339015,915019,17521986
04/09/2020,26653020,920908,17735487
05/09/2020,26923081,926065,17936475
06/09/2020,27153595,930141,18148266
07/09/2020,27371523,939717,18345814
08/09/2020,27613555,944826,18547611
09/09/2020,27898369,951105,18787878
10/09/2020,28198228,957122,19004539
11/09/2020,28519589,963157,19228209
12/09/2020,28806206,968215,19451143
13/09/2020,29048946,972152,19638991
14/09/2020,29312693,976688,19867490
15/09/2020,29598140,983296,20093777
16/09/2020,29902687,989250,20323254
17/09/2020,30217566,994849,20543465
18/09/2020,30543485,1000670,20794614
19/09/2020,30835647,1006060,21031599
20/09/2020,31087793,1009996,21268676
21/09/2020,31363785,1014337,21514154
22/09/2020,31648303,1020539,21733547
23/09/2020,31924402,1026183,21996960
24/09/2020,32277431,1032760,22252630
25/09/2020,32608314,1038705,22491838
26/09/2020,32896777,1044270,22753981
27/09/2020,33148188,1048082,22967860
28/09/2020,33403027,1052103,23190402
29/09/2020,33685585,1058145,23431686
30/09/2020,34011804,1064712,23679904
01/10/2020,34330104,1073515,23901446
02/10/2020,34627958,1078562,24073731
03/10/2020,34960044,1084011,24329332
04/10/2020,35221464,1088017,24551491
05/10/2020,35522414,1095014,24788959
06/10/2020,35848966,1100866,25021585
07/10/2020,36199957,1106793,25276776
08/10/2020,36561290,1113157,25496282
09/10/2020,36922190,1119370,25703072
10/10/2020,37279326,1124285,25898477
11/10/2020,37566278,1128383,26121117
12/10/2020,37857976,1132453,26321236
13/10/2020,38177218,1137831,26513681
14/10/2020,38559565,1144049,26725966
15/10/2020,38966541,1150137,26933293
16/10/2020,39378313,1156465,27136307
17/10/2020,39750993,1162138,27334590
18/10/2020,40067583,1165747,27536101
19/10/2020,40454758,1170656,27738632
20/10/2020,40843745,1177289,27950079
21/10/2020,41288653,1183999,28161301
22/10/2020,41761382,1189933,28388094
23/10/2020,42258164,1197015,28594828
24/10/2020,42714986,1202899,28806409
25/10/2020,43075703,1207098,29003667
26/10/2020,43562021,1212708,29242802
27/10/2020,44032249,1220156,29832507
28/10/2020,44544143,1227367,30098469
29/10/2020,45094525,1234514,30345220
30/10/2020,45665604,1242170,30600994
31/10/2020,46142428,1248838,30845323
01/11/2020,46604864,1253880,31103270
02/11/2020,47167894,1260099,31383407
03/11/2020,47721721,1269547,31634980
04/11/2020,48233206,1279702,31914299
05/11/2020,48829777,1287787,32217954
06/11/2020,49474659,1297535,32506315
07/11/2020,50071611,1305190,32805331
08/11/2020,50555683,1311119,33058571
09/11/2020,51057076,1318389,33315624
10/11/2020,51616461,1328429,33572984
11/11/2020,52265191,1338933,33953208
12/11/2020,52914645,1348756,34179447
13/11/2020,53566727,1358404,34481579
14/11/2020,54161862,1367568,34759398
15/11/2020,54635935,1374026,34990158
16/11/2020,55170071,1381999,35380888
17/11/2020,55781327,1393121,35814479
18/11/2020,56408504,1404592,36177589
19/11/2020,57062051,1415721,36551888
20/11/2020,57730831,1427559,36907312
21/11/2020,58318557,1436534,37246582
22/11/2020,58806701,1443837,37520306
23/11/2020,59331660,1452402,37931519
24/11/2020,59921951,1465120,38303698
25/11/2020,60558291,1477306,38741108
26/11/2020,61140970,1488288,39107984
27/11/2020,61827863,1499678,39489610
28/11/2020,62414022,1508957,39849316
29/11/2020,62902699,1516168,40167599
30/11/2020,63411091,1525135,40569855
01/12/2020,64023308,1537895,41046059
02/12/2020,64675043,1550586,41508985
03/12/2020,65369179,1563149,41935969
04/12/2020,66052314,1575752,42426586
05/12/2020,66694746,1586029,42862534
06/12/2020,67233741,1593520,43178578
07/12/2020,67753311,1602299,43591717
08/12/2020,68396799,1614691,44032488
09/12/2020,69066819,1627367,44458968
10/12/2020,70564945,1640066,44950194
11/12/2020,71269554,1653188,45428334
12/12/2020,71904616,1663817,46933277
13/12/2020,72435722,1671403,47328396
14/12/2020,72960602,1680548,41338399
15/12/2020,73596794,1694540,41696563
16/12/2020,74330464,1708306,42058783
17/12/2020,75070221,1721761,42434192
18/12/2020,75790546,1734687,42751920
19/12/2020,76401995,1745573,43103506
20/12/2020,76935664,1753452,43380335
21/12/2020,77484615,1763157,43723555
22/12/2020,78134972,1777527,44086740
23/12/2020,78830100,1791422,44410880
24/12/2020,79496691,1803171,44725552
25/12/2020,79962475,1811798,45017158
26/12/2020,80475205,1819276,45425322
27/12/2020,80913868,1826825,45717710
28/12/2020,81409709,1836615,46016136
29/12/2020,82074293,1851874,46369231
30/12/2020,82835540,1867231,46757476
31/12/2020,83560482,1880449,47032627
,,,
01/01/2021,84093788,1890278,47313005
02/01/2021,84720299,1898864,47614297
03/01/2021,85253202,1906316,47882779
04/01/2021,85807043,1916580,48173187
05/01/2021,86547096,1932120,48488548
06/01/2021,87330661,1947237,48801673
07/01/2021,88211545,1962359,49125604
08/01/2021,89014809,1977613,49422867
09/01/2021,89776075,1990630,49753112
10/01/2021,90365376,1999201,50023662
11/01/2021,90984976,2009553,50313950
12/01/2021,91690531,2026852,50657507
13/01/2021,92438858,2043721,51023568
14/01/2021,93194145,2059407,51396413
15/01/2021,93961381,2074533,51717035
16/01/2021,94600703,2088132,52034090
17/01/2021,95130064,2097015,52349805
18/01/2021,95645312,2106781,52668558
19/01/2021,96253248,2123746,53071502
20/01/2021,96946210,2141796,53399273
21/01/2021,97602571,2158960,53765412
22/01/2021,98261639,2175191,54147169
23/01/2021,98829909,2188931,54463662
24/01/2021,99275699,2198057,54774619
25/01/2021,99772747,2209291,55089060
26/01/2021,100329071,2226905,55418603
27/01/2021,100927448,2244097,55759372
28/01/2021,101541893,2261252,56075031
29/01/2021,102132381,2276737,56439138
30/01/2021,102647858,2290272,56790304
31/01/2021,103029652,2298826,57079203
01/02/2021,103476199,2309509,57351845
02/02/2021,103934126,2324805,57702035
03/02/2021,104456157,2340921,58031882
04/02/2021,104923095,2353835,58325871
05/02/2021,105458548,2371009,58607158
06/02/2021,105830862,2381426,58901715
07/02/2021,106229038,2389620,59179150
08/02/2021,106545054,2398609,59411984
09/02/2021,106972720,2414650,59783592
10/02/2021,107408534,2428563,60052900
11/02/2021,107850003,2442299,60328985
12/02/2021,108278724,2455436,60616584
13/02/2021,108652122,2465756,60862827
14/02/2021,108946086,2472351,61058258
15/02/2021,109229345,2479755,61346871
16/02/2021,109580144,2491355,61582276
17/02/2021,109975720,2503251,61876217
18/02/2021,110379223,2515093,62112835
19/02/2021,110791727,2526805,62347471
20/02/2021,111162265,2535655,62616687
21/02/2021,111476792,2542023,62833944
22/02/2021,111765161,2549457,63016514
23/02/2021,112154029,2561176,63295144
24/02/2021,112598969,2573595,63504603
25/02/2021,113046460,2584245,63732295
26/02/2021,113489486,2594951,63992563
27/02/2021,113878785,2603583,64243285
28/02/2021,114182356,2609702,64418462
01/03/2021,114488090,2617578,64633388
02/03/2021,114798408,2627954,64903492
03/03/2021,115239558,2639688,65132900
04/03/2021,115692613,2649980,65383180
05/03/2021,116139645,2660658,65609540
06/03/2021,116550222,2668754,65846043
07/03/2021,116918602,2674659,66084363
08/03/2021,117217208,2681746,66358921
09/03/2021,117631885,2692394,66621154
10/03/2021,118098952,2702456,66856510
11/03/2021,118575835,2712668,67129127
12/03/2021,119065151,2722792,67397683
13/03/2021,119519364,2731226,67650215
14/03/2021,119879810,2737189,67895903
