Date,Active
2020-07-01,4665433
2020-07-02,4585028
2020-07-03,4671221
2020-07-04,4664489
2020-07-05,4725279
2020-07-06,4761338
2020-07-07,4821332
2020-07-08,4871806
2020-07-09,4958238
2020-07-10,5045837
2020-07-11,5131399
2020-07-12,5207448
2020-07-13,5254287
2020-07-14,5328221
2020-07-15,5394005
2020-07-16,5486692
2020-07-17,5538944
2020-07-18,5617763
2020-07-19,5738438
2020-07-20,5782414
2020-07-21,5834941
2020-07-22,5927737
2020-07-23,6027741
2020-07-24,6074052
2020-07-25,6102182
2020-07-26,6167631
2020-07-27,6217478
2020-07-28,6293037
2020-07-29,6375187
2020-07-30,6435135
2020-07-31,6519685
2020-08-01,6581048
2020-08-02,6668935
2020-08-03,6647871
2020-08-04,6675137
2020-08-05,6722538
2020-08-06,6812034
2020-08-07,6895538
2020-08-08,6947753
2020-08-09,6988872
2020-08-10,7044944
2020-08-11,6990834
2020-08-12,7019880
2020-08-13,7138351
2020-08-14,7152189
2020-08-15,7225318
2020-08-16,7202226
2020-08-17,7194398
2020-08-18,7217842
2020-08-19,7272275
2020-08-20,7330628
2020-08-21,7417613
2020-08-22,7466156
2020-08-23,7451529
2020-08-24,7472514
2020-08-25,7478319
2020-08-26,7529825
2020-08-27,7600279
2020-08-28,7678907
2020-08-29,7725687
2020-08-30,7732113
2020-08-31,7789808
2020-09-01,7790082
2020-09-02,7847997
2020-09-03,7902010
2020-09-04,7996625
2020-09-05,8060541
2020-09-06,8075188
2020-09-07,8085992
2020-09-08,8121118
2020-09-09,8159386
2020-09-10,8236567
2020-09-11,8328223
2020-09-12,8386848
2020-09-13,8437803
2020-09-14,8468515
2020-09-15,8521067
2020-09-16,8590183
2020-09-17,8679252
2020-09-18,8748201
2020-09-19,8797988
2020-09-20,8809121
2020-09-21,8835294
2020-09-22,8894217
2020-09-23,8901259
2020-09-24,8992041
2020-09-25,9077771
2020-09-26,9098526
2020-09-27,9132246
2020-09-28,9160522
2020-09-29,9195754
2020-09-30,9267188
2020-10-01,9355143
2020-10-02,9475665
2020-10-03,9546701
2020-10-04,9581956
2020-10-05,9638441
2020-10-06,9726515
2020-10-07,9816388
2020-10-08,9951851
2020-10-09,10099748
2020-10-10,10256564
2020-10-11,10316778
2020-10-12,10404287
2020-10-13,10525706
2020-10-14,10689550
2020-10-15,10883111
2020-10-16,11085541
2020-10-17,11254265
2020-10-18,11365735
2020-10-19,11545470
2020-10-20,11716377
2020-10-21,11943353
2020-10-22,12183355
2020-10-23,12466321
2020-10-24,12705678
2020-10-25,12864938
2020-10-26,13106511
2020-10-27,12979586
2020-10-28,13218307
2020-10-29,13514791
2020-10-30,13822440
2020-10-31,14048267
2020-11-01,14247714
2020-11-02,14524388
2020-11-03,14817194
2020-11-04,15039205
2020-11-05,15324036
2020-11-06,15670809
2020-11-07,15961090
2020-11-08,16185993
2020-11-09,16423063
2020-11-10,16715048
2020-11-11,16973050
2020-11-12,17386442
2020-11-13,17726744
2020-11-14,18034896
2020-11-15,18271751
2020-11-16,18407184
2020-11-17,18573727
2020-11-18,18826323
2020-11-19,19094442
2020-11-20,19395960
2020-11-21,19635441
2020-11-22,19842558
2020-11-23,19947739
2020-11-24,20153133
