Date,Active
2020-07-01,226947
2020-07-02,227439
2020-07-03,235433
2020-07-04,244814
2020-07-05,253287
2020-07-06,259571
2020-07-07,264944
2020-07-08,269789
2020-07-09,276685
2020-07-10,283407
2020-07-11,292231
2020-07-12,301609
2020-07-13,311565
2020-07-14,319840
2020-07-15,331175
2020-07-16,342473
2020-07-17,359060
2020-07-18,373542
2020-07-19,390622
2020-07-20,402678
2020-07-21,411296
2020-07-22,426330
2020-07-23,440298
2020-07-24,456234
2020-07-25,468002
2020-07-26,485277
2020-07-27,495499
2020-07-28,509447
2020-07-29,527273
2020-07-30,543680
2020-07-31,565103
2020-08-01,567730
2020-08-02,579357
2020-08-03,586298
2020-08-04,586244
2020-08-05,595501
2020-08-06,607384
2020-08-07,619088
2020-08-08,628747
2020-08-09,634945
2020-08-10,639929
2020-08-11,643948
2020-08-12,653622
2020-08-13,661595
2020-08-14,667950
2020-08-15,677714
2020-08-16,676900
2020-08-17,673213
2020-08-18,676549
2020-08-19,686395
2020-08-20,692030
2020-08-21,697330
2020-08-22,707668
2020-08-23,710771
2020-08-24,704348
2020-08-25,706851
2020-08-26,725991
2020-08-27,742023
2020-08-28,752424
2020-08-29,765302
2020-08-30,781975
2020-08-31,785996
2020-09-01,801282
2020-09-02,815538
2020-09-03,831124
2020-09-04,846395
2020-09-05,862320
2020-09-06,882542
2020-09-07,883697
2020-09-08,897394
2020-09-09,919018
2020-09-10,943480
2020-09-11,958316
2020-09-12,973175
2020-09-13,986598
2020-09-14,990061
2020-09-15,995933
2020-09-16,1009976
2020-09-17,1017754
2020-09-18,1013964
2020-09-19,1010824
2020-09-20,1003299
2020-09-21,975861
2020-09-22,968377
2020-09-23,966382
2020-09-24,970116
2020-09-25,960969
2020-09-26,956402
2020-09-27,962640
2020-09-28,947576
2020-09-29,940441
2020-09-30,940705
2020-10-01,942217
2020-10-02,944996
2020-10-03,937625
2020-10-04,934427
2020-10-05,919023
2020-10-06,907883
2020-10-07,902425
2020-10-08,893592
2020-10-09,883185
2020-10-10,867496
2020-10-11,861853
2020-10-12,838729
2020-10-13,826876
2020-10-14,812390
2020-10-15,804528
2020-10-16,795087
2020-10-17,783311
2020-10-18,772055
2020-10-19,748538
2020-10-20,740090
2020-10-21,715812
2020-10-22,695509
2020-10-23,680680
2020-10-24,668154
2020-10-25,653717
2020-10-26,625857
2020-10-27,610803
2020-10-28,603687
2020-10-29,594386
2020-10-30,582649
2020-10-31,570458
2020-11-01,561908
2020-11-02,541405
2020-11-03,533787
2020-11-04,527962
2020-11-05,520773
2020-11-06,516632
2020-11-07,512665
2020-11-08,509673
2020-11-09,505265
2020-11-10,494657
2020-11-11,489294
2020-11-12,484547
2020-11-13,480719
2020-11-14,479216
2020-11-15,465478
2020-11-16,453401
2020-11-17,446805
2020-11-18,443303
2020-11-19,443794
2020-11-20,439747
2020-11-21,440962
2020-11-22,443486
2020-11-23,438667
2020-11-24,444746
2020-11-25,452344
2020-11-26,455555
2020-11-27,454940
2020-11-28,453956
2020-11-29,446952
2020-11-30,435603
2020-12-01,428644
2020-12-02,422943
2020-12-03,416082
2020-12-04,409689
2020-12-05,403248
2020-12-06,396729
2020-12-07,383866
2020-12-08,378909
2020-12-09,372293
2020-12-10,363750
2020-12-11,359819
2020-12-12,356546
2020-12-13,352586
2020-12-14,339820
2020-12-15,332002
2020-12-16,322366
2020-12-17,313831
2020-12-18,308751
2020-12-19,305344
2020-12-20,303639
2020-12-21,292518
2020-12-22,289240
2020-12-23,283849
2020-12-24,281919
2020-12-25,281667
2020-12-26,278690
2020-12-27,277301
2020-12-28,268581
2020-12-29,262272
2020-12-30,257656
2020-12-31,257656
2021-01-01,254254
2021-01-02,247220
2021-01-03,243953
2021-01-04,231036
2021-01-05,227546
2021-01-06,228083
2021-01-07,225449
2021-01-08,225449
2021-01-09,223335
2021-01-10,222526
2021-01-11,216558
2021-01-12,214507
2021-01-13,213603
2021-01-14,213027
2021-01-15,211033
2021-01-16,208826
2021-01-17,208012
2021-01-18,200514
2021-01-19,197180
2021-01-20,192308
2021-01-21,188694
2021-01-22,185662
2021-01-23,184408
2021-01-24,184182
2021-01-25,177266
2021-01-26,176498
2021-01-27,173740
2021-01-28,171686
2021-01-29,169837
2021-01-30,168791
2021-01-31,168235
2021-02-01,163353
2021-02-02,160057
2021-02-03,155025
2021-02-04,151460
2021-02-05,148590
2021-02-06,148766
2021-02-07,148609
2021-02-08,143625
2021-02-09,141511
2021-02-10,142562
2021-02-11,135926
2021-02-12,136571
2021-02-13,137567
2021-02-14,139637
2021-02-15,136872
2021-02-16,136549
2021-02-17,137342
2021-02-18,139542
2021-02-19,143127
2021-02-20,145634
2021-02-21,150055
2021-02-22,147306
2021-02-23,146907
2021-02-24,151708
2021-02-25,155986
2021-02-26,159590
2021-02-27,164511
2021-02-28,168632
2021-03-01,168358
2021-03-02,170126
2021-03-03,173413
2021-03-04,176319
2021-03-05,180263
2021-03-06,184523
2021-03-07,188747
2021-03-08,187462
2021-03-09,184598
2021-03-10,189226
2021-03-11,197237
2021-03-12,202022
2021-03-13,210544
2021-03-14,219262
2021-03-15,223432
2021-03-16,234406
2021-03-17,252364
2021-03-18,271282
2021-03-19,288394
2021-03-20,309087
2021-03-21,334646
2021-03-22,345377
2021-03-23,368457
2021-03-24,395192
2021-03-25,421066
2021-03-26,452647
2021-03-27,486310
2021-03-28,521808
2021-03-29,540720
2021-03-30,552566
2021-03-31,584055
2021-04-01,614696
2021-04-02,658909
2021-04-03,691597
2021-04-04,741830
2021-04-05,788223
2021-04-06,843473
2021-04-07,910319
2021-04-08,979608
2021-04-09,1046631
2021-04-10,1108087
2021-04-11,1201009
2021-04-12,1264698
2021-04-13,1365704
2021-04-14,1471877
2021-04-15,1569743
2021-04-16,1679740
2021-04-17,1801215
2021-04-18,1929219
2021-04-19,2031877
2021-04-20,2157538
2021-04-21,2291237
2021-04-22,2428616
2021-04-23,2552940
2021-04-24,2682751
2021-04-25,2813658
2021-04-26,2882203
2021-04-27,2978686
2021-04-28,3084849
2021-04-29,3170228
2021-04-30,3268710
2021-05-01,3349644
2021-05-02,3413833
2021-05-03,3447133
2021-05-04,3487270
2021-05-05,3566398
2021-05-06,3645164
2021-05-07,3723446
2021-05-08,3736370
2021-05-09,3745237
2021-05-10,3715221
2021-05-11,3704099
2021-05-12,3710525
2021-05-13,3704893
2021-05-14,3673802
2021-05-15,3618458
2021-05-16,3516997
2021-05-17,3353765
