Date,Active
2020-07-01,938
2020-07-02,926
2020-07-03,936
2020-07-04,976
2020-07-05,1005
2020-07-06,982
2020-07-07,989
2020-07-08,987
2020-07-09,985
2020-07-10,941
2020-07-11,950
2020-07-12,986
2020-07-13,941
2020-07-14,914
2020-07-15,925
2020-07-16,919
2020-07-17,898
2020-07-18,894
2020-07-19,903
2020-07-20,877
2020-07-21,884
2020-07-22,883
2020-07-23,864
2020-07-24,928
2020-07-25,962
2020-07-26,971
2020-07-27,896
2020-07-28,882
2020-07-29,837
2020-07-30,821
2020-07-31,802
2020-08-01,806
2020-08-02,808
2020-08-03,770
2020-08-04,748
2020-08-05,696
2020-08-06,673
2020-08-07,629
2020-08-08,651
2020-08-09,663
2020-08-10,626
2020-08-11,623
2020-08-12,648
2020-08-13,705
2020-08-14,833
2020-08-15,1103
2020-08-16,1293
2020-08-17,1521
2020-08-18,1746
2020-08-19,1976
2020-08-20,2241
2020-08-21,2524
2020-08-22,2890
2020-08-23,3137
2020-08-24,3349
2020-08-25,3585
2020-08-26,3932
2020-08-27,4210
2020-08-28,4314
2020-08-29,4473
2020-08-30,4650
2020-08-31,4660
2020-09-01,4767
2020-09-02,4786
2020-09-03,4728
2020-09-04,4668
2020-09-05,4697
2020-09-06,4663
2020-09-07,4455
2020-09-08,4221
2020-09-09,4037
2020-09-10,3953
2020-09-11,3671
2020-09-12,3592
2020-09-13,3433
2020-09-14,3146
2020-09-15,2827
2020-09-16,2742
2020-09-17,2635
2020-09-18,2545
2020-09-19,2434
2020-09-20,2412
2020-09-21,2277
2020-09-22,2178
2020-09-23,2116
2020-09-24,2082
2020-09-25,1951
2020-09-26,1962
2020-09-27,1963
2020-09-28,1822
2020-09-29,1809
2020-09-30,1808
2020-10-01,1803
2020-10-02,1820
2020-10-03,1825
2020-10-04,1856
2020-10-05,1734
2020-10-06,1594
2020-10-07,1532
2020-10-08,1479
2020-10-09,1494
2020-10-10,1481
2020-10-11,1541
2020-10-12,1508
2020-10-13,1421
2020-10-14,1467
2020-10-15,1414
2020-10-16,1407
2020-10-17,1443
2020-10-18,1463
2020-10-19,1420
2020-10-20,1390
2020-10-21,1443
2020-10-22,1526
2020-10-23,1484
2020-10-24,1510
2020-10-25,1593
2020-10-26,1602
2020-10-27,1612
2020-10-28,1641
2020-10-29,1695
2020-10-30,1736
2020-10-31,1812
2020-11-01,1869
2020-11-02,1825
2020-11-03,1835
2020-11-04,1840
2020-11-05,1898
2020-11-06,1897
2020-11-07,1981
2020-11-08,2044
2020-11-09,2008
2020-11-10,2046
2020-11-11,2051
2020-11-12,2108
2020-11-13,2210
2020-11-14,2362
2020-11-15,2516
2020-11-16,2644
2020-11-17,2842
2020-11-18,3058
2020-11-19,3253
2020-11-20,3535
2020-11-21,3762
2020-11-22,3956
2020-11-23,4121
2020-11-24,4397
2020-11-25,4853
2020-11-26,5268
2020-11-27,5504
2020-11-28,5759
2020-11-29,6022
2020-11-30,6241
2020-12-01,6572
2020-12-02,6822
2020-12-03,7185
2020-12-04,7458
2020-12-05,7873
2020-12-06,8311
2020-12-07,8553
2020-12-08,8699
2020-12-09,8897
2020-12-10,9057
2020-12-11,9665
2020-12-12,10372
2020-12-13,10795
2020-12-14,11205
2020-12-15,11883
2020-12-16,12209
2020-12-17,12888
2020-12-18,13577
2020-12-19,14269
2020-12-20,14738
2020-12-21,14810
2020-12-22,15085
2020-12-23,15352
2020-12-24,15949
2020-12-25,16577
2020-12-26,17024
2020-12-27,17593
2020-12-28,17163
2020-12-29,17459
2020-12-30,17569
2020-12-31,17899
2021-01-01,18073
2021-01-02,17775
2021-01-03,18043
2021-01-04,17800
2021-01-05,17796
2021-01-06,17991
2021-01-07,17908
2021-01-08,17575
2021-01-09,17130
2021-01-10,15422
2021-01-11,14917
2021-01-12,14391
2021-01-13,13761
2021-01-14,13488
2021-01-15,13030
2021-01-16,12838
2021-01-17,12742
2021-01-18,12364
2021-01-19,12038
2021-01-20,11756
2021-01-21,11519
2021-01-22,11311
2021-01-23,11205
2021-01-24,11205
2021-01-25,9711
2021-01-26,9573
2021-01-27,9524
2021-01-28,9493
2021-01-29,9315
2021-01-30,8907
2021-01-31,8774
2021-02-01,8634
2021-02-02,8571
2021-02-03,8610
2021-02-04,8555
2021-02-05,8555
2021-02-06,8560
2021-02-07,8493
2021-02-08,8329
2021-02-09,8218
2021-02-10,8300
2021-02-11,8394
2021-02-12,8458
2021-02-13,8444
2021-02-14,8548
2021-02-15,8240
2021-02-16,8048
2021-02-17,8127
2021-02-18,8065
2021-02-19,7938
2021-02-20,7919
2021-02-21,7875
2021-02-22,7714
2021-02-23,7494
2021-02-24,7448
2021-02-25,7457
2021-02-26,7393
2021-02-27,7376
2021-02-28,7356
2021-03-01,7428
2021-03-02,7504
2021-03-03,7459
2021-03-04,7451
2021-03-05,7510
2021-03-06,7617
2021-03-07,7701
2021-03-08,7718
2021-03-09,7773
2021-03-10,7871
2021-03-11,7281
2021-03-12,6884
2021-03-13,6558
2021-03-14,6588
2021-03-15,6447
2021-03-16,6349
2021-03-17,6428
2021-03-18,6544
2021-03-19,6567
2021-03-20,6641
2021-03-21,6767
2021-03-22,6638
2021-03-23,6579
2021-03-24,6499
2021-03-25,6424
2021-03-26,6079
2021-03-27,6180
2021-03-28,6291
2021-03-29,6290
2021-03-30,6327
2021-03-31,6465
2021-04-01,6596
2021-04-02,6800
2021-04-03,6946
2021-04-04,7104
2021-04-05,7115
2021-04-06,7214
2021-04-07,7480
2021-04-08,7719
2021-04-09,7879
2021-04-10,7682
2021-04-11,7572
2021-04-12,7581
2021-04-13,7654
2021-04-14,7816
2021-04-15,7937
2021-04-16,8056
2021-04-17,8312
2021-04-18,8371
2021-04-19,8166
2021-04-20,8243
2021-04-21,8394
2021-04-22,8576
2021-04-23,8650
2021-04-24,8599
2021-04-25,8720
2021-04-26,8383
2021-04-27,8604
2021-04-28,8739
2021-04-29,8757
2021-04-30,8466
2021-05-01,8542
2021-05-02,8538
2021-05-03,8301
2021-05-04,8154
2021-05-05,8177
2021-05-06,8162
2021-05-07,7999
2021-05-08,8012
2021-05-09,8053
2021-05-10,7687
2021-05-11,7661
2021-05-12,7836
2021-05-13,8092
2021-05-14,7883
2021-05-15,8007
2021-05-16,8224
2021-05-17,8283
