Date,Active
2020-07-01,1835731
2020-07-02,1839681
2020-07-03,1881928
2020-07-04,1823385
2020-07-05,1861368
2020-07-06,1886712
2020-07-07,1933884
2020-07-08,1976195
2020-07-09,2022035
2020-07-10,2075202
2020-07-11,2122099
2020-07-12,2169301
2020-07-13,2202170
2020-07-14,2252134
2020-07-15,2292466
2020-07-16,2352614
2020-07-17,2407366
2020-07-18,2453527
2020-07-19,2505097
2020-07-20,2537675
2020-07-21,2579120
2020-07-22,2619645
2020-07-23,2664600
2020-07-24,2708458
2020-07-25,2754689
2020-07-26,2790525
2020-07-27,2818240
2020-07-28,2853761
2020-07-29,2890161
2020-07-30,2931662
2020-07-31,2975132
2020-08-01,3006521
2020-08-02,3044848
2020-08-03,3045009
2020-08-04,3086968
2020-08-05,3091123
2020-08-06,3128460
2020-08-07,3161276
2020-08-08,3195086
2020-08-09,3226586
2020-08-10,3259667
2020-08-11,3262440
2020-08-12,3278175
2020-08-13,3307539
2020-08-14,3349860
2020-08-15,3373610
2020-08-16,3397666
2020-08-17,3401312
2020-08-18,3412540
2020-08-19,3431633
2020-08-20,3452584
2020-08-21,3482318
2020-08-22,3504043
2020-08-23,3525468
2020-08-24,3538462
2020-08-25,3544661
2020-08-26,3557905
2020-08-27,3585322
2020-08-28,3614135
2020-08-29,3633727
2020-08-30,3654365
2020-08-31,3658300
2020-09-01,3681279
2020-09-02,3692130
2020-09-03,3700150
2020-09-04,3733078
2020-09-05,3756741
2020-09-06,3773679
2020-09-07,3779441
2020-09-08,3780652
2020-09-09,3785172
2020-09-10,3804277
2020-09-11,3836515
2020-09-12,3860125
2020-09-13,3877326
2020-09-14,3888153
2020-09-15,3905890
2020-09-16,3913512
2020-09-17,3943023
2020-09-18,3975283
2020-09-19,3995772
2020-09-20,4020728
2020-09-21,4046903
2020-09-22,4054730
2020-09-23,4069446
2020-09-24,4075722
2020-09-25,4105925
2020-09-26,4126705
2020-09-27,4148097
2020-09-28,4152705
2020-09-29,4176510
2020-09-30,4187612
2020-10-01,4212431
2020-10-02,4253802
2020-10-03,4277744
2020-10-04,4298727
2020-10-05,4314179
2020-10-06,4341534
2020-10-07,4344162
2020-10-08,4380415
2020-10-09,4417993
2020-10-10,4448395
2020-10-11,4481817
2020-10-12,4491543
2020-10-13,4525108
2020-10-14,4552698
2020-10-15,4595133
2020-10-16,4643190
2020-10-17,4676154
2020-10-18,4711469
2020-10-19,4740233
2020-10-20,4778721
2020-10-21,4812697
2020-10-22,4858411
2020-10-23,4917008
2020-10-24,4967594
2020-10-25,5013115
2020-10-26,5042315
2020-10-27,5090968
2020-10-28,5138886
2020-10-29,5192705
2020-10-30,5266794
2020-10-31,5321598
2020-11-01,5407898
2020-11-02,5448133
2020-11-03,5543607
2020-11-04,5608635
2020-11-05,5698619
2020-11-06,5796381
2020-11-07,5882136
2020-11-08,5966707
2020-11-09,6039008
2020-11-10,6145065
2020-11-11,6255079
2020-11-12,6364540
2020-11-13,6499846
2020-11-14,6613128
2020-11-15,6722266
2020-11-16,6814129
2020-11-17,6927539
2020-11-18,7041722
2020-11-19,7171255
2020-11-20,7320411
2020-11-21,7426456
2020-11-22,7575554
2020-11-23,7641457
2020-11-24,7751806
2020-11-25,7793658
2020-11-26,7869549
2020-11-27,7999688
2020-11-28,8078367
2020-11-29,8175689
