Date,Active
2020-07-01,19
2020-07-02,15
2020-07-03,15
2020-07-04,15
2020-07-05,15
2020-07-06,28
2020-07-07,27
2020-07-08,22
2020-07-09,22
2020-07-10,20
2020-07-11,20
2020-07-12,22
2020-07-13,21
2020-07-14,21
2020-07-15,28
2020-07-16,25
2020-07-17,26
2020-07-18,25
2020-07-19,26
2020-07-20,24
2020-07-21,36
2020-07-22,43
2020-07-23,47
2020-07-24,50
2020-07-25,52
2020-07-26,55
2020-07-27,66
2020-07-28,77
2020-07-29,90
2020-07-30,136
2020-07-31,182
2020-08-01,214
2020-08-02,242
2020-08-03,271
2020-08-04,286
2020-08-05,327
2020-08-06,348
2020-08-07,384
2020-08-08,407
2020-08-09,433
2020-08-10,433
2020-08-11,399
2020-08-12,456
2020-08-13,465
2020-08-14,471
2020-08-15,480
2020-08-16,484
2020-08-17,491
2020-08-18,437
2020-08-19,436
2020-08-20,440
2020-08-21,439
2020-08-22,425
2020-08-23,421
2020-08-24,408
2020-08-25,410
2020-08-26,372
2020-08-27,369
2020-08-28,345
2020-08-29,331
2020-08-30,313
2020-08-31,303
2020-09-01,275
2020-09-02,266
2020-09-03,256
2020-09-04,242
2020-09-05,209
2020-09-06,199
2020-09-07,161
2020-09-08,151
2020-09-09,134
2020-09-10,131
2020-09-11,123
2020-09-12,115
2020-09-13,110
2020-09-14,102
2020-09-15,97
2020-09-16,92
2020-09-17,91
2020-09-18,92
2020-09-19,91
2020-09-20,91
2020-09-21,86
2020-09-22,76
2020-09-23,43
2020-09-24,43
2020-09-25,35
2020-09-26,35
2020-09-27,40
2020-09-28,43
2020-09-29,52
2020-09-30,49
2020-10-01,50
2020-10-02,41
2020-10-03,41
2020-10-04,41
2020-10-05,40
2020-10-06,40
2020-10-07,41
2020-10-08,42
2020-10-09,46
2020-10-10,48
2020-10-11,50
2020-10-12,50
2020-10-13,53
2020-10-14,58
2020-10-15,59
2020-10-16,58
2020-10-17,60
2020-10-18,68
2020-10-19,59
2020-10-20,60
2020-10-21,63
2020-10-22,64
2020-10-23,64
2020-10-24,74
2020-10-25,76
2020-10-26,73
2020-10-27,75
2020-10-28,76
2020-10-29,80
2020-10-30,80
2020-10-31,83
2020-11-01,82
2020-11-02,92
2020-11-03,98
2020-11-04,99
2020-11-05,103
2020-11-06,107
2020-11-07,108
2020-11-08,108
2020-11-09,93
2020-11-10,104
2020-11-11,130
2020-11-12,125
2020-11-13,120
2020-11-14,127
2020-11-15,143
2020-11-16,124
2020-11-17,129
2020-11-18,141
2020-11-19,127
2020-11-20,128
2020-11-21,129
2020-11-22,130
2020-11-23,126
2020-11-24,128
2020-11-25,133
2020-11-26,130
2020-11-27,134
2020-11-28,127
2020-11-29,129
2020-11-30,133
2020-12-01,121
2020-12-02,122
2020-12-03,117
2020-12-04,106
2020-12-05,110
2020-12-06,111
2020-12-07,108
2020-12-08,118
2020-12-09,121
2020-12-10,125
2020-12-11,118
2020-12-12,122
2020-12-13,121
2020-12-14,121
2020-12-15,118
2020-12-16,118
2020-12-17,109
2020-12-18,109
2020-12-19,107
2020-12-20,109
2020-12-21,110
2020-12-22,104
2020-12-23,105
2020-12-24,116
2020-12-25,101
2020-12-26,102
2020-12-27,103
2020-12-28,113
2020-12-29,100
2020-12-30,98
2020-12-31,105
2021-01-01,114
2021-01-02,110
2021-01-03,120
2021-01-04,123
2021-01-05,130
2021-01-06,117
2021-01-07,121
2021-01-08,120
2021-01-09,117
2021-01-10,118
2021-01-11,119
2021-01-12,124
2021-01-13,117
2021-01-14,127
2021-01-15,121
2021-01-16,122
2021-01-17,122
2021-01-18,102
2021-01-19,103
2021-01-20,103
2021-01-21,100
2021-01-22,102
2021-01-23,102
2021-01-24,102
2021-01-25,89
2021-01-26,86
2021-01-27,88
2021-01-28,186
2021-01-29,174
2021-01-30,276
2021-01-31,325
2021-02-01,355
2021-02-02,387
2021-02-03,452
2021-02-04,457
2021-02-05,476
2021-02-06,482
2021-02-07,494
2021-02-08,543
2021-02-09,557
2021-02-10,576
2021-02-11,577
2021-02-12,578
2021-02-13,631
2021-02-14,661
2021-02-15,693
2021-02-16,703
2021-02-17,720
2021-02-18,707
2021-02-19,700
2021-02-20,706
2021-02-21,646
2021-02-22,640
2021-02-23,608
2021-02-24,573
2021-02-25,582
2021-02-26,552
2021-02-27,553
2021-02-28,537
2021-03-01,537
2021-03-02,542
2021-03-03,549
2021-03-04,533
2021-03-05,539
2021-03-06,546
2021-03-07,557
2021-03-08,569
2021-03-09,487
2021-03-10,490
2021-03-11,450
2021-03-12,429
2021-03-13,432
2021-03-14,433
2021-03-15,407
2021-03-16,367
2021-03-17,334
2021-03-18,337
2021-03-19,338
2021-03-20,339
2021-03-21,339
2021-03-22,307
2021-03-23,294
2021-03-24,276
2021-03-25,279
2021-03-26,286
2021-03-27,243
2021-03-28,248
2021-03-29,251
2021-03-30,200
2021-03-31,209
2021-04-01,223
2021-04-02,202
2021-04-03,208
2021-04-04,213
2021-04-05,186
2021-04-06,191
2021-04-07,195
2021-04-08,204
2021-04-09,219
2021-04-10,228
2021-04-11,229
2021-04-12,225
2021-04-13,234
2021-04-14,253
2021-04-15,278
2021-04-16,292
2021-04-17,271
2021-04-18,275
2021-04-19,281
2021-04-20,275
2021-04-21,287
2021-04-22,299
2021-04-23,305
2021-04-24,308
2021-04-25,292
2021-04-26,301
2021-04-27,306
2021-04-28,314
2021-04-29,359
2021-04-30,377
2021-05-01,359
2021-05-02,378
2021-05-03,390
2021-05-04,400
2021-05-05,435
2021-05-06,495
2021-05-07,542
2021-05-08,608
2021-05-09,775
2021-05-10,836
2021-05-11,918
2021-05-12,987
2021-05-13,1048
2021-05-14,1124
2021-05-15,1408
2021-05-16,1507
2021-05-17,1654
