ds,y
2020-07-01,1299
2020-07-02,1463
2020-07-03,1487
2020-07-04,1652
2020-07-05,1821
2020-07-06,1863
2020-07-07,2017
2020-07-08,2222
2020-07-09,2223
2020-07-10,2568
2020-07-11,2954
2020-07-12,3013
2020-07-13,3083
2020-07-14,3327
2020-07-15,4062
2020-07-16,3884
2020-07-17,4175
2020-07-18,4749
2020-07-19,5249
2020-07-20,5115
2020-07-21,5474
2020-07-22,5664
2020-07-23,6244
2020-07-24,6716
2020-07-25,7224
2020-07-26,7944
2020-07-27,8174
2020-07-28,8479
2020-07-29,9030
2020-07-30,10113
2020-07-31,10452
2020-08-01,11445
2020-08-02,12355
2020-08-03,12605
2020-08-04,13137
2020-08-05,13638
2020-08-06,14275
2020-08-07,14481
2020-08-08,15052
2020-08-09,14868
2020-08-10,15115
2020-08-11,15108
2020-08-12,15253
2020-08-13,15207
2020-08-14,17240
2020-08-15,14519
2020-08-16,14411
2020-08-17,14014
2020-08-18,13536
2020-08-19,13794
2020-08-20,13633
2020-08-21,13510
2020-08-22,13319
2020-08-23,13151
2020-08-24,12868
2020-08-25,12577
2020-08-26,12142
2020-08-27,11870
2020-08-28,11557
2020-08-29,11199
2020-08-30,10973
2020-08-31,10760
2020-09-01,10207
2020-09-02,10184
2020-09-03,10744
2020-09-04,9421
2020-09-05,9007
2020-09-06,8822
2020-09-07,8646
2020-09-08,8390
2020-09-09,8118
2020-09-10,8011
2020-09-11,7886
2020-09-12,7831
2020-09-13,7674
2020-09-14,7558
2020-09-15,8082
2020-09-16,7406
2020-09-17,7171
2020-09-18,7093
2020-09-19,7107
2020-09-20,7030
2020-09-21,6974
2020-09-22,7040
2020-09-23,6937
2020-09-24,6884
2020-09-25,6494
2020-09-26,6479
2020-09-27,6960
2020-09-28,6428
2020-09-29,6492
2020-09-30,6494
2020-10-01,6583
2020-10-02,6477
2020-10-03,7051
2020-10-04,6297
2020-10-05,6354
2020-10-06,6410
2020-10-07,6302
2020-10-08,6388
2020-10-09,6504
2020-10-10,6538
2020-10-11,6506
2020-10-12,6469
2020-10-13,6455
2020-10-14,6472
2020-10-15,6480
2020-10-16,6498
2020-10-17,6539
2020-10-18,6965
2020-10-19,6422
2020-10-20,6349
2020-10-21,6400
2020-10-22,6415
2020-10-23,6562
2020-10-24,6751
2020-10-25,6769
2020-10-26,6751
2020-10-27,6955
2020-10-28,7028
2020-10-29,7302
2020-10-30,7510
2020-10-31,9793
2020-11-01,7917
2020-11-02,7971
2020-11-03,8382
2020-11-04,8565
2020-11-05,8782
2020-11-06,9316
2020-11-07,9921
2020-11-08,10143
2020-11-09,10673
2020-11-10,10160
2020-11-11,11859
2020-11-12,12519
2020-11-13,13299
2020-11-14,14086
2020-11-15,24783
2020-11-16,14864
2020-11-17,15574
2020-11-18,16732
2020-11-19,17865
2020-11-20,18834
2020-11-21,19958
2020-11-22,20818
2020-11-23,21262
2020-11-24,21438
2020-11-25,21183
2020-11-26,22007
2020-11-27,23041
2020-11-28,23312
2020-11-29,23723
2020-11-30,19597
2020-12-01,23563
2020-12-02,24143
2020-12-03,24679
2020-12-04,25157
2020-12-05,25354
2020-12-06,25537
2020-12-07,25388
2020-12-08,25420
2020-12-09,26587
2020-12-10,27161
2020-12-11,28006
2020-12-12,28442
2020-12-13,29028
2020-12-14,28990
2020-12-15,28808
2020-12-16,29737
2020-12-17,30158
2020-12-18,30414
2020-12-19,30914
2020-12-20,31309
2020-12-21,30884
2020-12-22,31669
2020-12-23,32107
2020-12-24,33079
2020-12-25,33922
2020-12-26,35373
2020-12-27,35872
2020-12-28,36128
2020-12-29,37429
2020-12-30,38718
2020-12-31,41224
2021-01-01,41970
2021-01-02,42262
2021-01-03,43332
2021-01-04,44426
2021-01-05,46551
2021-01-06,48818
2021-01-07,52905
2021-01-08,57404
2021-01-09,61503
2021-01-10,64372
2021-01-11,66825
2021-01-12,68903
2021-01-13,70948
2021-01-14,72884
2021-01-15,75141
2021-01-16,76650
2021-01-17,77859
2021-01-18,78392
2021-01-19,78740
2021-01-20,76899
2021-01-21,74226
2021-01-22,73136
2021-01-23,71499
2021-01-24,70394
2021-01-25,73105
2021-01-26,65864
2021-01-27,63087
2021-01-28,60866
2021-01-29,58491
2021-01-30,56375
2021-01-31,58977
2021-02-01,52154
2021-02-02,49096
2021-02-03,46851
2021-02-04,44144
2021-02-05,41263
2021-02-06,39040
2021-02-07,37266
2021-02-08,35403
2021-02-09,33291
2021-02-10,31332
2021-02-11,30027
2021-02-12,28710
2021-02-13,27462
2021-02-14,26458
2021-02-15,25148
2021-02-16,23712
2021-02-17,21626
2021-02-18,20789
2021-02-19,20022
2021-02-20,19377
2021-02-21,18738
2021-02-22,18090
2021-02-23,17580
2021-02-24,16843
2021-02-25,15977
2021-02-26,15627
2021-02-27,15370
2021-02-28,15038
2021-03-01,14390
2021-03-02,13736
2021-03-03,13698
2021-03-04,14780
2021-03-05,13164
2021-03-06,12302
2021-03-07,12996
2021-03-08,13571
2021-03-09,12689
2021-03-10,12734
2021-03-11,12871
2021-03-12,12999
2021-03-13,13217
2021-03-14,13193
2021-03-15,13868
2021-03-16,13034
2021-03-17,13342
2021-03-18,13655
2021-03-19,14062
2021-03-20,14438
2021-03-21,15525
2021-03-22,14129
2021-03-23,14508
2021-03-24,15359
2021-03-25,16004
2021-03-26,16771
2021-03-27,18819
2021-03-28,20573
2021-03-29,18344
2021-03-30,19181
2021-03-31,20618
2021-04-01,21806
2021-04-02,23203
2021-04-03,24571
2021-04-04,25548
2021-04-05,25564
2021-04-06,26257
2021-04-07,28348
2021-04-08,30146
2021-04-09,31822
2021-04-10,35501
2021-04-11,33299
2021-04-12,33197
2021-04-13,33763
2021-04-14,36959
2021-04-15,38876
2021-04-16,41157
2021-04-17,43294
2021-04-18,44973
2021-04-19,44969
2021-04-20,46865
2021-04-21,49311
2021-04-22,52079
2021-04-23,53816
2021-04-24,56022
2021-04-25,57229
2021-04-26,57354
2021-04-27,58607
2021-04-28,62352
2021-04-29,63016
2021-04-30,64174
2021-05-01,65901
2021-05-02,67731
2021-05-03,68321
2021-05-04,68701
2021-05-05,68599
2021-05-06,69294
2021-05-07,71721
2021-05-08,73635
2021-05-09,76041
2021-05-10,76675
2021-05-11,78346
2021-05-12,81334
2021-05-13,82245
2021-05-14,82919
2021-05-15,83832
2021-05-16,83776
2021-05-17,82265
2021-05-18,80074
2021-05-19,79101
2021-05-20,78467
2021-05-21,77324
2021-05-22,75311
2021-05-23,73713
2021-05-24,70586
2021-05-25,69128
2021-05-26,68543
2021-05-27,67477
2021-05-28,66573
2021-05-29,62876
2021-05-30,60850
2021-05-31,58461
