ds,y
2020-07-01,570479
2020-07-02,477282
2020-07-03,491292
2020-07-04,522008
2020-07-05,509143
2020-07-06,495255
2020-07-07,494836
2020-07-08,505352
2020-07-09,515148
2020-07-10,513068
2020-07-11,524293
2020-07-12,527738
2020-07-13,520883
2020-07-14,529266
2020-07-15,541284
2020-07-16,537932
2020-07-17,539957
2020-07-18,548680
2020-07-19,559829
2020-07-20,524226
2020-07-21,522828
2020-07-22,552768
2020-07-23,583080
2020-07-24,564914
2020-07-25,522705
2020-07-26,519174
2020-07-27,508116
2020-07-28,525903
2020-07-29,539329
2020-07-30,562032
2020-07-31,561156
2020-08-01,576332
2020-08-02,576697
2020-08-03,556677
2020-08-04,548618
2020-08-05,571456
2020-08-06,583177
2020-08-07,590571
2020-08-08,590398
2020-08-09,577390
2020-08-10,564888
2020-08-11,557266
2020-08-12,554356
2020-08-13,598313
2020-08-14,552016
2020-08-15,586986
2020-08-16,577328
2020-08-17,551954
2020-08-18,546220
2020-08-19,543621
2020-08-20,545353
2020-08-21,563414
2020-08-22,554146
2020-08-23,543255
2020-08-24,531296
2020-08-25,520864
2020-08-26,517044
2020-08-27,519896
2020-08-28,526516
2020-08-29,523706
2020-08-30,503868
2020-08-31,518300
2020-09-01,483095
2020-09-02,486776
2020-09-03,487589
2020-09-04,502021
2020-09-05,497798
2020-09-06,488716
2020-09-07,471633
2020-09-08,462188
2020-09-09,457718
2020-09-10,451223
2020-09-11,456610
2020-09-12,461271
2020-09-13,475624
2020-09-14,443466
2020-09-15,437639
2020-09-16,439513
2020-09-17,446517
2020-09-18,461851
2020-09-19,454815
2020-09-20,444288
2020-09-21,427336
2020-09-22,436428
2020-09-23,406432
2020-09-24,414940
2020-09-25,420586
2020-09-26,423278
2020-09-27,417857
2020-09-28,406034
2020-09-29,397449
2020-09-30,392209
2020-10-01,402753
2020-10-02,402753
2020-10-03,399738
2020-10-04,393583
2020-10-05,382678
2020-10-06,391307
2020-10-07,395294
2020-10-08,391395
2020-10-09,403395
2020-10-10,429585
2020-10-11,418098
