ds,y,new_cases_smoothed
0-07-01,19160,18790.857
0-07-02,20903,19306.143
0-07-03,22771,19908.857
0-07-04,24850,20615.143
0-07-05,24248,21299.286
0-07-06,22251,21832
0-07-07,22753,22419.429
0-07-08,24879,23236.429
0-07-09,26506,24036.857
0-07-10,27114,24657.286
0-07-11,28606,25193.857
0-07-12,28732,25834.429
0-07-13,28498,26726.857
0-07-14,29429,27680.571
0-07-15,32676,28794.429
0-07-16,34975,30004.286
0-07-17,35252,31166.857
0-07-18,38697,32608.429
0-07-19,40425,34278.857
0-07-20,37132,35512.286
0-07-21,37740,36699.571
0-07-22,45720,38563
0-07-23,49310,40610.857
0-07-24,48916,42562.857
0-07-25,48611,43979.143
0-07-26,49981,45344.286
0-07-27,44457,46390.714
0-07-28,51596,48370.143
0-07-29,50294,49023.571
0-07-30,52783,49519.714
0-07-31,61242,51280.571
0-08-01,54735,52155.429
0-08-02,52972,52582.714
0-08-03,52050,53667.429
0-08-04,52509,53797.857
0-08-05,56282,54653.286
0-08-06,62538,56046.857
0-08-07,61537,56089
0-08-08,64399,57469.571
0-08-09,62064,58768.429
0-08-10,53601,58990
0-08-11,60963,60197.714
0-08-12,66999,61728.714
0-08-13,64553,62016.571
0-08-14,64732,62473
0-08-15,64030,62420.286
0-08-16,57711,61798.429
0-08-17,55018,62000.857
0-08-18,64572,62516.429
0-08-19,69672,62898.286
0-08-20,68900,63519.286
0-08-21,69876,64254.143
0-08-22,69239,64998.286
0-08-23,61408,65526.429
0-08-24,60975,66377.429
0-08-25,57224,65327.714
0-08-26,85687,67615.571
0-08-27,77266,68810.714
0-08-28,76472,69753
0-08-29,78761,71113.286
0-08-30,78512,73556.714
0-08-31,69921,74834.714
0-09-01,78357,77853.714
0-09-02,83883,77596
0-09-03,83341,78463.857
0-09-04,86432,79886.714
0-09-05,90632,81582.571
0-09-06,90802,83338.286
0-09-07,75809,84179.429
0-09-08,89706,85800.714
0-09-09,95735,87493.857
0-09-10,96551,89381
0-09-11,97570,90972.143
0-09-12,94372,91506.429
0-09-13,92071,91687.714
0-09-14,83809,92830.571
0-09-15,90123,92890.143
0-09-16,97894,93198.571
0-09-17,96424,93180.429
0-09-18,93337,92575.714
0-09-19,92605,92323.286
0-09-20,86961,91593.286
0-09-21,75083,90346.714
0-09-22,83347,89378.714
0-09-23,86508,87752.143
0-09-24,86052,86270.429
0-09-25,85362,85131.143
0-09-26,88600,84559
0-09-27,82170,83874.571
0-09-28,70589,83232.571
0-09-29,80472,82821.857
0-09-30,86821,82866.571
0-10-01,81484,82214
0-10-02,79476,81373.143
0-10-03,75829,79548.714
0-10-04,74442,78444.714
0-10-05,61267,77113
0-10-06,72049,75909.714
0-10-07,78524,74724.429
0-10-08,70496,73154.714
0-10-09,73272,72268.429
0-10-10,74383,72061.857
0-10-11,66732,70960.429
0-10-12,55342,70114
0-10-13,63509,68894
0-10-14,67708,67348.857
