CASE_LBL,Brazil,India,Japan,Korea__South,US,Vietnam,Global
1/22/2020,0,0,0,0,0,0,5468425
1/23/2020,0,0,0,0,0,0,5753359
1/24/2020,0,0,0,0,0,0,5863247
1/25/2020,0,0,0,0,0,0,6059007
1/26/2020,0,0,1,0,0,0,6178370
1/27/2020,0,0,1,0,0,0,6302069
1/28/2020,0,0,1,0,0,0,6447102
1/29/2020,0,0,1,0,0,0,6605158
1/30/2020,0,0,1,0,0,0,6739776
1/31/2020,0,0,1,0,0,0,6879222
2/1/2020,0,0,1,0,0,1,7004914
2/2/2020,0,0,1,0,0,1,7116750
2/3/2020,0,0,1,0,0,1,7257073
2/4/2020,0,0,1,0,0,1,7399325
2/5/2020,0,0,1,0,0,1,7559131
2/6/2020,0,0,1,0,0,1,7711616
2/7/2020,0,0,1,1,0,1,7895037
2/8/2020,0,0,1,1,0,1,8045824
2/9/2020,0,0,1,3,3,1,8133882
2/10/2020,0,0,4,3,3,1,8293010
2/11/2020,0,0,9,3,3,6,8467706
2/12/2020,0,0,9,7,3,6,8647438
2/13/2020,0,0,9,7,3,7,8823668
2/14/2020,0,0,9,7,3,7,9051968
2/15/2020,0,0,12,9,3,7,9271780
2/16/2020,0,3,12,9,3,7,9415081
2/17/2020,0,3,12,10,3,7,9586464
2/18/2020,0,3,13,12,3,7,9756922
2/19/2020,0,3,18,12,3,7,9959508
2/20/2020,0,3,18,16,3,7,10173027
2/21/2020,0,3,22,16,5,14,10372633
2/22/2020,0,3,22,16,5,14,10553544
2/23/2020,0,3,22,18,5,14,10692268
2/24/2020,0,3,22,18,5,14,10914713
2/25/2020,0,3,22,22,6,16,11138370
2/26/2020,0,3,22,22,6,16,11360065
2/27/2020,0,3,22,22,6,16,11548872
2/28/2020,0,3,22,22,7,16,11740918
2/29/2020,0,3,32,27,7,16,11941162
3/1/2020,0,3,32,30,7,16,12119940
3/2/2020,0,3,32,30,7,16,12284151
3/3/2020,0,3,43,30,7,16,12589219
3/4/2020,0,3,43,41,7,16,12829864
3/5/2020,0,3,43,41,7,16,12993780
3/6/2020,0,3,46,135,7,16,13277022
3/7/2020,0,3,76,135,7,16,13445626
3/8/2020,0,3,76,118,7,16,13678580
3/9/2020,0,3,76,118,7,16,13889592
3/10/2020,0,4,101,247,8,16,14117187
3/11/2020,0,4,118,288,8,16,14335184
3/12/2020,0,4,118,333,12,16,14542974
3/13/2020,0,4,118,510,12,16,14711468
3/14/2020,0,4,118,510,12,16,14921385
3/15/2020,0,13,118,510,12,16,15137916
3/16/2020,1,13,144,1137,17,16,15337337
3/17/2020,2,14,144,1407,17,16,15568886
3/18/2020,2,14,144,1540,105,16,15794620
3/19/2020,2,15,150,1540,121,16,16001857
3/20/2020,2,20,191,1540,147,16,16200975
3/21/2020,2,23,232,1540,176,17,16412388
3/22/2020,2,27,235,2909,178,17,16622628
3/23/2020,2,27,235,2909,178,17,16823418
3/24/2020,2,40,285,3507,348,17,17081380
3/25/2020,2,43,310,3730,361,17,17300617
3/26/2020,6,45,359,4144,681,20,17521986
3/27/2020,6,73,372,4528,869,20,17735487
3/28/2020,6,84,404,4811,1072,21,17936475
3/29/2020,6,95,424,5033,2665,25,18148266
3/30/2020,120,102,424,5228,5644,55,18345814
