Date,Confirmed,Deaths,Recovered,Infected
01/07/2020,12904,282,11684,938
02/07/2020,12967,282,11759,926
03/07/2020,13030,283,11811,936
04/07/2020,13091,283,11832,976
05/07/2020,13137,284,11848,1005
06/07/2020,13181,285,11914,982
07/07/2020,13244,285,11970,989
08/07/2020,13293,287,12019,987
09/07/2020,13338,288,12065,985
10/07/2020,13373,288,12144,941
11/07/2020,13417,289,12178,950
12/07/2020,13479,289,12204,986
13/07/2020,13512,289,12282,941
14/07/2020,13551,289,12348,914
15/07/2020,13612,291,12396,925
16/07/2020,13672,293,12460,919
17/07/2020,13711,294,12519,898
18/07/2020,13745,295,12556,894
19/07/2020,13771,296,12572,903
20/07/2020,13816,296,12643,877
21/07/2020,13879,297,12698,884
22/07/2020,13938,297,12758,883
23/07/2020,13979,298,12817,864
24/07/2020,14092,298,12866,928
25/07/2020,14150,298,12890,962
26/07/2020,14175,299,12905,971
27/07/2020,14203,300,13007,896
28/07/2020,14251,300,13069,882
29/07/2020,14269,300,13132,837
30/07/2020,14305,301,13183,821
31/07/2020,14336,301,13233,802
01/08/2020,14366,301,13259,806
02/08/2020,14389,301,13280,808
03/08/2020,14423,301,13352,770
04/08/2020,14456,302,13406,748
05/08/2020,14499,302,13501,696
06/08/2020,14519,303,13543,673
07/08/2020,14562,304,13629,629
08/08/2020,14598,305,13642,651
09/08/2020,14626,305,13658,663
10/08/2020,14660,305,13729,626
11/08/2020,14714,305,13786,623
12/08/2020,14770,305,13817,648
13/08/2020,14873,305,13863,705
14/08/2020,15039,305,13901,833
15/08/2020,15318,305,13910,1103
16/08/2020,15515,305,13917,1293
17/08/2020,15761,306,13934,1521
18/08/2020,16058,306,14006,1746
19/08/2020,16346,307,14063,1976
20/08/2020,16670,309,14120,2241
21/08/2020,17002,309,14169,2524
22/08/2020,17399,309,14200,2890
23/08/2020,17665,309,14219,3137
24/08/2020,17945,310,14286,3349
25/08/2020,18265,312,14368,3585
26/08/2020,18706,313,14461,3932
27/08/2020,19077,316,14551,4210
28/08/2020,19400,321,14765,4314
29/08/2020,19699,323,14903,4473
30/08/2020,19947,324,14973,4650
31/08/2020,20182,324,15198,4660
01/09/2020,20449,326,15356,4767
02/09/2020,20644,329,15529,4786
03/09/2020,20842,331,15783,4728
04/09/2020,21010,333,16009,4668
05/09/2020,21177,334,16146,4697
06/09/2020,21296,336,16297,4663
07/09/2020,21432,341,16636,4455
08/09/2020,21588,344,17023,4221
09/09/2020,21743,346,17360,4037
10/09/2020,21919,350,17616,3953
11/09/2020,22055,355,18029,3671
12/09/2020,22176,358,18226,3592
13/09/2020,22285,363,18489,3433
14/09/2020,22391,367,18878,3146
15/09/2020,22504,367,19310,2827
16/09/2020,22657,372,19543,2742
17/09/2020,22783,377,19771,2635
18/09/2020,22893,378,19970,2545
19/09/2020,22975,383,20158,2434
20/09/2020,23045,385,20248,2412
21/09/2020,23106,388,20441,2277
22/09/2020,23216,388,20650,2178
23/09/2020,23341,393,20832,2116
24/09/2020,23455,395,20978,2082
25/09/2020,23516,399,21166,1951
26/09/2020,23611,401,21248,1962
27/09/2020,23661,406,21292,1963
28/09/2020,23699,407,21470,1822
29/09/2020,23812,413,21590,1809
30/09/2020,23889,415,21666,1808
01/10/2020,23952,416,21733,1803
02/10/2020,24027,420,21787,1820
03/10/2020,24091,421,21845,1825
04/10/2020,24164,422,21886,1856
05/10/2020,24239,422,22083,1734
06/10/2020,24353,425,22334,1594
07/10/2020,24422,427,22463,1532
08/10/2020,24476,428,22569,1479
09/10/2020,24548,430,22624,1494
10/10/2020,24606,432,22693,1481
11/10/2020,24703,433,22729,1541
12/10/2020,24805,434,22863,1508
13/10/2020,24889,438,23030,1421
14/10/2020,24988,439,23082,1467
15/10/2020,25035,441,23180,1414
16/10/2020,25108,443,23258,1407
17/10/2020,25199,444,23312,1443
18/10/2020,25275,444,23368,1463
19/10/2020,25333,447,23466,1420
20/10/2020,25424,450,23584,1390
21/10/2020,25543,453,23647,1443
22/10/2020,25698,455,23717,1526
23/10/2020,25775,457,23834,1484
24/10/2020,25836,457,23869,1510
25/10/2020,25955,457,23905,1593
26/10/2020,26043,460,23981,1602
27/10/2020,26146,461,24073,1612
28/10/2020,26271,462,24168,1641
29/10/2020,26385,463,24227,1695
30/10/2020,26511,464,24311,1736
31/10/2020,26635,466,24357,1812
01/11/2020,26732,468,24395,1869
02/11/2020,26807,472,24510,1825
03/11/2020,26925,474,24616,1835
04/11/2020,27050,475,24735,1840
05/11/2020,27195,476,24821,1898
06/11/2020,27284,477,24910,1897
07/11/2020,27427,478,24968,1981
08/11/2020,27553,480,25029,2044
09/11/2020,27653,485,25160,2008
10/11/2020,27799,487,25266,2046
11/11/2020,27942,487,25404,2051
12/11/2020,28133,488,25537,2108
13/11/2020,28338,492,25636,2210
14/11/2020,28546,493,25691,2362
15/11/2020,28769,494,25759,2516
16/11/2020,28998,494,25860,2644
17/11/2020,29311,496,25973,2842
18/11/2020,29654,498,26098,3058
19/11/2020,30017,501,26263,3253
20/11/2020,30403,503,26365,3535
21/11/2020,30733,505,26466,3762
22/11/2020,31004,509,26539,3956
23/11/2020,31353,510,26722,4121
24/11/2020,31735,513,26825,4397
25/11/2020,32318,515,26950,4853
26/11/2020,32887,516,27103,5268
27/11/2020,33375,522,27349,5504
28/11/2020,33824,523,27542,5759
29/11/2020,34201,526,27653,6022
30/11/2020,34652,526,27885,6241
01/12/2020,35163,526,28065,6572
02/12/2020,35703,529,28352,6822
03/12/2020,36332,536,28611,7185
04/12/2020,36915,540,28917,7458
05/12/2020,37546,545,29128,7873
06/12/2020,38161,549,29301,8311
07/12/2020,38755,552,29650,8553
08/12/2020,39432,556,30177,8699
09/12/2020,40098,564,30637,8897
10/12/2020,40786,572,31157,9057
11/12/2020,41736,578,31493,9665
12/12/2020,42766,580,31814,10372
13/12/2020,43484,587,32102,10795
14/12/2020,44364,600,32559,11205
15/12/2020,45442,612,32947,11883
16/12/2020,46453,634,33610,12209
17/12/2020,47515,645,33982,12888
18/12/2020,48570,659,34334,13577
19/12/2020,49665,674,34722,14269
20/12/2020,50591,698,35155,14738
21/12/2020,51460,722,35928,14810
22/12/2020,52550,739,36726,15085
23/12/2020,53533,756,37425,15352
24/12/2020,54770,773,38048,15949
25/12/2020,55902,793,38532,16577
26/12/2020,56872,808,39040,17024
27/12/2020,57680,819,39268,17593
28/12/2020,58725,859,40703,17163
29/12/2020,59773,879,41435,17459
30/12/2020,60740,900,42271,17569
31/12/2020,61769,917,42953,17899
01/01/2021,62593,942,43578,18073
02/01/2021,63244,962,44507,17775
03/01/2021,64264,981,45240,18043
04/01/2021,64979,1007,46172,17800
05/01/2021,65818,1027,46995,17796
06/01/2021,66686,1046,47649,17991
07/01/2021,67358,1081,48369,17908
08/01/2021,67999,1100,49324,17575
09/01/2021,68664,1125,50409,17130
10/01/2021,69114,1140,52552,15422
11/01/2021,69651,1165,53569,14917
12/01/2021,70212,1185,54636,14391
13/01/2021,70728,1195,55772,13761
14/01/2021,71241,1217,56536,13488
15/01/2021,71820,1236,57554,13030
16/01/2021,72340,1249,58253,12838
17/01/2021,72729,1264,58723,12742
18/01/2021,73115,1283,59468,12364
19/01/2021,73518,1300,60180,12038
20/01/2021,73918,1316,60846,11756
21/01/2021,74262,1328,61415,11519
22/01/2021,74692,1337,62044,11311
23/01/2021,75084,1349,62530,11205
24/01/2021,75521,1360,62956,11205
25/01/2021,75875,1371,64793,9711
26/01/2021,76429,1378,65478,9573
27/01/2021,76926,1386,66016,9524
