Date,Confirmed,Deaths,Recovered,Infected
0-07-01,355,0,336,19
0-07-02,355,0,340,15
0-07-03,355,0,340,15
0-07-04,355,0,340,15
0-07-05,355,0,340,15
0-07-06,369,0,341,28
0-07-07,369,0,342,27
0-07-08,369,0,347,22
0-07-09,369,0,347,22
0-07-10,370,0,350,20
0-07-11,370,0,350,20
0-07-12,372,0,350,22
0-07-13,373,0,352,21
0-07-14,373,0,352,21
0-07-15,381,0,353,28
0-07-16,381,0,356,25
0-07-17,382,0,356,26
0-07-18,382,0,357,25
0-07-19,383,0,357,26
0-07-20,384,0,360,24
0-07-21,401,0,365,36
0-07-22,408,0,365,43
0-07-23,412,0,365,47
0-07-24,415,0,365,50
0-07-25,417,0,365,52
0-07-26,420,0,365,55
0-07-27,431,0,365,66
0-07-28,446,0,369,77
0-07-29,459,0,369,90
0-07-30,509,0,373,136
0-07-31,558,3,373,182
0-08-01,590,3,373,214
0-08-02,621,6,373,242
0-08-03,652,7,374,271
0-08-04,672,8,378,286
0-08-05,717,9,381,327
0-08-06,750,10,392,348
0-08-07,789,10,395,384
0-08-08,812,10,395,407
0-08-09,841,13,395,433
0-08-10,847,15,399,433
0-08-11,866,16,451,399
0-08-12,883,18,409,456
0-08-13,911,21,425,465
0-08-14,930,22,437,471
0-08-15,951,24,447,480
0-08-16,964,24,456,484
0-08-17,983,25,467,491
0-08-18,989,26,526,437
0-08-19,994,25,533,436
0-08-20,1007,25,542,440
0-08-21,1009,25,545,439
0-08-22,1014,26,563,425
0-08-23,1016,27,568,421
0-08-24,1022,27,587,408
0-08-25,1029,27,592,410
0-08-26,1034,30,632,372
0-08-27,1036,30,637,369
0-08-28,1038,30,663,345
0-08-29,1040,32,677,331
0-08-30,1040,32,695,313
0-08-31,1044,34,707,303
0-09-01,1044,34,735,275
0-09-02,1046,34,746,266
0-09-03,1046,35,755,256
0-09-04,1049,35,772,242
0-09-05,1049,35,805,209
0-09-06,1049,35,815,199
0-09-07,1049,35,853,161
0-09-08,1054,35,868,151
0-09-09,1059,35,890,134
0-09-10,1059,35,893,131
0-09-11,1060,35,902,123
0-09-12,1060,35,910,115
0-09-13,1063,35,918,110
0-09-14,1063,35,926,102
0-09-15,1063,35,931,97
0-09-16,1063,35,936,92
0-09-17,1066,35,940,91
0-09-18,1068,35,941,92
0-09-19,1068,35,942,91
0-09-20,1068,35,942,91
0-09-21,1068,35,947,86
0-09-22,1068,35,957,76
0-09-23,1069,35,991,43
0-09-24,1069,35,991,43
0-09-25,1069,35,999,35
0-09-26,1069,35,999,35
0-09-27,1074,35,999,40
0-09-28,1077,35,999,43
0-09-29,1094,35,1007,52
0-09-30,1094,35,1010,49
0-10-01,1095,35,1010,50
0-10-02,1096,35,1020,41
0-10-03,1096,35,1020,41
0-10-04,1096,35,1020,41
0-10-05,1097,35,1022,40
0-10-06,1098,35,1023,40
0-10-07,1099,35,1023,41
0-10-08,1100,35,1023,42
0-10-09,1105,35,1024,46
0-10-10,1107,35,1024,48
0-10-11,1109,35,1024,50
0-10-12,1110,35,1025,50
0-10-13,1113,35,1025,53
0-10-14,1122,35,1029,58
0-10-15,1124,35,1030,59
0-10-16,1124,35,1031,58
0-10-17,1126,35,1031,60
0-10-18,1134,35,1031,68
0-10-19,1140,35,1046,59
0-10-20,1141,35,1046,60
0-10-21,1144,35,1046,63
0-10-22,1148,35,1049,64
0-10-23,1148,35,1049,64
0-10-24,1160,35,1051,74
0-10-25,1168,35,1057,76
0-10-26,1169,35,1061,73
0-10-27,1172,35,1062,75
0-10-28,1173,35,1062,76
0-10-29,1177,35,1062,80
0-10-30,1177,35,1062,80
0-10-31,1180,35,1062,83
0-11-01,1180,35,1063,82
0-11-02,1192,35,1065,92
0-11-03,1202,35,1069,98
0-11-04,1203,35,1069,99
0-11-05,1207,35,1069,103
0-11-06,1212,35,1070,107
0-11-07,1213,35,1070,108
0-11-08,1213,35,1070,108
0-11-09,1215,35,1087,93
0-11-10,1226,35,1087,104
0-11-11,1252,35,1087,130
0-11-12,1253,35,1093,125
0-11-13,1256,35,1101,120
0-11-14,1265,35,1103,127
0-11-15,1281,35,1103,143
0-11-16,1283,35,1124,124
0-11-17,1288,35,1124,129
0-11-18,1300,35,1124,141
0-11-19,1304,35,1142,127
0-11-20,1305,35,1142,128
0-11-21,1306,35,1142,129
0-11-22,1307,35,1142,130
0-11-23,1312,35,1151,126
0-11-24,1316,35,1153,128
0-11-25,1321,35,1153,133
0-11-26,1331,35,1166,130
0-11-27,1339,35,1170,134
0-11-28,1341,35,1179,127
0-11-29,1343,35,1179,129
0-11-30,1347,35,1179,133
0-12-01,1351,35,1195,121
0-12-02,1358,35,1201,122
0-12-03,1361,35,1209,117
0-12-04,1361,35,1220,106
0-12-05,1365,35,1220,110
0-12-06,1366,35,1220,111
0-12-07,1367,35,1224,108
0-12-08,1377,35,1224,118
0-12-09,1381,35,1225,121
0-12-10,1385,35,1225,125
0-12-11,1391,35,1238,118
0-12-12,1395,35,1238,122
0-12-13,1397,35,1241,121
0-12-14,1402,35,1246,121
0-12-15,1405,35,1252,118
0-12-16,1405,35,1252,118
0-12-17,1407,35,1263,109
0-12-18,1410,35,1266,109
0-12-19,1411,35,1269,107
0-12-20,1413,35,1269,109
0-12-21,1414,35,1269,110
0-12-22,1420,35,1281,104
0-12-23,1421,35,1281,105
0-12-24,1432,35,1281,116
0-12-25,1439,35,1303,101
0-12-26,1440,35,1303,102
0-12-27,1441,35,1303,103
0-12-28,1451,35,1303,113
0-12-29,1454,35,1319,100
0-12-30,1456,35,1323,98
0-12-31,1465,35,1325,105
1-01-01,1474,35,1325,114
1-01-02,1482,35,1337,110
1-01-03,1494,35,1339,120
1-01-04,1497,35,1339,123
1-01-05,1504,35,1339,130
1-01-06,1505,35,1353,117
1-01-07,1509,35,1353,121
1-01-08,1512,35,1357,120
1-01-09,1513,35,1361,117
1-01-10,1514,35,1361,118
1-01-11,1515,35,1361,119
1-01-12,1520,35,1361,124
1-01-13,1521,35,1369,117
1-01-14,1531,35,1369,127
1-01-15,1536,35,1380,121
1-01-16,1537,35,1380,122
1-01-17,1537,35,1380,122
1-01-18,1539,35,1402,102
1-01-19,1540,35,1402,103
1-01-20,1544,35,1406,103
1-01-21,1546,35,1411,100
1-01-22,1548,35,1411,102
1-01-23,1548,35,1411,102
1-01-24,1548,35,1411,102
1-01-25,1549,35,1425,89
1-01-26,1551,35,1430,86
1-01-27,1553,35,1430,88
1-01-28,1651,35,1430,186
1-01-29,1657,35,1448,174
1-01-30,1767,35,1456,276
1-01-31,1817,35,1457,325
1-02-01,1850,35,1460,355
1-02-02,1882,35,1460,387
1-02-03,1948,35,1461,452
1-02-04,1957,35,1465,457
1-02-05,1976,35,1465,476
1-02-06,1985,35,1468,482
