Date,Confirmed,Deaths,Recovered,Infected
01/07/2020,1448753,60632,817642,570479
02/07/2020,1496858,61884,957692,477282
03/07/2020,1539081,63174,984615,491292
04/07/2020,1577004,64265,990731,522008
05/07/2020,1603055,64867,1029045,509143
06/07/2020,1623284,65487,1062542,495255
07/07/2020,1668589,66741,1107012,494836
08/07/2020,1713160,67964,1139844,505352
09/07/2020,1755779,69184,1171447,515148
10/07/2020,1800827,70398,1217361,513068
11/07/2020,1839850,71469,1244088,524293
12/07/2020,1864681,72100,1264843,527738
13/07/2020,1884967,72833,1291251,520883
14/07/2020,1926824,74133,1323425,529266
15/07/2020,1966748,75366,1350098,541284
16/07/2020,2012151,76688,1397531,537932
17/07/2020,2046328,77851,1428520,539957
18/07/2020,2074860,78772,1447408,548680
19/07/2020,2098389,79488,1459072,559829
20/07/2020,2118646,80120,1514300,524226
21/07/2020,2159654,81487,1555339,522828
22/07/2020,2227514,82771,1591975,552768
23/07/2020,2287475,84082,1620313,583080
24/07/2020,2343366,85238,1693214,564914
25/07/2020,2394513,86449,1785359,522705
26/07/2020,2419091,87004,1812913,519174
27/07/2020,2442375,87618,1846641,508116
28/07/2020,2483191,88539,1868749,525903
29/07/2020,2552265,90134,1922802,539329
30/07/2020,2610102,91263,1956807,562032
31/07/2020,2662485,92475,2008854,561156
01/08/2020,2707877,93563,2037982,576332
02/08/2020,2733677,94104,2062876,576697
03/08/2020,2750318,94665,2098976,556677
04/08/2020,2801921,95819,2157484,548618
05/08/2020,2859073,97256,2190361,571456
06/08/2020,2912212,98493,2230542,583177
07/08/2020,2962442,99572,2272299,590571
08/08/2020,3012412,100477,2321537,590398
09/08/2020,3035422,101049,2356983,577390
10/08/2020,3057470,101752,2390830,564888
11/08/2020,3109630,103026,2449338,557266
12/08/2020,3164785,104201,2506228,554356
13/08/2020,3224876,105463,2521100,598313
14/08/2020,3275520,106523,2616981,552016
15/08/2020,3317096,107232,2622878,586986
16/08/2020,3340197,107852,2655017,577328
17/08/2020,3359570,108536,2699080,551954
18/08/2020,3407354,109888,2751246,546220
19/08/2020,3456652,111100,2801931,543621
20/08/2020,3501975,112304,2844318,545353
21/08/2020,3532330,113358,2855558,563414
22/08/2020,3582362,114250,2913966,554146
23/08/2020,3605783,114744,2947784,543255
24/08/2020,3622861,115309,2976256,531296
25/08/2020,3669995,116580,3032551,520864
26/08/2020,3717156,117665,3082447,517044
27/08/2020,3761391,118649,3122846,519896
28/08/2020,3804803,119504,3158783,526516
29/08/2020,3846153,120262,3202185,523706
30/08/2020,3862311,120828,3237615,503868
31/08/2020,3908272,121381,3268591,518300
01/09/2020,3950931,122596,3345240,483095
02/09/2020,3997865,123780,3387309,486776
03/09/2020,4041638,124614,3429435,487589
04/09/2020,4091801,125502,3464278,502021
05/09/2020,4123000,126203,3498999,497798
06/09/2020,4137521,126650,3522155,488716
07/09/2020,4147794,126960,3549201,471633
