Date,Confirmed,Deaths,Recovered,Infected
01/07/2020,604641,17834,359860,226947
02/07/2020,625544,18213,379892,227439
03/07/2020,648315,18655,394227,235433
04/07/2020,673165,19268,409083,244814
05/07/2020,697413,19693,424433,253287
06/07/2020,719664,20159,439934,259571
07/07/2020,742417,20642,456831,264944
08/07/2020,767296,21129,476378,269789
09/07/2020,793802,21604,495513,276685
10/07/2020,820916,22123,515386,283407
11/07/2020,849522,22673,534618,292231
12/07/2020,878254,23174,553471,301609
13/07/2020,906752,23727,571460,311565
14/07/2020,936181,24309,592032,319840
15/07/2020,968857,24914,612768,331175
16/07/2020,1003832,25602,635757,342473
17/07/2020,1039084,26273,653751,359060
18/07/2020,1077781,26816,677423,373542
19/07/2020,1118206,27497,700087,390622
20/07/2020,1155338,28082,724578,402678
21/07/2020,1193078,28732,753050,411296
22/07/2020,1238798,29861,782607,426330
23/07/2020,1288108,30601,817209,440298
24/07/2020,1337024,31358,849432,456234
25/07/2020,1385635,32060,885573,468002
26/07/2020,1435616,32771,917568,485277
27/07/2020,1480073,33408,951166,495499
28/07/2020,1531669,34193,988029,509447
29/07/2020,1581963,34955,1019735,527273
30/07/2020,1634746,35718,1055348,543680
31/07/2020,1695988,36511,1094374,565103
01/08/2020,1750723,37364,1145629,567730
02/08/2020,1803695,38135,1186203,579357
03/08/2020,1855745,38938,1230509,586298
04/08/2020,1908254,39795,1282215,586244
05/08/2020,1964536,40699,1328336,595501
06/08/2020,2027074,41585,1378105,607384
07/08/2020,2088611,42518,1427005,619088
08/08/2020,2153010,43379,1480884,628747
09/08/2020,2215074,44386,1535743,634945
10/08/2020,2268675,45257,1583489,639929
11/08/2020,2329638,46091,1639599,643948
12/08/2020,2396637,47033,1695982,653622
13/08/2020,2461190,48040,1751555,661595
14/08/2020,2525922,49036,1808936,667950
15/08/2020,2589952,49980,1862258,677714
16/08/2020,2647663,50921,1919842,676900
17/08/2020,2702681,51797,1977671,673213
18/08/2020,2767253,52888,2037816,676549
19/08/2020,2836925,53866,2096664,686395
20/08/2020,2905825,54849,2158946,692030
21/08/2020,2975701,55794,2222577,697330
22/08/2020,3044940,56706,2280566,707668
23/08/2020,3106348,57542,2338035,710771
24/08/2020,3167323,58390,2404585,704348
25/08/2020,3224547,59357,2458339,706851
26/08/2020,3310234,60472,2523771,725991
27/08/2020,3387500,61529,2583948,742023
28/08/2020,3463972,62550,2648998,752424
29/08/2020,3542733,63498,2713933,765302
30/08/2020,3621245,64469,2774801,781975
31/08/2020,3691166,65288,2839882,785996
01/09/2020,3769523,66333,2901908,801282
02/09/2020,3853406,67376,2970492,815538
03/09/2020,3936747,68472,3037151,831124
04/09/2020,4023179,69561,3107223,846395
05/09/2020,4113811,70626,3180865,862320
06/09/2020,4204613,71642,3250429,882542
07/09/2020,4280422,72775,3323950,883697
08/09/2020,4370128,73890,3398844,897394
09/09/2020,4465863,75062,3471783,919018
10/09/2020,4562414,76271,3542663,943480
11/09/2020,4659984,77472,3624196,958316
12/09/2020,4754356,78586,3702595,973175
13/09/2020,4846427,79722,3780107,986598
14/09/2020,4930236,80776,3859399,990061
15/09/2020,5020359,82066,3942360,995933
16/09/2020,5118253,83198,4025079,1009976
17/09/2020,5214677,84372,4112551,1017754
18/09/2020,5308014,85619,4208431,1013964
19/09/2020,5400619,86752,4303043,1010824
20/09/2020,5487580,87882,4396399,1003299
21/09/2020,5562663,88935,4497867,975861
22/09/2020,5646010,90020,4587613,968377
23/09/2020,5732518,91149,4674987,966382
24/09/2020,5818570,92290,4756164,970116
25/09/2020,5903932,93379,4849584,960969
26/09/2020,5992532,94503,4941627,956402
27/09/2020,6074702,95542,5016520,962640
28/09/2020,6145291,96318,5101397,947576
29/09/2020,6225763,97497,5187825,940441
30/09/2020,6312584,98678,5273201,940705
01/10/2020,6394068,99773,5352078,942217
02/10/2020,6473544,100842,5427706,944996
03/10/2020,6549373,101782,5509966,937625
04/10/2020,6623815,102685,5586703,934427
05/10/2020,6685082,103569,5662490,919023
06/10/2020,6757131,104555,5744693,907883
07/10/2020,6835655,105526,5827704,902425
08/10/2020,6906151,106490,5906069,893592
09/10/2020,6979423,107416,5988822,883185
10/10/2020,7053806,108334,6077976,867496
11/10/2020,7120538,109150,6149535,861853
12/10/2020,7175880,109856,6227295,838729
13/10/2020,7239389,110586,6301927,826876
14/10/2020,7307097,111266,6383441,812390
15/10/2020,7370468,112161,6453779,804528
16/10/2020,7432680,112998,6524595,795087
17/10/2020,7494551,114031,6597209,783311
18/10/2020,7550273,114610,6663608,772055
19/10/2020,7597063,115197,6733328,748538
20/10/2020,7651107,115914,6795103,740090
21/10/2020,7706946,116616,6874518,715812
22/10/2020,7761312,117306,6948497,695509
23/10/2020,7814682,117956,7016046,680680
24/10/2020,7864811,118534,7078123,668154
25/10/2020,7909959,119014,7137228,653717
26/10/2020,7946429,119502,7201070,625857
27/10/2020,7990322,120010,7259509,610803
28/10/2020,8040203,120527,7315989,603687
29/10/2020,8088851,121090,7373375,594386
30/10/2020,8137119,121641,7432829,582649
31/10/2020,8184082,122111,7491513,570458
01/11/2020,8229313,122607,7544798,561908
02/11/2020,8267623,123097,7603121,541405
03/11/2020,8313876,123611,7656478,533787
04/11/2020,8364086,124315,7711809,527962
05/11/2020,8411724,124985,7765966,520773
06/11/2020,8462080,125562,7819886,516632
07/11/2020,8507754,126121,7868968,512665
08/11/2020,8553657,126611,7917373,509673
09/11/2020,8591730,127059,7959406,505265
10/11/2020,8636011,127571,8013783,494657
11/11/2020,8683916,128121,8066501,489294
12/11/2020,8728795,128668,8115580,484547
13/11/2020,8773479,129188,8163572,480719
14/11/2020,8814579,129635,8205728,479216
15/11/2020,8845127,130070,8249579,465478
16/11/2020,8874290,130519,8290370,453401
17/11/2020,8912907,130993,8335109,446805
18/11/2020,8958483,131578,8383602,443303
19/11/2020,9004365,132162,8428409,443794
20/11/2020,9050597,132726,8478124,439747
21/11/2020,9095806,133227,8521617,440962
