Date,Confirmed,Deaths,Recovered,Infected
01/07/2020,2694053,128328,729994,1835731
02/07/2020,2750689,129038,781970,1839681
03/07/2020,2802040,129708,790404,1881928
04/07/2020,2847733,130023,894325,1823385
05/07/2020,2898480,130349,906763,1861368
06/07/2020,2941586,130726,924148,1886712
07/07/2020,3002247,131887,936476,1933884
08/07/2020,3062366,132709,953462,1976195
09/07/2020,3124875,133729,969111,2022035
10/07/2020,3192932,134545,983185,2075202
11/07/2020,3252949,135274,995576,2122099
12/07/2020,3311373,135746,1006326,2169301
13/07/2020,3370303,136194,1031939,2202170
14/07/2020,3438354,137122,1049098,2252134
15/07/2020,3506444,138096,1075882,2292466
16/07/2020,3582310,139051,1090645,2352614
17/07/2020,3654546,139976,1107204,2407366
18/07/2020,3717082,140835,1122720,2453527
19/07/2020,3777538,141320,1131121,2505097
20/07/2020,3839645,141883,1160087,2537675
21/07/2020,3904106,142968,1182018,2579120
22/07/2020,3974685,144191,1210849,2619645
23/07/2020,4043130,145261,1233269,2664600
24/07/2020,4116449,146367,1261624,2708458
25/07/2020,4181402,147299,1279414,2754689
26/07/2020,4236218,147830,1297863,2790525
27/07/2020,4293001,148957,1325804,2818240
28/07/2020,4359413,150289,1355363,2853761
29/07/2020,4431286,151700,1389425,2890161
30/07/2020,4498752,152935,1414155,2931662
31/07/2020,4567464,154172,1438160,2975132
01/08/2020,4623665,155259,1461885,3006521
02/08/2020,4669233,155696,1468689,3044848
03/08/2020,4714734,156279,1513446,3045009
04/08/2020,4773508,157561,1528979,3086968
05/08/2020,4827974,159000,1577851,3091123
06/08/2020,4887323,160239,1598624,3128460
07/08/2020,4946626,161480,1623870,3161276
08/08/2020,5000760,162556,1643118,3195086
09/08/2020,5046529,163079,1656864,3226586
10/08/2020,5094135,163713,1670755,3259667
11/08/2020,5142138,164738,1714960,3262440
12/08/2020,5198178,166243,1753760,3278175
13/08/2020,5249494,167307,1774648,3307539
14/08/2020,5314830,168644,1796326,3349860
15/08/2020,5361781,169644,1818527,3373610
16/08/2020,5400993,170260,1833067,3397666
17/08/2020,5437645,170753,1865580,3401312
18/08/2020,5482678,171979,1898159,3412540
19/08/2020,5529998,173316,1925049,3431633
20/08/2020,5574039,174420,1947035,3452584
21/08/2020,5622882,175508,1965056,3482318
22/08/2020,5665946,176419,1985484,3504043
23/08/2020,5700193,176964,1997761,3525468
24/08/2020,5736675,177439,2020774,3538462
25/08/2020,5777029,178669,2053699,3544661
26/08/2020,5822201,179831,2084465,3557905
27/08/2020,5867594,180946,2101326,3585322
28/08/2020,5914426,181924,2118367,3614135
29/08/2020,5957180,182839,2140614,3633727
30/08/2020,5991584,183280,2153939,3654365
31/08/2020,6026946,183821,2184825,3658300
01/09/2020,6068792,184850,2202663,3681279
02/09/2020,6109810,185923,2231757,3692130
03/09/2020,6154061,186954,2266957,3700150
04/09/2020,6204443,187911,2283454,3733078
05/09/2020,6247601,188673,2302187,3756741
06/09/2020,6278819,189145,2315995,3773679
