Date,Confirmed,Deaths,Recovered,Infected,CFR,Recovery_rate,Mortality_rate
0-07-01,12904,282,11684,938,2.185368878,,
0-07-02,12967,282,11759,926,2.174751292,,
0-07-03,13030,283,11811,936,2.171910975,,
0-07-04,13091,283,11832,976,2.161790543,,
0-07-05,13137,284,11848,1005,2.161832991,,
0-07-06,13181,285,11914,982,2.162203171,,
0-07-07,13244,285,11970,989,2.15191785,,
0-07-08,13293,287,12019,987,2.159031069,,
0-07-09,13338,288,12065,985,2.159244265,,
0-07-10,13373,288,12144,941,2.153593061,,
0-07-11,13417,289,12178,950,2.153983752,,
0-07-12,13479,289,12204,986,2.14407597,,
0-07-13,13512,289,12282,941,2.13883955,,
0-07-14,13551,289,12348,914,2.132683935,,
0-07-15,13612,291,12396,925,2.137819571,,
0-07-16,13672,293,12460,919,2.143066121,,
0-07-17,13711,294,12519,898,2.14426373,,
0-07-18,13745,295,12556,894,2.146234995,,
0-07-19,13771,296,12572,903,2.149444485,,
0-07-20,13816,296,12643,877,2.142443544,,
0-07-21,13879,297,12698,884,2.139923626,,
0-07-22,13938,297,12758,883,2.13086526,,
0-07-23,13979,298,12817,864,2.131769082,,
0-07-24,14092,298,12866,928,2.114674993,,
0-07-25,14150,298,12890,962,2.106007067,,
0-07-26,14175,299,12905,971,2.109347443,,
0-07-27,14203,300,13007,896,2.112229811,,
0-07-28,14251,300,13069,882,2.10511543,,
0-07-29,14269,300,13132,837,2.102459878,,
0-07-30,14305,301,13183,821,2.104159385,,
0-07-31,14336,301,13233,802,2.099609375,,
0-08-01,14366,301,13259,806,2.095224836,,
0-08-02,14389,301,13280,808,2.091875738,,
0-08-03,14423,301,13352,770,2.086944464,,
0-08-04,14456,302,13406,748,2.089097952,,
0-08-05,14499,302,13501,696,2.082902269,,
0-08-06,14519,303,13543,673,2.086920587,,
0-08-07,14562,304,13629,629,2.087625326,,
0-08-08,14598,305,13642,651,2.089327305,,
0-08-09,14626,305,13658,663,2.085327499,,
0-08-10,14660,305,13729,626,2.080491132,,
0-08-11,14714,305,13786,623,2.072855784,,
0-08-12,14770,305,13817,648,2.064996615,,
0-08-13,14873,305,13863,705,2.050695892,,
0-08-14,15039,305,13901,833,2.028060376,,
0-08-15,15318,305,13910,1103,1.991121556,,
0-08-16,15515,305,13917,1293,1.96583951,,
0-08-17,15761,306,13934,1521,1.941501174,,
0-08-18,16058,306,14006,1746,1.905592228,,
0-08-19,16346,307,14063,1976,1.878135324,,
0-08-20,16670,309,14120,2241,1.853629274,,
0-08-21,17002,309,14169,2524,1.817433243,,
0-08-22,17399,309,14200,2890,1.775964136,,
0-08-23,17665,309,14219,3137,1.749221625,,
0-08-24,17945,310,14286,3349,1.727500697,,
0-08-25,18265,312,14368,3585,1.708185053,,
0-08-26,18706,313,14461,3932,1.673259917,,
0-08-27,19077,316,14551,4210,1.656444934,,
0-08-28,19400,321,14765,4314,1.654639175,,
0-08-29,19699,323,14903,4473,1.639677141,,
0-08-30,19947,324,14973,4650,1.624304407,,
0-08-31,20182,324,15198,4660,1.605390942,,
0-09-01,20449,326,15356,4767,1.594209986,,
0-09-02,20644,329,15529,4786,1.593683395,,
0-09-03,20842,331,15783,4728,1.588139334,,
0-09-04,21010,333,16009,4668,1.584959543,,
0-09-05,21177,334,16146,4697,1.577182793,,
0-09-06,21296,336,16297,4663,1.577761082,,
0-09-07,21432,341,16636,4455,1.591078761,,
